SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,ISIN_CODE,TRADING_DATE,FILLER2,FILLER3
500002,ABB LTD.    ,A ,Q,1429.10,1435.00,1410.10,1412.70,1412.70,1427.10,567,7446,10570845.00,,INE117A01022,02-Aug-17,,
500003,AEGIS LOGIS ,A ,Q,187.90,190.00,185.70,188.65,188.65,187.80,402,23990,4492698.00,XD,INE208C01025,02-Aug-17,,
500008,AMAR RAJA BA,A ,Q,849.00,851.00,835.00,840.45,840.45,848.60,467,11291,9515440.00,,INE885A01032,02-Aug-17,,
500009,A.SARABHAI  ,XD,Q,8.45,8.65,8.42,8.49,8.49,8.54,40,112197,954518.00,,INE432A01017,02-Aug-17,,
500010,HDFC        ,A ,Q,1774.40,1776.40,1760.00,1766.00,1766.00,1774.40,1289,297065,523856167.00,,INE001A01036,02-Aug-17,,
500012,ANDHRA PETRO,XC,Q,26.45,26.50,26.00,26.05,26.20,26.30,71,22477,588408.00,,INE714B01016,02-Aug-17,,
500013,ANSAL INFRAS,B ,Q,27.50,27.50,26.55,26.75,26.85,26.85,138,30516,817114.00,,INE436A01026,02-Aug-17,,
500014,APPLE FINANC,XT,Q,3.68,3.68,3.51,3.59,3.58,3.51,34,15603,55566.00,,INE096A01010,02-Aug-17,,
500020,BOM DYEING  ,A ,Q,82.40,83.35,81.65,82.05,82.05,82.95,1315,344765,28432557.00,,INE032A01023,02-Aug-17,,
500023,ASIANHOTNR  ,B ,Q,132.05,133.00,132.05,133.00,133.00,135.75,4,250,33131.00,,INE363A01022,02-Aug-17,,
500024,ASSAMCO     ,B ,Q,7.00,7.00,6.75,6.79,6.79,6.91,201,393044,2688940.00,,INE442A01024,02-Aug-17,,
500027,ATUL LTD.   ,A ,Q,2201.50,2201.50,2144.00,2169.80,2165.00,2182.05,519,14870,32015160.00,,INE100A01010,02-Aug-17,,
500028,ATV PROJECTS,XT,Q,7.45,7.50,7.26,7.28,7.28,7.45,21,9566,70010.00,,INE447A01015,02-Aug-17,,
500029,AUTOLITE(I) ,B ,Q,61.00,62.50,60.25,60.50,60.80,60.80,35,4597,281299.00,,INE448A01013,02-Aug-17,,
500031,BAJAJ ELECT.,A ,Q,323.90,333.00,323.25,329.05,329.50,322.50,643,24808,8184273.00,,INE193E01025,02-Aug-17,,
500032,BAJAJHIND   ,B ,Q,15.80,16.40,15.70,15.95,15.95,15.75,2621,2244873,36015163.00,,INE306A01021,02-Aug-17,,
500033,FORCE MOTR  ,B ,Q,3928.50,4122.20,3907.70,4017.60,4017.60,3937.70,8920,93708,379439648.00,,INE451A01017,02-Aug-17,,
500034,BAJFINANCE  ,A ,Q,1724.50,1724.95,1690.00,1706.25,1706.25,1714.40,2760,195782,333983477.00,,INE296A01024,02-Aug-17,,
