Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2017-08-03,142.1,142.65,137.1,137.5,137.75,2488880.0,3477.94
2017-08-02,140.7,143.85,140.55,141.9,141.95,4380118.0,6230.48
2017-08-01,137.9,140.85,137.9,140.25,140.2,2635910.0,3678.0
2017-07-31,138.7,139.75,137.05,138.35,137.9,1735603.0,2399.65
2017-07-28,138.1,139.35,136.45,139.0,138.7,1810929.0,2507.18
2017-07-27,140.75,141.85,137.5,138.1,138.5,4166061.0,5802.36
2017-07-26,139.5,142.3,138.9,141.15,140.75,3418321.0,4816.84
2017-07-25,140.95,140.95,138.3,138.95,139.3,2869545.0,4004.27
2017-07-24,141.4,142.7,139.2,139.6,140.25,3416472.0,4827.2
2017-07-21,140.85,141.8,137.85,140.8,141.2,3543548.0,4974.02
2017-07-20,140.0,142.0,138.5,140.4,140.4,3904565.0,5481.42
2017-07-19,138.0,140.65,137.5,139.1,139.5,2985094.0,4159.71
2017-07-18,138.95,140.35,137.1,137.5,137.85,2732576.0,3788.94
2017-07-17,139.5,140.8,138.4,139.0,139.4,2426468.0,3389.41
2017-07-14,141.0,141.45,137.7,139.2,139.4,4692142.0,6539.74
2017-07-13,142.5,144.35,138.15,140.25,140.8,10926196.0,15475.02
2017-07-12,133.7,141.85,133.0,141.5,141.3,15422906.0,21509.65
2017-07-11,135.0,135.45,132.8,133.0,133.4,2459729.0,3299.82
2017-07-10,138.9,138.9,131.2,134.45,134.85,619714.0,837.22
2017-07-07,134.45,136.0,133.5,133.7,134.2,1890872.0,2547.81
2017-07-06,135.0,136.1,133.85,134.65,135.2,3032861.0,4096.9
2017-07-05,134.0,136.0,132.5,135.2,135.25,4430195.0,5965.85
2017-07-04,136.5,137.45,132.9,133.5,133.55,3729846.0,5029.43
2017-07-03,132.4,138.95,132.0,136.2,136.5,9590074.0,13095.88
2017-06-30,133.0,134.3,130.55,132.6,132.6,4288794.0,5689.14
2017-06-29,135.0,135.6,132.6,134.0,133.25,4347591.0,5820.09
2017-06-28,132.3,136.7,132.1,134.2,134.4,14293742.0,19258.71
2017-06-27,126.9,132.9,124.5,131.8,131.0,5961133.0,7649.64
2017-06-23,130.9,131.1,124.15,126.7,126.35,5913258.0,7484.32
2017-06-22,132.5,133.2,130.0,130.2,130.85,3971698.0,5233.51
2017-06-21,130.8,132.9,130.3,131.7,131.85,4123135.0,5431.87
2017-06-20,132.4,132.4,129.3,130.85,130.9,3600676.0,4710.34
2017-06-19,132.25,133.35,131.3,131.7,131.95,3366146.0,4450.08
2017-06-16,132.45,133.4,130.3,130.7,130.9,4333378.0,5702.01
2017-06-15,131.0,133.95,129.0,132.35,132.5,5069151.0,6709.03
2017-06-14,132.8,133.7,130.4,131.3,131.25,4219965.0,5549.79
2017-06-13,129.0,135.8,129.0,132.4,132.4,12237856.0,16355.16
2017-06-12,131.5,133.2,128.0,130.2,130.75,5195277.0,6806.89
2017-06-09,130.0,133.2,127.05,132.0,132.25,9200926.0,12063.74
2017-06-08,131.0,131.6,126.75,130.6,129.8,8299688.0,10687.79
2017-06-07,130.75,134.5,129.1,130.75,131.3,24487190.0,32403.01
2017-06-06,119.1,128.8,119.1,128.1,128.05,37683895.0,47306.43
2017-06-05,117.5,119.7,116.5,117.3,117.5,4628391.0,5441.97
2017-06-02,117.2,118.75,116.5,117.6,117.5,4227409.0,4968.77
2017-06-01,117.2,118.7,116.25,117.1,116.75,5578850.0,6537.44
2017-05-31,118.3,120.7,115.05,117.3,116.8,8292327.0,9707.79
2017-05-30,112.0,124.8,110.0,118.4,117.9,20862798.0,24832.68
2017-05-29,115.95,116.0,110.05,111.5,111.4,4816508.0,5416.24
2017-05-26,117.0,117.8,115.0,116.0,115.95,4170952.0,4850.94
2017-05-25,119.0,119.4,114.45,115.85,116.25,9523315.0,11086.41
2017-05-24,114.1,115.4,110.6,113.75,113.6,6385463.0,7252.6
2017-05-23,118.5,118.6,109.5,112.8,113.15,12969389.0,14682.77
2017-05-22,122.55,124.35,120.6,120.9,121.35,5788097.0,7058.52
2017-05-19,123.2,124.45,120.15,122.0,121.9,6205020.0,7588.32
2017-05-18,119.9,125.85,118.6,120.25,120.35,10312432.0,12606.52
2017-05-17,122.5,122.85,119.55,121.3,121.5,5817867.0,7049.17
2017-05-16,121.95,124.5,120.8,122.4,122.8,6895666.0,8477.11
2017-05-15,122.5,123.2,120.0,121.45,121.9,7090402.0,8637.39
2017-05-12,120.6,122.85,117.2,121.7,121.55,10909470.0,13125.19
2017-05-11,125.45,126.8,117.4,119.95,120.15,23149912.0,28251.89
2017-05-10,119.45,123.85,118.5,123.5,122.8,12398019.0,15044.7
2017-05-09,114.9,119.9,113.7,118.3,118.2,12659485.0,14906.31
2017-05-08,114.1,116.0,111.55,114.35,114.55,8351327.0,9561.56
2017-05-05,113.6,115.4,108.45,113.6,113.7,12155635.0,13642.99
2017-05-04,112.95,114.65,112.05,113.2,113.4,9225795.0,10456.61
2017-05-03,113.85,115.9,109.8,112.35,112.65,17853028.0,20115.43
2017-05-02,109.85,116.3,106.55,113.25,112.75,31196578.0,34932.85
2017-04-28,116.8,118.7,107.3,109.0,108.95,39309185.0,43952.63
2017-04-27,121.7,135.35,112.7,114.95,114.15,78120754.0,95801.3
2017-04-26,150.2,151.55,117.2,118.6,118.55,44780598.0,57262.27
2017-04-25,150.6,153.65,148.3,149.6,149.95,7988542.0,12051.39
2017-04-24,145.9,159.15,145.0,149.7,150.05,17018361.0,26172.98
2017-04-21,146.5,148.5,143.7,145.25,145.95,5457294.0,7993.27
2017-04-20,145.8,149.4,143.5,145.2,146.25,8478294.0,12402.94
2017-04-19,142.9,148.5,138.05,145.8,145.15,23662260.0,34051.75
2017-04-18,124.0,160.7,124.0,144.15,144.9,92715070.0,139310.35
2017-04-17,115.05,124.2,115.05,123.7,123.35,5952208.0,7173.18
2017-04-13,114.9,117.5,112.15,116.95,116.85,5018338.0,5801.0
2017-04-12,118.5,119.5,109.8,115.7,114.35,9171249.0,10526.85
2017-04-11,119.85,125.5,118.55,121.85,121.3,11436293.0,13938.27
2017-04-10,117.95,120.65,117.3,120.35,120.1,4859156.0,5803.69
2017-04-07,114.5,119.55,114.3,117.6,117.4,5580242.0,6554.83
2017-04-06,114.2,116.15,113.85,115.55,115.75,3258878.0,3753.86
2017-04-05,112.0,115.45,110.75,114.5,114.6,4340487.0,4953.09
2017-04-03,108.85,112.3,107.95,111.9,111.8,4741739.0,5257.9
2017-03-31,106.35,110.2,105.2,108.4,108.55,6986469.0,7552.22
2017-03-30,104.65,106.5,104.15,105.95,105.8,7405888.0,7826.55
2017-03-29,104.95,105.25,103.7,104.0,104.45,1897100.0,1983.85
2017-03-28,105.0,105.85,103.85,104.6,104.55,2590526.0,2716.12
2017-03-27,105.9,105.9,102.8,103.9,103.85,3408128.0,3540.22
2017-03-24,105.2,107.0,104.35,105.65,105.75,5178267.0,5476.24
2017-03-23,101.9,105.25,101.65,104.45,104.55,4346658.0,4521.56
2017-03-22,102.4,103.7,101.5,101.5,101.75,2174100.0,2226.19
2017-03-21,103.2,104.4,101.5,103.75,103.6,2632837.0,2707.54
2017-03-20,103.6,104.8,101.85,103.25,103.3,2192937.0,2260.55
2017-03-17,103.5,105.4,102.2,103.55,103.7,6463490.0,6712.89
2017-03-16,102.45,103.95,101.8,102.55,102.75,7119866.0,7332.11
2017-03-15,97.65,101.8,96.55,101.1,101.2,9540896.0,9526.97
2017-03-14,97.05,99.0,95.75,97.25,97.55,5071245.0,4942.09
2017-03-10,94.0,95.5,92.75,93.65,94.05,2176686.0,2050.81
2017-03-09,94.35,94.85,92.8,93.8,93.6,2253696.0,2113.39
2017-03-08,98.0,99.05,93.95,94.65,94.65,3198694.0,3060.52
2017-03-07,95.65,99.4,95.2,97.9,97.85,5164512.0,5044.53
2017-03-06,95.05,95.85,94.05,95.2,95.4,2240085.0,2130.19
2017-03-03,93.2,95.3,92.95,94.7,94.7,3920942.0,3693.64
2017-03-02,98.35,99.9,93.05,93.5,93.6,3923833.0,3772.46
2017-03-01,99.0,99.55,97.15,97.95,98.0,2397830.0,2356.73
2017-02-28,96.0,100.75,95.1,98.45,98.5,8148197.0,8045.21
2017-02-27,96.8,97.7,94.6,96.0,96.05,2478463.0,2383.84
2017-02-23,94.5,97.7,93.9,96.75,96.6,5958620.0,5750.07
2017-02-22,97.6,98.3,94.05,94.5,94.55,4687483.0,4503.97
2017-02-21,97.9,99.2,96.85,97.6,97.45,3633716.0,3551.09
2017-02-20,94.0,99.75,93.65,97.35,97.4,8798985.0,8604.85
2017-02-17,94.9,95.35,93.4,94.2,93.8,1838828.0,1727.5
2017-02-16,92.7,94.5,91.0,94.25,94.3,3447121.0,3219.91
2017-02-15,91.5,96.75,91.25,92.35,92.25,11656510.0,10988.94
2017-02-14,91.9,92.1,89.3,90.5,90.75,3326446.0,3012.35
2017-02-13,93.55,93.65,90.0,91.65,91.7,2133187.0,1955.07
2017-02-10,94.0,94.95,92.4,92.8,92.85,3194365.0,2995.93
2017-02-09,92.5,94.4,90.55,93.7,93.65,3656581.0,3399.42
2017-02-08,92.45,95.1,91.0,92.0,92.1,6130858.0,5664.53
2017-02-07,97.9,97.9,90.75,91.85,91.85,7549222.0,7064.84
2017-02-06,95.1,100.2,94.65,97.0,97.2,7629554.0,7472.51
2017-02-03,94.45,95.35,92.45,95.0,94.55,4592647.0,4311.1
2017-02-02,90.4,97.65,89.3,93.65,93.95,13368036.0,12698.2
2017-02-01,88.0,91.3,87.2,90.4,90.85,6995463.0,6273.32
2017-01-31,92.0,93.45,85.55,87.2,87.15,10535197.0,9369.71
2017-01-30,91.9,93.9,90.7,92.5,92.35,9616013.0,8870.18
2017-01-27,80.1,93.75,80.1,92.1,92.6,25002553.0,22499.42
2017-01-25,79.85,80.35,78.8,80.0,80.0,1701611.0,1355.66
2017-01-24,78.3,80.25,78.3,80.1,79.65,1527674.0,1210.54
2017-01-23,77.4,79.0,77.0,78.1,78.2,884490.0,692.23
2017-01-20,80.95,82.0,77.0,77.15,77.5,2985011.0,2380.26
2017-01-19,79.5,81.0,78.8,81.0,80.6,1285140.0,1027.95
2017-01-18,79.1,80.7,78.4,79.25,79.2,1599586.0,1272.34
2017-01-17,79.9,80.25,78.6,78.7,78.95,891846.0,706.47
2017-01-16,78.4,80.4,77.6,80.15,79.8,1503222.0,1191.62
2017-01-13,80.05,80.5,77.55,78.35,78.5,1854287.0,1468.45
2017-01-12,80.6,81.25,79.05,80.15,80.15,1553335.0,1243.77
2017-01-11,80.55,81.6,80.15,80.5,80.85,1502221.0,1213.56
2017-01-10,78.55,81.2,78.5,80.4,80.2,3196502.0,2561.99
2017-01-09,78.55,79.55,78.25,78.55,78.75,846284.0,666.69
2017-01-06,79.2,79.9,78.4,78.8,78.65,1160629.0,915.96
2017-01-05,78.5,79.6,78.2,79.2,79.15,2308694.0,1824.16
2017-01-04,77.0,78.8,76.8,77.95,77.8,2179592.0,1695.22
