Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2017-08-02,1392.85,1404.0,1370.05,1372.0,1374.6,111440.0,1543.2
2017-08-01,1405.0,1415.15,1378.4,1385.3,1388.85,140187.0,1958.96
2017-07-31,1420.0,1425.0,1391.9,1397.5,1397.15,94343.0,1324.14
2017-07-28,1417.0,1427.7,1393.0,1420.0,1420.9,162409.0,2291.21
2017-07-27,1440.1,1440.15,1402.9,1407.95,1410.45,180210.0,2558.46
2017-07-26,1452.0,1462.95,1432.0,1433.1,1435.95,63308.0,915.2
2017-07-25,1445.0,1456.0,1420.45,1450.0,1450.15,125503.0,1805.13
2017-07-24,1470.0,1470.0,1436.5,1437.75,1441.6,66962.0,972.14
2017-07-21,1477.0,1483.8,1449.55,1460.0,1464.2,69296.0,1016.75
2017-07-20,1464.0,1489.95,1463.2,1468.0,1466.45,95984.0,1416.91
2017-07-19,1464.0,1479.4,1455.5,1462.0,1461.1,110345.0,1614.91
2017-07-18,1485.0,1496.0,1451.3,1462.0,1462.35,102169.0,1497.07
2017-07-17,1499.0,1508.1,1479.0,1483.1,1486.6,54057.0,804.63
2017-07-14,1472.0,1503.0,1471.0,1494.0,1492.95,123458.0,1839.19
2017-07-13,1479.0,1491.75,1470.0,1470.5,1475.05,108985.0,1610.23
2017-07-12,1489.9,1492.25,1464.75,1470.05,1474.8,274412.0,4050.8
2017-07-11,1550.0,1550.05,1500.0,1505.0,1503.6,292916.0,4445.91
2017-07-10,1555.1,1599.0,1534.95,1540.0,1537.65,25620.0,395.43
2017-07-07,1519.0,1555.0,1510.0,1548.0,1549.0,262887.0,4057.54
2017-07-06,1530.0,1544.95,1510.0,1511.15,1516.25,81415.0,1240.63
2017-07-05,1535.0,1542.45,1524.05,1532.2,1537.5,56448.0,865.41
2017-07-04,1529.0,1542.75,1524.2,1529.0,1528.2,36312.0,556.35
2017-07-03,1543.0,1550.0,1528.05,1533.4,1532.5,38328.0,588.92
2017-06-30,1541.1,1574.85,1527.1,1543.9,1544.9,93163.0,1445.75
2017-06-29,1550.5,1565.0,1538.0,1549.95,1547.1,91246.0,1417.4
2017-06-28,1519.0,1559.4,1507.05,1544.05,1548.25,134757.0,2071.45
2017-06-27,1512.0,1542.95,1506.0,1518.1,1517.35,83834.0,1275.2
2017-06-23,1522.75,1533.6,1506.0,1518.85,1513.05,55160.0,837.82
2017-06-22,1544.0,1545.5,1516.15,1517.95,1522.65,43705.0,668.86
2017-06-21,1540.0,1547.45,1521.05,1538.4,1534.1,79899.0,1226.27
2017-06-20,1542.7,1549.0,1507.2,1534.0,1535.3,53133.0,815.32
2017-06-19,1568.0,1569.95,1533.5,1548.7,1544.55,48060.0,742.76
2017-06-16,1575.0,1592.1,1548.0,1555.05,1559.65,78148.0,1221.38
2017-06-15,1587.0,1601.0,1570.2,1584.0,1579.75,85153.0,1352.04
2017-06-14,1545.0,1590.0,1521.75,1587.0,1585.85,177659.0,2749.44
2017-06-13,1557.0,1565.9,1541.0,1548.25,1544.75,53727.0,833.53
2017-06-12,1560.0,1580.0,1549.5,1553.0,1559.5,35636.0,558.77
2017-06-09,1572.0,1592.0,1558.25,1569.0,1570.55,51592.0,812.14
2017-06-08,1577.0,1600.0,1557.0,1567.9,1569.1,230227.0,3608.92
2017-06-07,1580.85,1585.6,1558.0,1565.0,1562.9,92425.0,1448.57
2017-06-06,1618.0,1618.0,1571.65,1578.0,1580.85,87333.0,1385.47
2017-06-05,1613.0,1628.0,1595.0,1599.2,1604.4,69627.0,1122.59
2017-06-02,1629.0,1629.6,1589.0,1613.0,1607.55,80491.0,1293.11
2017-06-01,1569.0,1615.4,1560.0,1614.0,1606.4,103525.0,1651.1
2017-05-31,1560.0,1588.95,1541.4,1573.0,1569.8,76670.0,1202.17
