Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2013-09-10,3.75,3.75,3.65,3.65,3.65,10260.0,0.37
2013-09-06,3.8,4.0,3.8,3.8,3.8,14663.0,0.56
2013-09-05,3.85,4.0,3.75,4.0,4.0,9225.0,0.36
2013-09-04,3.65,3.9,3.65,3.9,3.85,37899.0,1.39
2013-09-03,3.8,4.2,3.8,3.8,3.8,18082.0,0.69
2013-09-02,4.0,4.2,4.0,4.0,4.0,7474.0,0.31
2013-08-30,4.2,4.4,4.2,4.2,4.2,3712.0,0.16
2013-08-29,4.4,4.7,4.4,4.65,4.4,4709.0,0.21
2013-08-28,4.6,4.6,4.6,4.6,4.6,5.0,0.0
2013-08-27,4.95,4.95,4.65,4.8,4.8,629.0,0.03
2013-08-26,4.7,4.85,4.7,4.85,4.85,6195.0,0.3
2013-08-23,4.35,4.75,4.35,4.65,4.65,731.0,0.03
2013-08-22,4.55,4.7,4.55,4.55,4.55,12111.0,0.56
2013-08-21,4.75,4.85,4.45,4.85,4.75,14434.0,0.67
2013-08-20,4.7,4.8,4.4,4.75,4.65,10386.0,0.47
2013-08-19,4.45,4.65,4.25,4.3,4.6,13800.0,0.61
2013-08-16,4.45,4.45,4.3,4.45,4.45,5675.0,0.25
2013-08-14,4.25,4.25,4.1,4.25,4.25,15436.0,0.65
2013-08-13,3.9,4.1,3.8,4.05,4.05,6870.0,0.27
2013-08-12,4.0,4.2,3.8,4.0,3.95,20568.0,0.84
2013-08-08,3.95,4.15,3.95,4.0,4.0,25007.0,0.99
2013-08-07,4.15,4.15,4.15,4.15,4.15,1876.0,0.08
2013-08-06,4.35,4.35,4.35,4.35,4.35,4957.0,0.22
2013-08-05,4.8,4.8,4.55,4.55,4.55,2822.0,0.13
2013-08-02,4.75,4.75,4.75,4.75,4.75,960.0,0.05
2013-08-01,5.25,5.25,4.95,4.95,4.95,14124.0,0.7
2013-07-31,5.5,5.5,5.2,5.2,5.2,2041.0,0.11
2013-07-30,5.6,5.6,5.45,5.45,5.45,5028.0,0.28
2013-07-29,5.7,5.85,5.65,5.7,5.7,4855.0,0.28
2013-07-26,6.05,6.05,5.7,6.0,5.9,9409.0,0.55
2013-07-25,6.0,6.1,5.7,6.0,5.9,6378.0,0.37
2013-07-24,5.8,6.05,5.8,5.85,5.85,7757.0,0.45
2013-07-23,6.0,6.25,5.8,6.0,6.0,6273.0,0.38
2013-07-22,6.15,6.25,6.0,6.0,6.0,3247.0,0.2
2013-07-19,6.3,6.5,6.15,6.2,6.2,5837.0,0.37
2013-07-18,6.25,6.4,6.1,6.35,6.35,2977.0,0.19
2013-07-17,6.6,6.6,6.25,6.5,6.35,3540.0,0.23
2013-07-16,6.7,6.7,6.25,6.4,6.4,2670.0,0.17
2013-07-15,6.4,6.65,6.35,6.55,6.55,5513.0,0.36
2013-07-12,6.4,6.7,6.4,6.65,6.55,3550.0,0.23
2013-07-11,6.6,6.75,6.35,6.7,6.45,6762.0,0.45
2013-07-10,6.45,6.6,6.3,6.45,6.45,5470.0,0.35
2013-07-09,6.75,6.75,6.4,6.6,6.5,8662.0,0.57
2013-07-08,6.8,6.8,6.4,6.5,6.5,4625.0,0.3
2013-07-05,6.9,6.9,6.6,6.75,6.6,13022.0,0.88
2013-07-04,7.0,7.0,6.5,6.85,6.7,7971.0,0.53
2013-07-03,6.95,7.0,6.65,6.7,6.7,10842.0,0.74
2013-07-02,6.8,7.2,6.75,6.75,6.8,6114.0,0.42
2013-07-01,6.8,7.05,6.6,6.6,6.6,13892.0,0.93
2013-06-28,6.65,7.25,6.6,6.65,6.9,20246.0,1.39
2013-06-27,7.45,7.5,7.3,7.3,7.3,24573.0,1.8
2013-06-26,9.0,9.0,8.1,8.1,8.1,23921.0,1.97
2013-06-25,8.25,8.95,8.25,8.95,8.95,29780.0,2.66
2013-06-24,6.65,8.15,6.65,8.15,8.15,66077.0,5.26
2013-06-21,5.6,6.8,5.4,6.8,6.8,23916.0,1.56
2013-06-20,6.25,6.25,5.55,5.7,5.7,2011.0,0.11
2013-06-19,5.85,6.05,5.7,6.0,5.9,6209.0,0.36
2013-06-18,6.6,6.6,5.5,5.7,5.7,6395.0,0.37
2013-06-17,6.6,6.95,5.1,6.15,5.75,21393.0,1.3
2013-06-14,5.75,5.9,5.75,5.9,5.8,6722.0,0.39
2013-06-13,5.7,5.95,5.6,5.9,5.9,2030.0,0.12
2013-06-12,5.85,6.5,5.6,6.0,5.7,9949.0,0.59
2013-06-11,6.1,6.25,5.8,6.1,6.0,9309.0,0.55
2013-06-10,6.2,6.6,6.2,6.2,6.2,4854.0,0.31
2013-06-07,6.6,6.6,6.1,6.4,6.2,6886.0,0.44
2013-06-06,6.75,6.75,6.35,6.75,6.75,5750.0,0.38
2013-06-05,6.75,6.75,6.35,6.65,6.6,4182.0,0.27
2013-06-04,6.5,6.8,6.5,6.8,6.75,10143.0,0.67
