Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2017-08-03,226.0,227.95,222.75,226.5,226.85,2139.0,4.83
2017-08-02,237.0,237.0,219.0,227.5,227.5,3323.0,7.5
2017-08-01,221.5,226.85,221.5,224.0,224.0,4851.0,10.87
2017-07-31,225.95,227.95,220.75,224.0,224.6,2112.0,4.73
2017-07-28,228.0,228.0,219.65,222.5,222.5,2799.0,6.19
2017-07-27,229.8,230.0,224.0,227.85,227.0,3110.0,7.03
2017-07-26,228.95,229.9,224.5,226.05,228.05,1054.0,2.4
2017-07-25,228.95,229.0,223.0,224.5,225.9,2563.0,5.77
2017-07-24,229.0,229.75,226.1,228.5,228.5,816.0,1.85
2017-07-21,228.5,230.95,226.1,229.75,228.3,1728.0,3.96
2017-07-20,230.1,232.15,229.0,230.6,230.35,844.0,1.95
2017-07-19,234.5,234.75,230.1,233.5,232.05,884.0,2.05
2017-07-18,224.2,231.0,224.2,230.75,229.7,1644.0,3.77
2017-07-17,230.8,234.8,226.25,230.0,230.9,3092.0,7.12
2017-07-14,224.6,232.5,224.6,226.05,226.6,2657.0,6.03
2017-07-13,229.05,235.7,222.1,227.15,227.5,3220.0,7.29
2017-07-12,233.25,234.95,227.2,227.2,228.65,2275.0,5.21
2017-07-11,235.05,235.05,225.15,226.15,228.6,7395.0,17.05
2017-07-10,235.9,240.0,232.0,232.0,233.7,394.0,0.92
2017-07-07,235.95,256.0,233.4,235.9,235.8,17450.0,42.56
2017-07-06,226.8,234.0,223.8,233.0,233.2,2037.0,4.65
2017-07-05,228.35,228.35,216.0,225.0,224.15,3912.0,8.68
2017-07-04,225.95,233.0,221.05,222.35,222.2,2442.0,5.51
2017-07-03,219.05,230.0,219.05,230.0,226.45,4802.0,10.73
2017-06-30,219.95,220.0,218.0,218.0,218.75,2172.0,4.75
2017-06-29,224.95,224.95,218.15,220.9,220.4,1499.0,3.32
2017-06-28,212.2,222.95,212.15,216.6,217.2,1051.0,2.29
2017-06-27,223.0,224.95,218.0,219.0,219.85,1452.0,3.21
2017-06-23,238.0,238.0,220.6,221.8,222.9,3570.0,8.08
2017-06-22,238.0,238.0,228.5,231.75,231.05,1306.0,3.04
2017-06-21,237.35,237.35,229.0,230.0,230.3,3555.0,8.23
2017-06-20,238.95,238.95,230.0,234.9,234.75,1738.0,4.06
2017-06-19,239.85,240.8,230.05,234.75,234.45,3289.0,7.74
2017-06-16,238.3,238.3,232.0,234.45,234.45,1436.0,3.36
2017-06-15,230.95,237.7,228.0,237.7,235.1,4037.0,9.35
2017-06-14,228.4,232.5,226.15,228.0,228.95,922.0,2.1
2017-06-13,224.0,240.4,224.0,228.4,228.55,4704.0,10.75
2017-06-12,236.0,236.0,220.35,223.0,220.55,786.0,1.76
2017-06-09,232.95,232.95,221.0,222.3,222.55,3081.0,6.86
2017-06-08,227.95,227.95,221.1,225.3,224.6,2395.0,5.35
2017-06-07,221.0,224.95,217.0,221.5,221.6,3892.0,8.62
2017-06-06,225.0,229.95,219.0,221.0,220.1,2208.0,4.9
2017-06-05,220.05,227.75,220.0,225.0,225.05,3001.0,6.77
2017-06-02,226.45,226.45,214.65,221.25,221.85,11617.0,25.58
2017-06-01,223.05,230.95,219.0,221.05,222.2,4123.0,9.24
2017-05-31,227.95,234.95,220.5,220.55,223.45,4914.0,11.1
2017-05-30,229.5,229.5,226.0,226.0,227.95,1976.0,4.51
2017-05-29,243.9,244.0,228.8,228.8,229.9,8415.0,19.59
2017-05-26,237.0,243.95,233.1,237.45,238.3,4421.0,10.57
2017-05-25,220.5,244.95,213.0,232.1,234.65,8665.0,20.19
2017-05-24,226.0,229.5,220.25,225.0,224.35,5251.0,11.84
2017-05-23,236.05,242.0,229.0,231.5,231.5,5684.0,13.16
2017-05-22,237.0,241.0,230.2,236.0,236.0,3427.0,8.06
2017-05-19,236.05,245.0,230.0,239.8,239.6,5815.0,13.97
2017-05-18,244.95,244.95,235.5,241.0,238.0,1395.0,3.34
2017-05-17,242.95,243.4,240.0,242.75,241.45,1897.0,4.57
2017-05-16,245.0,245.0,237.25,238.6,239.7,3636.0,8.77
2017-05-15,239.5,243.95,236.0,242.0,239.0,3012.0,7.2
2017-05-12,235.3,242.65,235.0,239.5,239.45,2297.0,5.47
2017-05-11,248.95,248.95,237.05,239.6,239.75,1530.0,3.69
2017-05-10,246.95,247.0,240.1,243.0,243.05,3458.0,8.41
2017-05-09,240.0,247.95,239.05,244.05,244.0,947.0,2.32
2017-05-08,235.1,250.0,235.1,242.45,242.85,1388.0,3.4
2017-05-05,251.0,251.0,235.0,245.7,242.55,2243.0,5.46
2017-05-04,240.1,252.4,240.1,248.0,248.15,3536.0,8.74
2017-05-03,243.0,250.0,237.25,244.0,244.0,6045.0,14.75
2017-05-02,255.8,255.8,242.25,246.75,249.45,3519.0,8.78
2017-04-28,250.0,255.95,246.0,251.75,249.6,3271.0,8.19
2017-04-27,252.0,257.4,251.0,253.0,253.0,1390.0,3.54
2017-04-26,270.0,270.0,252.4,255.0,253.35,4879.0,12.65
2017-04-25,274.0,274.0,259.0,259.0,259.4,10034.0,26.46
2017-04-24,253.95,265.0,250.0,261.75,260.5,4502.0,11.55
2017-04-21,250.0,255.0,246.55,250.9,251.1,2226.0,5.59
2017-04-20,257.7,257.7,246.0,246.5,249.55,2495.0,6.24
2017-04-19,259.0,259.0,240.8,246.5,244.4,3496.0,8.74
2017-04-18,250.1,255.0,245.0,245.0,245.55,2758.0,6.85
2017-04-17,250.95,259.95,249.0,249.0,250.1,3039.0,7.68
2017-04-13,262.0,262.0,248.25,256.0,249.8,2653.0,6.7
2017-04-12,265.0,275.35,243.5,257.95,257.1,6386.0,16.56
2017-04-11,260.95,264.0,253.55,261.0,261.15,2200.0,5.73
2017-04-10,250.0,263.9,248.0,259.95,259.2,6362.0,16.36
