Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2017-08-02,1265.6,1285.0,1261.5,1280.0,1277.55,103463.0,1317.16
2017-08-01,1260.0,1282.55,1260.0,1265.5,1267.8,119289.0,1517.96
2017-07-31,1283.0,1302.0,1242.75,1258.25,1259.0,230943.0,2907.68
2017-07-28,1293.85,1319.0,1245.1,1278.0,1273.65,240157.0,3125.05
2017-07-27,1298.0,1319.95,1285.0,1296.0,1297.8,382696.0,4981.45
2017-07-26,1288.35,1312.0,1281.2,1295.0,1292.75,249160.0,3232.66
2017-07-25,1300.0,1304.7,1285.0,1293.9,1294.3,126466.0,1636.11
2017-07-24,1267.75,1298.0,1267.75,1294.0,1292.05,283684.0,3646.02
2017-07-21,1246.0,1272.85,1230.05,1269.5,1267.75,383795.0,4822.08
2017-07-20,1255.0,1255.1,1230.75,1235.0,1233.5,211523.0,2617.53
2017-07-19,1254.9,1254.9,1243.5,1250.0,1250.15,224099.0,2801.09
2017-07-18,1249.45,1255.75,1235.2,1245.85,1247.75,137562.0,1719.01
2017-07-17,1248.0,1258.8,1235.55,1239.1,1238.95,150672.0,1875.21
2017-07-14,1242.75,1258.7,1242.75,1249.0,1253.1,307920.0,3856.76
2017-07-13,1238.2,1253.0,1231.0,1250.0,1250.0,186206.0,2312.62
2017-07-12,1234.4,1249.6,1226.0,1230.5,1230.85,127282.0,1576.78
2017-07-11,1251.0,1257.75,1231.25,1233.5,1234.3,215421.0,2667.26
2017-07-10,1255.0,1260.0,1240.1,1250.95,1248.85,48177.0,601.88
2017-07-07,1254.4,1267.5,1241.2,1250.0,1247.6,140507.0,1761.52
2017-07-06,1275.0,1284.25,1254.0,1260.0,1258.9,199784.0,2522.52
2017-07-05,1268.0,1281.9,1262.95,1275.0,1275.0,237722.0,3031.45
2017-07-04,1283.0,1287.0,1264.75,1266.8,1272.6,78102.0,996.43
2017-07-03,1266.0,1292.9,1266.0,1286.95,1281.85,117759.0,1512.42
2017-06-30,1280.2,1305.0,1267.0,1273.1,1274.55,205845.0,2652.61
2017-06-29,1275.0,1307.0,1275.0,1278.0,1278.85,793401.0,10210.7
2017-06-28,1279.0,1285.1,1261.45,1279.0,1276.35,194333.0,2482.26
