Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2017-08-02,266.0,279.0,263.75,276.4,277.75,8790037.0,24029.12
2017-08-01,267.7,268.0,263.0,266.0,266.95,2285358.0,6077.49
2017-07-31,263.65,269.9,261.2,266.0,266.5,4278814.0,11377.33
2017-07-28,261.4,265.4,259.45,263.1,263.2,2729167.0,7152.52
2017-07-27,266.2,267.15,258.75,262.8,261.9,2727039.0,7149.07
2017-07-26,265.8,268.9,264.25,266.05,266.9,5575016.0,14869.55
2017-07-25,253.8,265.7,252.55,265.4,264.55,6443067.0,16814.67
2017-07-24,254.3,255.5,251.05,253.35,253.7,1905074.0,4822.11
2017-07-21,253.0,255.7,250.3,252.0,252.4,2795175.0,7067.67
2017-07-20,256.0,257.45,252.25,253.9,253.7,1830875.0,4659.03
2017-07-19,253.9,257.35,253.15,256.2,255.9,3036591.0,7746.43
2017-07-18,252.85,256.9,249.95,252.15,252.85,3368756.0,8529.96
2017-07-17,251.0,254.75,246.7,253.0,253.35,3015300.0,7555.45
2017-07-14,252.5,252.5,249.0,250.8,251.0,1480370.0,3712.37
2017-07-13,251.45,254.85,250.0,251.4,251.5,2118858.0,5336.92
2017-07-12,247.7,254.0,245.5,252.0,252.25,3907251.0,9745.25
2017-07-11,257.4,259.7,247.4,249.3,249.6,3938837.0,10046.27
2017-07-10,260.0,260.0,251.0,257.0,257.25,301951.0,776.6
2017-07-07,254.9,260.0,252.9,258.4,258.75,3812270.0,9815.93
2017-07-06,256.25,260.0,255.0,255.95,256.4,2911311.0,7497.8
2017-07-05,252.8,257.9,251.0,254.55,254.55,2260574.0,5765.09
2017-07-04,255.7,256.75,250.35,252.35,251.2,3128081.0,7917.99
2017-07-03,241.0,255.05,241.0,255.05,254.6,5023488.0,12585.9
2017-06-30,240.0,243.1,239.0,240.5,240.7,2152305.0,5183.62
2017-06-29,246.5,247.3,241.85,242.6,242.9,2014274.0,4924.2
2017-06-28,240.0,245.75,237.5,245.1,244.3,4211405.0,10166.91
2017-06-27,245.35,245.4,238.9,242.75,243.25,2949329.0,7148.26
2017-06-23,256.9,257.0,246.0,246.5,247.05,4146341.0,10363.65
2017-06-22,261.1,263.35,255.0,255.5,257.3,3234463.0,8429.92
2017-06-21,262.0,266.3,258.8,260.5,260.3,6463867.0,16974.81
2017-06-20,256.95,265.0,256.95,262.3,261.75,4810795.0,12631.09
2017-06-19,256.95,258.4,253.05,257.0,256.7,2695737.0,6898.7
2017-06-16,257.3,259.65,254.65,255.65,255.65,2155363.0,5535.62
2017-06-15,257.0,260.6,254.95,257.1,257.2,3452982.0,8904.06
2017-06-14,254.4,259.9,251.5,259.7,258.15,6064458.0,15491.81
2017-06-13,261.0,266.6,253.95,254.75,257.3,8151583.0,21414.4
2017-06-12,256.8,262.4,254.35,260.2,260.35,3182739.0,8256.22
2017-06-09,260.1,262.5,255.7,258.0,258.0,4079827.0,10557.62
2017-06-08,259.95,264.35,257.0,258.5,258.2,5124556.0,13368.26
2017-06-07,261.95,264.75,257.3,258.3,259.45,6591199.0,17197.43
2017-06-06,248.95,260.9,242.15,259.05,259.35,6377588.0,16201.96
2017-06-05,245.15,254.5,245.15,247.55,248.2,3539094.0,8865.28
2017-06-02,243.15,248.85,241.6,246.4,247.15,5512657.0,13578.02
2017-06-01,228.0,243.9,227.5,242.2,242.8,7092775.0,17030.99
2017-05-31,229.3,231.65,227.5,228.7,228.6,2233535.0,5108.39
2017-05-30,224.0,229.75,222.85,229.0,228.2,2050162.0,4671.9
2017-05-29,232.0,234.35,225.05,226.3,225.65,2325611.0,5304.95
2017-05-26,227.45,236.0,223.8,232.45,232.1,2473018.0,5733.76
2017-05-25,223.7,228.0,218.8,227.0,226.9,2798923.0,6265.55
2017-05-24,229.0,230.45,217.25,222.4,221.45,4210918.0,9387.22
2017-05-23,232.0,233.0,225.65,228.65,230.5,3349365.0,7706.72
2017-05-22,234.0,237.55,230.9,232.0,233.75,4429589.0,10433.66
2017-05-19,234.4,237.75,230.1,234.0,234.65,5363574.0,12565.52
2017-05-18,235.1,239.9,230.05,230.8,232.65,3965961.0,9331.7
