Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2017-08-03,286.0,290.0,282.35,288.0,286.6,18136.0,51.89
2017-08-02,289.2,289.2,281.0,283.0,285.5,17708.0,50.47
2017-08-01,293.2,294.6,285.0,287.3,287.95,34945.0,100.98
2017-07-31,278.55,298.8,275.65,292.0,293.2,170658.0,491.88
2017-07-28,271.05,278.8,270.15,278.2,275.75,28611.0,78.72
2017-07-27,275.75,275.75,270.0,272.0,272.45,18700.0,51.04
2017-07-26,270.2,274.5,268.0,273.0,273.45,53608.0,145.85
2017-07-25,271.15,273.9,268.5,270.0,270.2,16971.0,46.05
2017-07-24,270.0,275.0,270.0,271.15,271.9,26923.0,73.52
2017-07-21,270.05,273.0,265.5,273.0,270.75,35496.0,95.59
2017-07-20,259.0,274.5,258.0,271.2,272.45,94619.0,253.63
2017-07-19,254.35,260.0,254.05,259.9,259.85,47130.0,121.52
2017-07-18,254.0,256.5,252.1,254.55,255.45,25801.0,65.76
2017-07-17,253.05,255.4,252.4,253.0,254.05,19047.0,48.36
2017-07-14,253.85,255.9,249.3,254.6,254.3,19089.0,48.28
2017-07-13,253.95,254.95,251.4,251.5,251.85,7210.0,18.23
2017-07-12,253.95,255.0,250.6,251.3,252.7,5657.0,14.31
2017-07-11,253.95,255.7,250.15,251.5,252.65,18437.0,46.73
2017-07-10,250.05,255.0,249.95,251.15,253.65,2759.0,6.98
2017-07-07,253.95,255.95,249.0,249.0,252.35,23194.0,58.67
2017-07-06,251.9,258.65,249.25,252.25,252.85,63545.0,162.0
2017-07-05,258.6,263.0,248.1,249.0,249.4,72327.0,183.41
2017-07-04,250.0,260.5,250.0,260.0,259.95,50173.0,127.93
2017-07-03,247.95,254.0,244.05,253.5,250.75,13443.0,33.7
2017-06-30,245.95,246.0,241.05,245.0,244.9,11033.0,26.88
2017-06-29,247.15,247.15,240.0,244.0,245.6,12227.0,29.98
2017-06-28,243.0,245.4,240.1,242.3,243.7,18757.0,45.44
2017-06-27,259.0,259.0,241.1,243.5,243.1,32219.0,79.3
2017-06-23,259.95,259.95,251.1,254.0,254.6,33171.0,84.27
2017-06-22,260.8,269.35,256.2,257.65,258.9,101477.0,266.8
2017-06-21,250.05,257.2,250.0,257.2,256.95,32483.0,82.88
2017-06-20,255.9,255.9,250.0,250.0,251.9,64125.0,162.06
2017-06-19,257.9,257.9,250.15,251.1,251.95,34278.0,86.52
2017-06-16,254.0,261.8,251.6,252.0,253.8,26898.0,68.91
2017-06-15,256.1,258.9,253.1,253.1,254.75,26215.0,66.81
2017-06-14,258.8,262.5,256.1,257.0,256.6,14185.0,36.54
