Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2017-08-03,141.2,141.2,138.0,138.65,138.65,4474664.0,6227.72
2017-08-02,144.55,145.0,140.15,140.75,141.2,3864248.0,5503.3
2017-08-01,145.9,146.55,143.9,144.35,144.6,2776932.0,4027.96
2017-07-31,144.5,145.5,144.0,144.8,145.1,2098191.0,3040.93
2017-07-28,142.0,144.35,141.0,143.75,143.8,3364537.0,4815.78
2017-07-27,144.25,145.4,141.65,142.5,142.3,6745334.0,9641.27
2017-07-26,145.5,147.2,143.5,143.9,143.9,3185771.0,4629.03
2017-07-25,146.25,146.95,145.2,145.4,145.65,2165224.0,3160.92
2017-07-24,145.0,147.5,144.55,146.25,146.25,2169863.0,3167.05
2017-07-21,146.9,147.0,143.1,144.9,145.0,2569936.0,3724.44
2017-07-20,145.05,147.4,144.75,146.3,146.45,5373011.0,7856.37
2017-07-19,144.75,145.8,143.55,145.05,145.2,4678520.0,6781.08
2017-07-18,141.5,144.5,140.65,143.05,143.25,6539009.0,9353.69
2017-07-17,140.65,141.9,140.0,141.2,141.15,2415086.0,3407.87
2017-07-14,143.15,143.15,140.05,140.5,140.75,2619282.0,3695.64
2017-07-13,141.2,143.25,140.9,142.4,142.5,5105048.0,7258.62
2017-07-12,140.4,141.4,139.7,140.4,140.55,2887888.0,4059.8
2017-07-11,138.0,142.3,137.9,140.0,139.75,10384385.0,14568.61
2017-07-10,137.85,138.6,135.55,137.5,137.65,984995.0,1356.39
2017-07-07,135.35,135.85,134.4,135.05,135.0,2578499.0,3485.48
2017-07-06,134.85,137.9,134.3,135.7,135.8,7416469.0,10104.46
2017-07-05,134.5,134.7,133.15,134.15,134.05,2808067.0,3762.74
2017-07-04,136.0,136.45,133.5,133.8,133.9,2799810.0,3774.2
2017-07-03,135.65,136.8,134.7,135.3,135.5,3214088.0,4360.46
2017-06-30,135.9,137.15,134.4,135.3,135.3,5029479.0,6813.9
2017-06-29,136.4,139.0,135.0,135.35,135.6,4139700.0,5673.02
2017-06-28,134.1,136.8,132.5,136.55,136.3,3060003.0,4132.51
2017-06-27,135.05,135.55,130.8,134.55,134.4,4499872.0,5991.05
2017-06-23,136.6,137.5,132.15,134.95,135.0,5043785.0,6779.77
2017-06-22,136.75,138.65,136.45,136.75,137.15,2805176.0,3863.47
2017-06-21,137.1,138.75,135.75,136.65,136.65,3932383.0,5397.83
2017-06-20,138.5,138.8,137.4,137.6,137.8,1848505.0,2551.42
2017-06-19,138.6,139.4,137.85,138.0,138.1,1749686.0,2422.47
2017-06-16,139.35,140.7,137.9,138.1,138.3,2889580.0,4017.42
2017-06-15,138.25,140.55,137.4,138.7,139.1,3184614.0,4436.85
2017-06-14,140.0,140.55,137.55,138.15,138.45,3777822.0,5231.49
2017-06-13,139.45,141.2,139.25,140.0,140.25,4771398.0,6694.53
2017-06-12,137.0,140.25,136.65,139.25,139.05,6083141.0,8426.19
2017-06-09,138.2,139.7,137.8,138.6,138.75,3234542.0,4485.55
2017-06-08,138.0,139.3,137.5,138.2,138.5,3748848.0,5190.48
2017-06-07,138.9,139.8,136.65,137.45,137.3,3615024.0,4989.28
2017-06-06,139.8,140.5,138.05,138.4,138.7,5902057.0,8206.27
2017-06-05,141.15,141.9,139.05,139.15,139.85,3241310.0,4554.69
2017-06-02,139.6,142.45,138.4,140.5,140.5,7464007.0,10507.83
2017-06-01,138.2,139.55,136.7,138.2,138.5,6772709.0,9362.28
2017-05-31,140.2,142.0,137.65,138.5,138.2,8923454.0,12440.55
2017-05-30,147.0,147.5,133.6,140.25,140.4,29712339.0,41420.61
2017-05-29,159.8,160.4,152.8,153.65,153.35,9977443.0,15579.57
2017-05-26,152.9,160.85,152.15,158.5,158.45,11524634.0,18026.87
2017-05-25,151.35,153.6,149.65,152.0,152.05,5181900.0,7864.86
2017-05-24,156.2,157.7,148.6,150.85,149.9,5539834.0,8456.25
2017-05-23,161.85,161.9,154.6,156.0,155.9,5050383.0,7932.8
2017-05-22,165.3,166.25,160.55,161.4,161.35,3202511.0,5245.16
2017-05-19,166.8,168.0,162.1,164.8,164.05,4386048.0,7235.92
2017-05-18,169.3,169.9,163.5,163.85,164.4,3962356.0,6602.32
2017-05-17,170.65,173.0,170.0,170.25,170.6,3452316.0,5917.62
2017-05-16,171.95,172.1,168.5,170.5,170.45,7370361.0,12557.12
2017-05-15,171.45,173.85,171.25,171.55,171.75,3750036.0,6453.97
2017-05-12,174.3,174.8,170.4,170.95,170.9,4018827.0,6918.14
2017-05-11,177.5,178.45,173.75,174.15,174.15,4946557.0,8690.78
2017-05-10,177.1,179.0,175.85,176.8,177.1,4608738.0,8185.7
2017-05-09,176.0,178.4,175.5,176.95,176.85,4129017.0,7317.76
2017-05-08,172.8,177.2,170.85,175.65,175.65,4009322.0,6994.4
2017-05-05,174.85,175.45,171.4,172.4,172.8,3922392.0,6786.8
2017-05-04,175.0,175.8,172.45,174.7,174.65,2727980.0,4756.43
2017-05-03,176.4,177.4,173.1,173.85,173.8,3296878.0,5772.61
2017-05-02,176.65,177.5,174.15,175.2,175.5,2565265.0,4510.11
2017-04-28,176.5,177.8,174.4,176.0,175.7,4093382.0,7203.02
2017-04-27,175.65,177.8,174.1,176.25,176.2,4751152.0,8358.14
2017-04-26,179.35,179.95,173.4,175.6,176.05,4886816.0,8679.74
2017-04-25,177.0,182.75,176.1,177.75,177.9,12319127.0,22137.97
2017-04-24,175.6,177.9,175.5,175.8,176.2,3438444.0,6074.99
2017-04-21,175.05,177.75,172.3,174.9,175.2,5024280.0,8812.13
2017-04-20,174.5,176.9,173.6,174.2,174.4,3455455.0,6049.83
2017-04-19,171.0,174.8,167.6,174.15,174.05,4931481.0,8500.04
2017-04-18,173.9,178.25,169.2,169.3,169.75,7455592.0,13068.83
2017-04-17,172.85,174.8,172.1,172.55,172.7,2318989.0,4017.51
2017-04-13,174.9,176.7,172.7,172.85,173.3,3284627.0,5733.95
2017-04-12,176.45,177.75,172.05,174.7,174.9,3514218.0,6143.56
2017-04-11,174.4,178.4,174.05,175.85,176.45,4495925.0,7939.18
