Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2017-08-03,75.6,75.6,73.05,73.4,73.4,35381.0,26.19
2017-08-02,76.6,76.7,75.25,75.5,75.25,18762.0,14.18
2017-08-01,76.4,76.85,75.4,75.8,75.6,76403.0,57.87
2017-07-31,75.75,76.95,75.3,76.0,75.9,31430.0,23.85
2017-07-28,75.65,77.6,75.6,76.3,76.35,25809.0,19.79
2017-07-27,77.35,79.2,76.0,76.1,76.35,45400.0,35.14
2017-07-26,77.3,78.45,77.15,77.15,77.3,32407.0,25.16
2017-07-25,77.45,78.95,76.65,77.3,77.9,39977.0,31.19
2017-07-24,79.25,79.45,77.05,77.4,77.35,32139.0,25.11
2017-07-21,80.95,81.75,78.25,78.3,78.5,100761.0,80.79
2017-07-20,77.5,81.45,77.3,79.7,80.3,142492.0,114.15
2017-07-19,76.3,77.95,76.3,77.35,77.4,13891.0,10.74
2017-07-18,76.1,78.1,76.1,76.85,76.75,29629.0,22.84
2017-07-17,76.3,77.75,75.05,76.65,76.5,47572.0,36.53
2017-07-14,79.0,79.4,76.35,76.5,76.7,37647.0,29.09
2017-07-13,80.9,80.95,77.7,78.2,78.05,88750.0,70.25
2017-07-12,81.85,82.8,79.8,80.0,80.25,61999.0,50.1
2017-07-11,81.0,83.8,80.0,80.25,80.45,116416.0,95.52
2017-07-10,80.1,81.0,79.0,80.4,80.2,6385.0,5.12
2017-07-07,81.15,83.0,80.0,80.15,80.55,104325.0,84.7
2017-07-06,76.5,82.45,76.35,80.15,80.5,159936.0,129.3
2017-07-05,76.85,77.9,75.85,76.5,77.0,25178.0,19.38
2017-07-04,75.8,77.65,75.55,76.0,76.0,23681.0,18.09
2017-07-03,74.9,76.25,74.05,75.95,75.55,30541.0,23.04
2017-06-30,74.3,74.8,73.5,73.9,73.65,13259.0,9.79
2017-06-29,74.1,75.6,74.05,74.9,74.5,18513.0,13.81
2017-06-28,74.8,75.75,73.5,73.6,73.85,19525.0,14.46
2017-06-27,74.6,76.25,73.1,73.9,73.75,26233.0,19.43
2017-06-23,77.4,77.5,75.35,75.55,75.8,41365.0,31.67
2017-06-22,79.95,80.55,76.0,76.05,76.3,66062.0,51.75
2017-06-21,77.95,81.0,76.8,79.0,79.15,64587.0,51.2
2017-06-20,78.15,79.8,77.25,77.55,77.75,31788.0,25.06
2017-06-19,80.95,83.8,77.35,78.0,78.15,125014.0,100.77
2017-06-16,73.25,83.95,73.25,79.8,80.05,605879.0,490.14
2017-06-15,73.1,74.45,72.4,73.6,73.75,28463.0,20.96
2017-06-14,73.8,74.8,72.65,73.6,73.4,26851.0,19.79
