Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2017-08-02,2679.0,2679.0,2647.0,2647.0,2647.0,19.0,0.51
2017-08-01,2657.05,2695.0,2644.4,2646.0,2646.0,146.0,3.89
2017-07-31,2660.0,2704.0,2656.0,2656.0,2656.0,57.0,1.51
2017-07-28,2709.0,2709.0,2660.0,2660.0,2660.5,5.0,0.13
2017-07-27,2714.0,2714.0,2660.0,2699.0,2672.05,35.0,0.94
2017-07-26,2708.95,2708.95,2651.0,2698.0,2698.0,9.0,0.24
2017-07-25,2661.0,2718.0,2661.0,2680.0,2680.0,36.0,0.96
2017-07-24,2694.0,2702.0,2694.0,2702.0,2702.0,48.0,1.3
2017-07-21,2688.0,2700.0,2651.0,2652.0,2652.0,28.0,0.75
2017-07-20,2684.0,2684.0,2670.0,2670.0,2670.0,4.0,0.11
2017-07-19,2697.95,2697.95,2632.0,2684.0,2684.0,39.0,1.04
2017-07-18,2653.0,2663.0,2650.0,2650.0,2650.15,59.0,1.56
2017-07-17,2688.0,2688.0,2640.0,2650.0,2650.0,61.0,1.62
2017-07-14,2646.6,2678.0,2640.0,2668.0,2658.9,67.0,1.77
2017-07-13,2716.0,2828.0,2700.0,2700.0,2700.0,28.0,0.76
2017-07-12,2697.0,2731.0,2650.0,2662.0,2662.0,172.0,4.58
2017-07-11,2699.95,2700.0,2631.0,2700.0,2697.9,76.0,2.04
2017-07-10,2640.0,2696.0,2640.0,2640.0,2640.0,11.0,0.29
2017-07-07,2698.0,2698.0,2698.0,2698.0,2698.0,19.0,0.51
2017-07-06,2723.0,2723.0,2642.05,2708.0,2708.0,19.0,0.51
2017-07-05,2690.0,2725.0,2690.0,2690.0,2695.0,24.0,0.65
2017-07-04,2697.95,2700.0,2693.95,2700.0,2700.0,105.0,2.83
2017-07-03,2702.0,2706.0,2671.0,2700.0,2700.0,111.0,3.0
2017-06-30,2728.0,2728.0,2702.0,2702.0,2702.0,3.0,0.08
2017-06-29,2714.0,2773.95,2643.0,2773.95,2773.95,57.0,1.56
2017-06-28,2739.0,2739.0,2666.0,2666.0,2666.0,7.0,0.19
2017-06-27,2689.0,2691.0,2660.0,2691.0,2691.0,167.0,4.47
2017-06-23,2763.0,2764.0,2667.0,2671.0,2671.0,47.0,1.26
2017-06-22,2727.0,2727.0,2714.0,2724.0,2724.0,9.0,0.25
2017-06-21,2724.0,2724.0,2681.0,2700.0,2700.0,8.0,0.22
2017-06-20,2641.0,2690.0,2641.0,2690.0,2690.0,12.0,0.32
2017-06-19,2715.0,2718.0,2663.05,2690.0,2690.0,61.0,1.64
2017-06-16,2715.0,2715.0,2697.95,2697.95,2698.0,23.0,0.62
2017-06-15,2734.0,2767.0,2672.0,2710.0,2710.0,23.0,0.62
2017-06-14,2759.0,2759.0,2702.0,2747.0,2747.0,33.0,0.9
2017-06-13,2730.0,2730.0,2687.55,2693.05,2693.05,73.0,1.97
2017-06-12,2759.0,2759.0,2701.0,2730.0,2730.0,149.0,4.04
2017-06-09,2729.0,2729.0,2729.0,2729.0,2729.0,2.0,0.05
2017-06-08,2740.0,2740.0,2730.0,2730.0,2730.0,5.0,0.14
2017-06-07,2731.15,2774.0,2714.05,2744.0,2744.0,81.0,2.22
2017-06-06,2702.0,2777.0,2702.0,2759.0,2759.0,11.0,0.3
2017-06-05,2789.0,2789.0,2713.0,2763.0,2763.0,37.0,1.01
2017-06-02,2720.0,2720.0,2682.0,2700.0,2700.0,33.0,0.89
2017-06-01,2788.0,2788.0,2711.0,2769.0,2769.0,10.0,0.28
2017-05-30,2760.0,2770.0,2687.0,2765.0,2765.0,62.0,1.71
2017-05-29,2774.0,2774.0,2774.0,2774.0,2774.0,3.0,0.08
2017-05-26,2700.0,2766.95,2700.0,2715.35,2715.65,97.0,2.65
2017-05-25,2717.0,2769.0,2707.0,2764.0,2767.0,21.0,0.57
2017-05-24,2729.0,2740.0,2729.0,2740.0,2740.0,7.0,0.19
2017-05-23,2784.0,2786.95,2721.0,2729.0,2729.0,23.0,0.63
2017-05-22,2730.0,2769.0,2730.0,2730.0,2730.0,6.0,0.16
2017-05-19,2702.0,2730.0,2702.0,2730.0,2730.0,13.0,0.35
2017-05-18,2682.0,2750.0,2682.0,2750.0,2749.0,62.0,1.69
2017-05-17,2710.0,2710.0,2682.0,2682.0,2682.0,11.0,0.3
2017-05-16,2738.0,2738.0,2689.9,2689.9,2689.9,9.0,0.24
2017-05-15,2788.0,2788.0,2652.0,2748.0,2710.0,18.0,0.49
2017-05-12,2665.0,2698.0,2661.0,2688.0,2688.0,41.0,1.1
2017-05-11,2764.0,2764.0,2660.2,2660.2,2660.2,10.0,0.27
2017-05-10,2729.0,2890.45,2662.0,2662.0,2717.25,225.0,6.12
2017-05-09,2680.0,2685.05,2670.0,2670.0,2673.7,101.0,2.7
2017-05-08,2652.0,2663.3,2642.0,2662.05,2662.05,94.0,2.49
2017-05-05,2788.0,2788.0,2712.0,2718.0,2718.0,193.0,5.28
2017-05-04,2722.05,2738.9,2683.0,2716.95,2716.1,71.0,1.93
2017-05-03,2746.65,2750.0,2720.0,2720.0,2722.0,116.0,3.16
2017-05-02,2800.0,2817.95,2745.0,2745.0,2746.65,55.0,1.52
2017-04-28,2798.0,2867.95,2712.05,2780.0,2777.25,262.0,7.26
2017-04-27,2780.0,2788.95,2750.0,2752.1,2752.1,36.0,0.99
2017-04-26,2799.0,2799.0,2728.0,2770.0,2770.0,14.0,0.38
2017-04-25,2771.0,2771.0,2762.0,2762.0,2762.0,4.0,0.11
2017-04-24,2800.0,2800.0,2800.0,2800.0,2800.0,1.0,0.03
2017-04-21,2868.0,2868.0,2782.0,2800.0,2800.0,21.0,0.59
