Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2017-08-02,102.55,102.56,102.55,102.55,102.55,63.0,0.06
2017-08-01,105.0,105.95,102.17,102.17,102.17,295.0,0.31
2017-07-31,106.9,106.9,105.0,106.0,106.0,22.0,0.02
2017-07-28,102.15,105.98,102.15,102.15,102.15,160.0,0.17
2017-07-27,102.75,106.45,102.35,102.35,102.35,256.0,0.26
2017-07-26,105.5,105.5,102.75,102.75,102.75,36.0,0.04
2017-07-25,103.0,103.0,102.6,102.75,102.75,465.0,0.48
2017-07-24,102.66,105.0,102.66,102.99,102.99,98.0,0.1
2017-07-21,100.01,104.0,100.0,103.0,103.0,319.0,0.33
2017-07-20,106.9,108.5,102.11,103.15,102.56,933.0,0.96
2017-07-19,103.99,104.0,103.99,104.0,104.0,59.0,0.06
2017-07-18,102.0,102.0,102.0,102.0,102.0,59.0,0.06
2017-07-17,102.1,102.26,102.1,102.26,102.26,104.0,0.11
2017-07-14,103.0,103.0,103.0,103.0,103.0,50.0,0.05
2017-07-13,103.01,106.98,103.01,104.0,104.0,140.0,0.15
2017-07-12,106.0,106.48,103.25,103.25,103.25,117.0,0.12
2017-07-11,106.0,107.28,103.1,103.1,103.1,172.0,0.18
2017-07-10,95.11,110.3,95.11,102.4,102.5,969.0,0.96
2017-07-07,102.56,103.0,102.56,103.0,103.0,27.0,0.03
2017-07-06,103.0,107.0,103.0,107.0,107.0,35.0,0.04
2017-07-05,107.0,107.0,107.0,107.0,107.0,27.0,0.03
2017-07-04,106.0,107.0,102.51,104.0,104.0,330.0,0.34
2017-07-03,106.0,108.99,103.5,105.9,105.9,195.0,0.21
2017-06-30,96.3,109.8,96.3,102.5,102.64,1551.0,1.63
2017-06-29,104.99,109.0,102.0,107.0,107.0,358.0,0.38
2017-06-28,100.25,100.25,100.25,100.25,100.25,2.0,0.0
2017-06-27,109.0,109.0,101.0,101.0,102.99,105.0,0.11
2017-06-23,102.5,105.0,102.11,105.0,105.0,56.0,0.06
2017-06-22,105.49,107.2,103.51,107.2,106.62,250.0,0.27
2017-06-21,104.0,106.99,104.0,106.0,106.0,60.0,0.06
2017-06-20,104.0,107.99,101.51,103.99,103.94,227.0,0.24
2017-06-19,106.0,108.0,101.0,104.0,103.97,130.0,0.14
2017-06-15,106.0,108.24,101.62,102.0,103.21,41.0,0.04
2017-06-14,101.1,101.1,101.1,101.1,101.1,3.0,0.0
2017-06-13,100.5,106.99,100.5,106.99,106.53,132.0,0.14
2017-06-12,104.0,108.25,99.1,102.99,102.99,455.0,0.47
2017-06-09,103.0,108.25,103.0,104.0,104.0,142.0,0.15
2017-06-08,103.0,103.0,101.01,103.0,103.0,80.0,0.08
2017-06-06,101.7,101.7,100.0,100.0,100.0,197.0,0.2
2017-06-05,103.95,109.15,100.01,107.0,101.67,958.0,1.02
2017-06-02,97.1,97.37,97.01,97.37,97.37,172.0,0.17
2017-06-01,100.3,102.0,98.0,100.99,100.99,137.0,0.14
2017-05-31,100.3,101.3,100.3,100.55,100.55,42.0,0.04
2017-05-29,100.0,102.0,97.55,97.6,98.21,149.0,0.15
2017-05-26,97.1,100.31,97.1,99.99,99.99,364.0,0.36
2017-05-25,100.0,100.98,99.49,100.0,100.0,230.0,0.23
2017-05-23,101.0,101.0,99.5,99.5,99.5,1010.0,1.02
2017-05-22,97.06,100.74,97.06,99.0,99.0,103.0,0.1
2017-05-19,99.49,99.5,99.39,99.4,99.4,150.0,0.15
2017-05-18,99.99,99.99,95.7,95.7,96.98,78.0,0.08
2017-05-17,100.0,101.0,98.0,98.88,98.21,662.0,0.66
2017-05-16,96.0,98.6,95.6,95.8,95.8,244.0,0.24
2017-05-12,96.99,97.0,95.25,95.25,95.41,471.0,0.45
2017-05-11,99.0,99.0,95.5,96.0,96.0,1207.0,1.16
2017-05-10,95.24,98.3,95.24,96.01,96.01,451.0,0.44
2017-05-09,95.55,96.65,95.2,95.21,95.24,781.0,0.75
2017-05-08,99.9,99.9,94.43,95.89,95.58,2882.0,2.76
2017-05-05,109.15,110.5,87.6,94.4,94.76,13125.0,12.33
2017-05-04,107.0,109.0,104.99,105.0,105.0,1143.0,1.21
2017-05-02,108.05,109.0,107.0,107.0,107.0,507.0,0.55
2017-04-28,108.05,108.05,108.0,108.0,108.0,22.0,0.02
2017-04-27,107.0,108.05,101.0,108.05,108.05,354.0,0.37
2017-04-26,109.75,109.75,107.0,107.0,107.0,121.0,0.13
2017-04-25,114.8,114.8,105.62,111.5,111.5,340.0,0.38
2017-04-24,108.99,109.0,105.01,108.9,108.9,14.0,0.02
2017-04-21,110.95,111.05,105.0,105.0,105.13,167.0,0.18
2017-04-20,112.0,112.0,100.1,108.5,108.5,70.0,0.08
2017-04-19,104.0,104.0,104.0,104.0,104.0,108.0,0.11
2017-04-18,108.95,109.95,98.25,103.99,103.99,490.0,0.51
2017-04-17,109.45,109.45,107.9,107.95,107.98,145.0,0.16
2017-04-13,109.05,109.8,107.0,109.44,109.44,243.0,0.26
2017-04-12,109.05,109.05,109.05,109.05,109.05,12.0,0.01
2017-04-11,109.05,109.05,109.05,109.05,109.05,10.0,0.01
2017-04-10,105.45,109.9,104.0,109.9,109.9,303.0,0.32
2017-04-07,103.99,107.0,103.99,106.7,106.7,352.0,0.37
2017-04-06,103.8,103.8,103.8,103.8,103.8,101.0,0.1
2017-04-05,103.9,103.9,103.8,103.8,103.8,31.0,0.03
2017-04-03,96.5,104.0,96.01,98.75,98.75,255.0,0.26
2017-03-31,97.0,103.3,97.0,100.95,100.95,1201.0,1.21
2017-03-30,97.85,97.85,93.6,97.0,96.99,40.0,0.04
2017-03-29,97.75,97.75,93.55,93.55,93.55,297.0,0.29
2017-03-27,94.0,94.06,93.25,94.06,94.06,46.0,0.04
2017-03-24,98.97,98.97,94.0,94.0,94.0,208.0,0.2
2017-03-23,98.47,98.47,95.9,95.9,95.9,146.0,0.14
2017-03-22,95.9,98.99,95.9,98.99,98.99,10.0,0.01
2017-03-21,96.0,96.0,95.9,95.9,95.9,54.0,0.05
2017-03-20,96.2,96.2,95.9,96.0,96.0,180.0,0.17
2017-03-17,98.9,98.9,94.21,96.4,96.4,654.0,0.62
2017-03-16,94.25,99.58,94.0,98.95,98.95,606.0,0.57
2017-03-15,94.5,94.95,94.21,94.21,94.21,210.0,0.2
2017-03-14,96.0,104.4,94.2,94.2,94.2,740.0,0.73
2017-03-10,94.15,95.5,92.2,95.0,95.0,110.0,0.1
2017-03-09,95.5,95.74,94.95,95.68,95.31,53.0,0.05
2017-03-08,92.06,92.2,92.06,92.2,92.13,100.0,0.09
2017-03-06,96.8,96.8,92.0,92.0,92.0,650.0,0.6
2017-03-03,91.5,91.5,91.5,91.5,91.5,1.0,0.0
