Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2017-08-02,4.7,4.7,4.55,4.55,4.6,53400.0,2.45
2017-08-01,4.85,4.85,4.65,4.65,4.65,65384.0,3.07
2017-07-31,4.65,4.85,4.65,4.85,4.85,80051.0,3.85
2017-07-28,4.8,4.85,4.65,4.65,4.65,107170.0,5.02
2017-07-27,5.0,5.0,4.75,4.85,4.85,37707.0,1.85
2017-07-26,4.75,4.95,4.7,4.85,4.85,101013.0,4.89
2017-07-25,4.85,4.85,4.7,4.8,4.75,54148.0,2.57
2017-07-24,4.8,4.95,4.7,4.8,4.75,106431.0,5.09
2017-07-21,5.0,5.0,4.75,4.85,4.85,120614.0,5.86
2017-07-20,4.8,5.1,4.8,4.9,4.9,76147.0,3.79
2017-07-19,4.7,4.9,4.7,4.9,4.9,94765.0,4.58
2017-07-18,4.7,4.85,4.7,4.7,4.7,28043.0,1.34
2017-07-17,4.9,4.9,4.7,4.75,4.75,36989.0,1.76
2017-07-14,4.8,4.9,4.6,4.75,4.75,99860.0,4.68
2017-07-13,4.85,4.85,4.75,4.8,4.8,63707.0,3.06
2017-07-12,4.85,4.95,4.75,4.85,4.85,70799.0,3.44
2017-07-11,4.9,5.0,4.8,4.85,4.85,69531.0,3.39
2017-07-10,4.9,5.0,4.85,4.9,4.9,5070.0,0.25
2017-07-07,4.65,4.85,4.5,4.85,4.8,306119.0,14.41
2017-07-06,4.8,4.9,4.6,4.65,4.65,632868.0,29.58
2017-07-05,4.8,4.95,4.75,4.8,4.8,134185.0,6.48
2017-07-04,4.75,4.85,4.65,4.8,4.75,92794.0,4.41
2017-07-03,4.9,4.95,4.7,4.75,4.8,443942.0,21.71
2017-06-30,4.9,5.1,4.75,4.85,4.75,235410.0,11.44
2017-06-29,4.95,5.35,4.95,4.95,5.0,107924.0,5.39
2017-06-28,5.25,5.4,5.15,5.15,5.15,300020.0,15.57
2017-06-27,5.4,5.9,5.4,5.4,5.4,218764.0,11.97
2017-06-23,5.65,6.0,5.65,5.65,5.65,45173.0,2.56
2017-06-22,6.5,6.5,5.9,5.9,5.9,622609.0,38.88
2017-06-21,6.15,6.2,5.8,6.2,6.2,526270.0,32.47
2017-06-20,5.3,5.65,5.3,5.65,5.65,122893.0,6.84
2017-06-19,4.8,5.15,4.7,5.15,5.15,184559.0,9.48
2017-06-16,4.55,4.85,4.5,4.75,4.7,57027.0,2.64
2017-06-15,4.55,4.75,4.5,4.65,4.6,78828.0,3.66
2017-06-14,4.7,4.75,4.55,4.6,4.65,47683.0,2.21
2017-06-13,4.85,4.85,4.45,4.6,4.65,84591.0,3.89
2017-06-12,4.55,5.15,4.55,4.65,4.65,84698.0,4.02
2017-06-09,4.85,4.85,4.55,4.75,4.8,37996.0,1.79
2017-06-08,4.75,5.0,4.5,4.9,4.75,93321.0,4.39
2017-06-07,4.9,5.1,4.45,4.65,4.6,99136.0,4.73
2017-06-06,5.05,5.2,4.8,4.9,4.9,47221.0,2.31
2017-06-05,5.0,5.35,5.0,5.1,5.05,88121.0,4.61
2017-06-02,5.25,5.25,5.0,5.1,5.1,79992.0,4.12
2017-06-01,4.75,5.0,4.75,5.0,5.0,30702.0,1.5
2017-05-31,4.7,5.1,4.7,4.75,4.8,88857.0,4.33
2017-05-30,4.95,4.95,4.7,4.95,4.9,77242.0,3.76
2017-05-29,4.75,4.75,4.75,4.75,4.75,17177.0,0.82
2017-05-26,4.2,4.55,4.2,4.55,4.55,19213.0,0.86
2017-05-25,4.35,4.55,4.3,4.35,4.35,56515.0,2.47
2017-05-24,4.75,4.75,4.35,4.35,4.35,160782.0,7.05
2017-05-23,4.6,4.6,4.55,4.55,4.55,108305.0,4.95
2017-05-22,5.15,5.15,4.75,4.75,4.75,217425.0,10.45
2017-05-19,5.25,5.25,4.85,5.2,4.95,241191.0,12.6
2017-05-18,4.6,5.0,4.6,5.0,5.0,111662.0,5.27
2017-05-17,5.0,5.15,4.8,4.8,4.8,142224.0,6.85
2017-05-16,5.0,5.45,5.0,5.25,5.05,257293.0,13.28
2017-05-15,5.3,5.3,5.25,5.25,5.25,27897.0,1.46
2017-05-12,5.5,5.5,5.5,5.5,5.5,8105.0,0.45
2017-05-11,6.0,6.0,5.75,5.75,5.75,85847.0,4.96
2017-05-10,6.15,6.15,5.9,6.0,6.05,593299.0,36.39
2017-05-09,5.9,5.9,5.9,5.9,5.9,55652.0,3.28
2017-05-08,5.65,5.65,5.65,5.65,5.65,14103.0,0.8
2017-05-05,5.2,5.4,5.2,5.4,5.4,186388.0,10.06
2017-05-04,5.0,5.15,5.0,5.15,5.15,48097.0,2.47
2017-05-03,4.95,4.95,4.75,4.95,4.95,85100.0,4.21
2017-05-02,4.45,4.75,4.45,4.75,4.75,65946.0,3.11
2017-04-28,4.25,4.55,4.15,4.55,4.55,206831.0,9.15
2017-04-27,4.35,4.45,4.35,4.35,4.35,119702.0,5.22
2017-04-26,4.6,4.85,4.55,4.55,4.55,147171.0,6.8
2017-04-25,4.9,4.9,4.75,4.8,4.75,39908.0,1.91
2017-04-24,4.75,4.95,4.7,4.85,4.85,96431.0,4.65
2017-04-21,5.0,5.0,4.75,4.85,4.85,87554.0,4.29
2017-04-20,4.85,5.1,4.8,4.85,4.85,144056.0,7.08
2017-04-19,4.7,4.95,4.7,4.95,4.95,132334.0,6.38
2017-04-18,4.95,4.95,4.65,4.75,4.75,102564.0,5.01
2017-04-17,4.9,4.9,4.7,4.8,4.75,151785.0,7.22
2017-04-13,4.9,4.95,4.7,4.9,4.9,84766.0,4.09
2017-04-12,5.15,5.15,4.7,4.9,4.9,223869.0,10.99
2017-04-11,5.5,5.65,4.95,5.15,5.15,688612.0,35.46
2017-04-10,5.7,6.05,5.35,5.4,5.45,788551.0,45.26
2017-04-07,4.8,5.5,4.8,5.5,5.5,794350.0,42.47
2017-04-06,4.05,4.8,4.0,4.8,4.6,919129.0,40.09
2017-04-05,4.0,4.05,3.95,4.0,4.0,420979.0,16.86
2017-04-03,3.7,4.1,3.7,4.0,3.95,292863.0,11.57
2017-03-31,3.75,3.8,3.65,3.75,3.75,51134.0,1.91
