Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2017-08-02,156.6,157.4,151.5,153.8,153.3,4836024.0,7428.62
2017-08-01,156.4,157.7,154.75,154.9,155.45,6563699.0,10238.81
2017-07-31,159.2,159.8,155.0,155.5,155.55,3445199.0,5394.79
2017-07-28,163.0,164.9,157.7,159.05,159.1,6178056.0,9952.71
2017-07-27,166.55,168.8,162.85,163.9,163.65,7916508.0,13074.17
2017-07-26,169.8,169.8,165.6,166.15,166.25,3793744.0,6356.92
2017-07-25,167.85,170.35,165.2,167.8,168.65,6592943.0,11095.36
2017-07-24,166.0,169.7,162.9,167.3,167.05,9578224.0,15979.31
2017-07-21,159.0,164.5,158.0,164.5,163.55,12421238.0,20013.97
2017-07-20,151.5,158.85,151.45,158.5,157.0,8576575.0,13281.61
2017-07-19,153.15,155.6,150.3,150.6,150.7,11692514.0,17874.08
2017-07-18,149.25,153.8,147.7,153.1,150.4,27783163.0,41882.85
2017-07-17,163.75,163.8,142.15,149.25,148.4,24035120.0,36476.84
2017-07-14,164.0,167.4,162.4,163.0,162.95,6047801.0,9966.41
2017-07-13,163.5,165.4,162.3,163.5,164.1,4897217.0,8002.31
2017-07-12,161.9,163.95,159.5,162.7,162.9,3747235.0,6068.48
2017-07-11,163.5,164.2,159.45,161.8,161.0,4635145.0,7511.77
2017-07-10,174.0,174.7,161.1,162.5,162.55,825741.0,1345.79
2017-07-07,161.85,164.6,158.0,158.75,158.85,3863951.0,6217.73
2017-07-06,161.45,165.0,159.8,161.45,162.35,4745708.0,7729.62
2017-07-05,155.95,162.45,152.25,161.5,161.15,12863683.0,20375.9
2017-07-04,163.85,164.65,154.65,155.55,155.95,6888990.0,10951.54
2017-07-03,163.4,166.0,162.05,163.4,163.25,4247225.0,6963.18
2017-06-30,160.0,164.45,157.45,161.8,162.0,8337124.0,13487.95
2017-06-29,169.0,169.95,163.3,165.25,164.4,12374425.0,20530.8
2017-06-28,166.65,171.85,165.5,167.45,167.0,9996688.0,16870.73
2017-06-27,174.05,175.7,162.95,164.25,165.25,12778285.0,21356.47
2017-06-23,186.0,187.5,168.25,172.6,172.5,29553250.0,52748.51
2017-06-22,199.35,201.6,196.25,198.65,197.9,10220365.0,20334.36
2017-06-21,198.0,201.95,194.1,194.8,194.9,11095314.0,21961.86
