Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2017-08-02,511.0,522.0,511.0,517.25,517.75,120046.0,620.69
2017-08-01,517.05,519.45,508.1,512.0,511.15,113857.0,582.47
2017-07-31,516.6,524.85,515.5,517.2,518.0,91342.0,474.05
2017-07-28,515.6,518.0,508.0,513.0,510.95,146965.0,754.73
2017-07-27,523.4,525.45,518.2,519.0,519.0,88103.0,460.05
2017-07-26,519.7,531.0,518.0,519.2,519.85,214782.0,1126.3
2017-07-25,540.7,543.9,514.25,518.0,517.5,338167.0,1771.23
2017-07-24,558.95,561.35,535.0,535.35,538.85,410487.0,2253.25
2017-07-21,554.3,562.4,552.05,556.7,556.55,126634.0,706.65
2017-07-20,555.05,558.85,547.7,554.5,551.1,96975.0,535.65
2017-07-19,549.45,563.45,546.2,554.0,554.85,145864.0,811.36
2017-07-18,542.0,555.9,542.0,549.1,549.45,114241.0,628.4
2017-07-17,557.0,557.0,544.0,546.6,547.0,139132.0,761.85
2017-07-14,555.95,558.7,545.3,553.5,552.65,133226.0,735.35
2017-07-13,547.4,568.45,547.4,560.05,559.2,336338.0,1886.63
2017-07-12,551.4,556.0,544.0,544.75,544.8,143480.0,786.46
2017-07-11,564.0,566.75,548.95,549.45,550.55,139914.0,777.16
2017-07-10,562.0,568.95,556.9,561.15,561.15,20478.0,115.17
2017-07-07,567.0,572.9,557.65,559.55,560.5,108043.0,609.85
2017-07-06,558.4,575.8,558.4,575.0,569.65,157357.0,896.84
2017-07-05,555.0,566.7,555.0,557.0,558.05,90079.0,504.98
2017-07-04,569.9,573.0,553.15,557.0,556.35,112829.0,634.86
2017-07-03,570.2,578.65,565.0,567.25,568.3,113861.0,650.98
2017-06-30,567.95,573.6,561.25,573.5,568.5,135831.0,769.64
2017-06-29,575.2,583.95,566.65,572.0,570.15,148487.0,856.56
2017-06-28,547.95,576.55,541.3,574.0,573.4,274199.0,1550.02
2017-06-27,568.0,569.9,541.0,551.65,552.65,222571.0,1227.66
2017-06-23,591.0,592.5,565.0,566.25,567.7,281529.0,1614.88
2017-06-22,605.5,610.5,587.1,588.7,590.85,199502.0,1196.75
2017-06-21,612.85,615.95,602.25,604.75,604.9,121393.0,740.03
2017-06-20,616.4,623.4,609.95,614.0,613.7,203474.0,1255.35
2017-06-19,610.4,622.8,604.0,619.4,616.05,249557.0,1534.46
2017-06-16,615.1,622.0,606.3,609.0,608.75,246415.0,1514.12
2017-06-15,604.3,621.0,600.6,614.0,614.1,458302.0,2813.24
2017-06-14,598.0,612.9,594.0,605.0,602.1,309786.0,1865.61
2017-06-13,586.8,610.0,586.0,593.25,594.05,809771.0,4859.08
2017-06-12,583.0,595.0,577.5,584.5,584.6,434694.0,2558.53
2017-06-09,572.0,587.85,570.0,584.75,584.15,653268.0,3792.81
2017-06-08,567.4,575.0,562.0,570.0,569.25,358592.0,2043.46
2017-06-07,547.7,569.4,543.4,565.1,563.55,460431.0,2570.4
2017-06-06,552.65,555.45,542.0,545.5,545.45,165300.0,906.86
2017-06-05,536.75,556.4,530.0,546.0,547.5,252391.0,1380.26
2017-06-02,540.4,544.8,529.0,535.1,534.15,120149.0,646.94
2017-06-01,539.8,549.25,533.0,537.0,535.95,148379.0,804.3
2017-05-31,527.8,546.0,521.45,541.0,540.25,350023.0,1880.94
2017-05-30,513.8,532.75,501.9,525.15,524.4,225784.0,1171.88
2017-05-29,528.6,533.8,510.85,512.5,512.7,97743.0,508.85
2017-05-26,524.0,533.4,519.95,529.65,527.75,137250.0,724.5
2017-05-25,511.0,524.0,511.0,521.7,521.9,132877.0,688.67
2017-05-24,503.9,523.8,501.45,508.1,508.0,243155.0,1246.55
2017-05-23,512.45,521.0,488.0,502.9,504.85,269502.0,1364.16
2017-05-22,535.5,536.7,520.1,524.7,523.05,94237.0,496.91
2017-05-19,539.8,552.8,529.0,532.5,530.85,156884.0,843.35
2017-05-18,548.65,554.0,534.0,536.0,536.85,148820.0,809.32
2017-05-17,559.1,565.95,550.0,552.75,553.5,147636.0,823.56
2017-05-16,548.3,563.75,545.25,558.45,559.75,336164.0,1877.05
2017-05-15,544.0,554.5,537.75,544.0,544.75,185251.0,1013.2
2017-05-12,558.75,558.75,537.0,537.5,539.5,216268.0,1177.25
2017-05-11,571.25,576.25,556.0,557.0,558.3,174458.0,985.14
2017-05-10,564.2,575.0,555.65,572.5,572.25,322142.0,1820.87
2017-05-09,573.45,579.4,562.05,563.5,564.15,150960.0,858.84
2017-05-08,557.0,577.7,552.25,575.0,572.4,305982.0,1740.91
2017-05-05,573.5,586.7,555.0,556.5,559.65,550642.0,3152.23
2017-05-04,554.6,592.5,553.0,572.0,571.8,1438103.0,8268.37
2017-05-03,518.9,557.0,515.1,551.05,551.15,1092547.0,5853.78
2017-05-02,503.0,521.95,495.1,516.95,515.95,586604.0,3003.09
2017-04-28,513.75,513.75,495.0,500.7,500.9,206760.0,1040.77
2017-04-27,517.4,524.9,506.25,509.1,508.8,381702.0,1957.16
2017-04-26,522.9,523.7,503.9,504.85,506.9,416960.0,2131.53
2017-04-25,514.0,525.0,512.0,518.5,518.65,538638.0,2795.77
