Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2017-08-02,5405.0,5458.0,5371.0,5450.0,5440.6,2904.0,157.44
2017-08-01,5475.0,5517.2,5423.2,5453.0,5467.7,9537.0,522.32
2017-07-31,5577.0,5577.0,5460.0,5475.0,5469.65,2427.0,133.15
2017-07-28,5543.1,5543.1,5481.0,5543.0,5536.05,1251.0,69.17
2017-07-27,5492.15,5554.95,5491.0,5544.0,5543.5,4115.0,227.7
2017-07-26,5487.4,5509.0,5458.9,5500.05,5497.55,1110.0,60.9
2017-07-25,5532.95,5549.6,5462.7,5490.05,5498.9,3881.0,213.5
2017-07-24,5497.0,5546.0,5465.0,5542.85,5532.95,2361.0,130.23
2017-07-21,5499.95,5513.4,5450.05,5455.0,5474.45,19926.0,1092.06
2017-07-20,5456.0,5505.0,5456.0,5490.0,5483.55,23882.0,1307.54
2017-07-19,5431.0,5508.95,5431.0,5505.0,5485.3,2667.0,145.96
2017-07-18,5480.5,5499.9,5392.05,5404.75,5421.7,3136.0,170.64
2017-07-17,5451.4,5509.8,5451.4,5500.0,5500.4,4158.0,228.46
2017-07-14,5518.95,5549.95,5456.25,5470.8,5486.7,3522.0,193.66
2017-07-13,5499.95,5532.0,5452.5,5499.0,5497.0,4308.0,236.76
2017-07-12,5474.95,5520.0,5434.95,5500.0,5504.75,7689.0,421.55
2017-07-11,5473.0,5487.7,5421.0,5422.2,5446.2,18526.0,1013.36
2017-07-10,5481.0,5509.0,5432.0,5487.0,5472.95,309.0,16.92
2017-07-07,5520.0,5564.95,5422.3,5479.95,5488.5,2488.0,137.28
2017-07-06,5495.1,5540.0,5456.15,5540.0,5518.3,6736.0,371.37
2017-07-05,5417.95,5538.9,5407.9,5495.0,5492.15,4730.0,259.62
2017-07-04,5370.0,5430.7,5365.1,5422.0,5403.55,3281.0,177.17
2017-07-03,5361.0,5419.95,5350.0,5370.0,5378.0,1386.0,74.53
