Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2016-09-09,1493.05,1506.65,1465.1,1484.9,1481.05,5189.0,76.95
2016-09-08,1505.0,1509.9,1482.05,1497.7,1492.05,4526.0,67.65
2016-09-07,1500.25,1509.95,1479.0,1506.0,1504.1,12637.0,189.34
2016-09-06,1519.0,1519.0,1485.15,1490.0,1492.1,9241.0,138.53
2016-09-02,1511.0,1525.2,1497.25,1497.5,1502.05,4233.0,63.95
2016-09-01,1526.15,1531.9,1501.2,1509.25,1511.5,6060.0,91.67
2016-08-31,1519.85,1554.3,1492.05,1524.0,1539.25,36344.0,553.07
2016-08-30,1521.65,1530.0,1484.5,1513.0,1515.85,12794.0,193.32
2016-08-29,1512.25,1522.35,1500.05,1501.05,1505.65,4360.0,65.78
2016-08-26,1516.0,1529.7,1505.8,1510.0,1512.2,5329.0,80.75
2016-08-25,1538.0,1545.0,1505.2,1507.55,1514.45,8885.0,135.51
2016-08-24,1549.7,1557.55,1506.6,1540.0,1541.95,22093.0,339.5
2016-08-23,1490.0,1604.7,1485.05,1535.5,1545.1,128541.0,1987.42
2016-08-22,1464.5,1499.0,1463.75,1482.1,1486.05,25916.0,384.92
2016-08-19,1425.0,1488.0,1415.55,1473.8,1465.15,35084.0,513.93
2016-08-18,1420.0,1429.0,1391.5,1429.0,1419.05,8230.0,116.32
2016-08-17,1408.05,1425.0,1377.0,1424.9,1412.95,7798.0,109.19
2016-08-16,1400.0,1420.0,1380.0,1420.0,1408.3,7996.0,111.97
2016-08-12,1413.95,1415.0,1374.0,1396.05,1400.75,17162.0,240.01
2016-08-11,1440.95,1448.95,1395.1,1395.1,1403.15,19522.0,274.97
2016-08-10,1435.4,1475.0,1403.6,1426.0,1431.5,25681.0,370.13
2016-08-09,1398.9,1454.25,1374.0,1451.0,1435.35,13585.0,192.44
2016-08-08,1399.9,1400.0,1374.55,1385.05,1391.2,12818.0,178.0
2016-08-05,1368.95,1402.0,1360.0,1372.0,1381.45,23361.0,323.16
2016-08-04,1357.0,1385.0,1316.3,1379.5,1359.05,17086.0,230.14
2016-08-03,1434.0,1434.0,1331.0,1342.0,1350.7,45202.0,623.94
2016-08-02,1401.0,1424.95,1362.6,1388.0,1373.1,26736.0,371.84
2016-08-01,1474.0,1475.0,1393.55,1409.0,1401.9,21361.0,304.14
2016-07-29,1477.4,1497.8,1440.0,1458.0,1451.65,22943.0,335.09
2016-07-28,1494.0,1540.0,1465.1,1476.95,1477.45,60690.0,905.02
2016-07-27,1487.0,1514.0,1455.0,1480.0,1478.35,31039.0,461.19
2016-07-26,1551.3,1572.0,1451.25,1477.0,1479.95,136206.0,2058.68
2016-07-25,1425.0,1549.0,1400.25,1540.0,1520.95,102740.0,1544.68
2016-07-22,1420.0,1458.0,1378.25,1430.0,1422.05,35882.0,514.57
2016-07-21,1397.0,1431.9,1385.25,1409.95,1406.15,19860.0,280.31
2016-07-20,1383.75,1410.0,1373.25,1397.5,1397.85,9207.0,128.08
2016-07-19,1365.2,1393.95,1355.15,1385.0,1385.5,7491.0,102.82
2016-07-18,1378.5,1387.35,1356.0,1359.0,1365.45,5840.0,80.05
