Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2017-08-02,449.0,449.0,440.0,443.9,443.5,1083062.0,4795.45
2017-08-01,458.95,459.3,441.6,445.95,443.95,1109257.0,4961.6
2017-07-31,452.0,459.9,449.05,459.3,458.95,880996.0,4016.15
2017-07-28,440.05,452.85,437.15,449.0,448.0,1425701.0,6350.61
2017-07-27,454.6,457.8,433.15,440.05,439.05,2306141.0,10221.91
2017-07-26,472.0,474.8,448.25,451.85,450.35,3301351.0,15129.97
2017-07-25,472.25,472.25,464.05,468.2,468.1,847405.0,3962.6
2017-07-24,466.45,474.0,462.8,468.15,468.6,809702.0,3797.11
2017-07-21,461.5,472.8,460.1,464.35,464.4,1082299.0,5047.89
2017-07-20,474.05,475.8,460.25,461.4,461.5,1206408.0,5616.98
2017-07-19,478.85,480.4,471.1,474.4,474.25,540758.0,2572.89
2017-07-18,474.0,492.55,472.45,477.0,476.2,1645392.0,7951.57
2017-07-17,485.0,485.9,471.75,474.0,473.2,809231.0,3870.56
2017-07-14,485.7,487.25,482.0,483.65,484.35,309227.0,1496.07
2017-07-13,487.4,493.75,483.2,487.0,486.25,1211517.0,5891.61
2017-07-12,490.0,494.5,481.0,485.95,487.0,1021677.0,4969.24
2017-07-11,486.65,498.7,485.1,489.45,489.35,984677.0,4841.67
2017-07-10,500.0,500.0,482.6,484.8,484.2,122902.0,597.25
2017-07-07,488.7,489.6,479.0,484.8,482.85,1035870.0,5002.89
2017-07-06,496.4,499.7,485.6,491.6,489.75,1144572.0,5647.06
2017-07-05,490.95,501.85,490.95,496.2,494.45,2395805.0,11897.19
2017-07-04,476.05,509.4,475.0,489.0,489.35,3140893.0,15559.99
2017-07-03,469.0,474.9,466.3,472.0,472.3,584556.0,2757.41
2017-06-30,468.35,484.8,460.05,471.6,471.6,1951474.0,9214.85
2017-06-29,458.0,475.8,457.8,473.85,473.65,2472285.0,11597.13
2017-06-28,438.25,459.75,435.85,457.8,457.55,808440.0,3643.96
2017-06-27,442.25,446.9,437.2,437.8,440.0,716409.0,3170.84
2017-06-23,445.0,446.9,437.7,440.05,439.95,584947.0,2571.59
2017-06-22,440.6,449.9,440.6,443.8,445.1,547435.0,2441.47
2017-06-21,438.55,443.85,437.0,441.8,442.0,221685.0,975.56
2017-06-20,443.6,444.95,436.8,437.55,439.9,299387.0,1315.89
2017-06-19,443.0,449.0,442.4,443.9,443.85,190031.0,846.34
2017-06-16,444.9,449.2,442.55,444.0,444.05,409466.0,1822.69
2017-06-15,438.0,443.9,438.0,442.0,441.9,327885.0,1445.28
2017-06-14,428.05,446.5,426.25,437.5,437.05,1010693.0,4421.14
2017-06-13,426.35,432.4,422.75,428.75,428.9,480293.0,2063.03
2017-06-12,434.6,435.0,420.75,423.65,422.75,372156.0,1587.65
2017-06-09,422.5,436.0,421.0,433.15,434.6,983085.0,4232.07
2017-06-08,422.5,428.0,418.05,422.5,421.25,744147.0,3151.59
2017-06-07,404.5,424.9,404.5,421.5,421.0,2430312.0,10132.43
2017-06-06,406.0,408.9,397.7,401.65,400.95,213689.0,863.15
2017-06-05,409.5,413.5,405.2,405.8,406.45,247310.0,1013.2
2017-06-02,403.0,413.9,398.0,409.0,410.65,797368.0,3259.27
2017-06-01,403.0,409.4,402.1,403.0,403.05,119366.0,482.76
2017-05-31,398.0,409.0,398.0,405.4,406.85,727428.0,2936.02
2017-05-30,397.0,403.0,394.0,400.0,401.6,1057727.0,4220.33
2017-05-29,400.55,401.8,393.25,394.6,394.8,441748.0,1747.76
2017-05-26,403.95,407.55,398.05,399.55,400.2,629809.0,2538.8
2017-05-25,403.0,407.2,398.05,400.35,399.75,1769399.0,7136.49
2017-05-24,409.95,409.95,398.25,403.0,402.4,814120.0,3266.9
2017-05-23,405.75,411.3,398.05,410.0,410.0,437279.0,1773.48
2017-05-22,412.0,414.85,404.1,404.75,406.55,281945.0,1154.65
2017-05-19,415.0,417.8,408.5,410.25,410.1,388933.0,1603.59
2017-05-18,411.0,419.4,410.0,412.75,413.45,394445.0,1632.04
2017-05-17,417.1,420.75,413.0,416.0,415.7,251906.0,1046.85
2017-05-16,415.95,419.9,412.0,415.5,417.5,337174.0,1405.07
2017-05-15,411.0,419.9,409.0,417.5,416.8,417009.0,1732.32
2017-05-12,412.6,414.9,406.25,411.0,410.25,472820.0,1938.22
2017-05-11,408.8,418.0,405.1,411.0,410.65,475934.0,1961.49
2017-05-10,411.25,414.5,409.15,410.0,410.8,227293.0,934.2
2017-05-09,410.3,415.5,407.25,410.0,410.0,271823.0,1115.59
2017-05-08,395.9,415.0,394.95,414.15,410.3,845382.0,3432.41
2017-05-05,394.0,395.7,387.0,393.65,391.95,391334.0,1527.33
2017-05-04,399.1,402.7,391.75,393.5,393.2,503425.0,1994.34
2017-05-03,399.05,404.75,397.0,398.2,398.7,455632.0,1821.7
2017-05-02,408.0,408.4,398.5,399.4,399.7,278792.0,1116.12
2017-04-28,403.45,407.8,402.0,406.45,406.0,472949.0,1916.93
2017-04-27,402.0,406.85,397.0,399.0,399.5,470937.0,1882.6
2017-04-26,422.05,424.0,395.0,401.15,401.25,1771631.0,7191.34
2017-04-25,403.9,422.85,403.1,418.85,419.9,1607040.0,6674.67
2017-04-24,409.0,409.8,400.8,402.3,402.7,540438.0,2179.67
2017-04-21,402.9,409.85,401.1,406.55,407.85,819153.0,3325.84
2017-04-20,402.0,404.0,397.0,398.05,399.25,219296.0,880.45
2017-04-19,403.0,405.65,398.5,400.0,399.75,500685.0,2004.96
2017-04-18,405.0,407.0,398.45,402.05,402.6,494894.0,1996.23
2017-04-17,404.15,405.2,400.0,402.6,402.75,506568.0,2039.79
2017-04-13,401.15,406.0,396.2,404.15,404.3,1193931.0,4809.52
2017-04-12,392.0,411.0,383.15,399.65,401.15,1234306.0,4949.42
2017-04-11,393.35,398.75,391.5,392.8,393.3,395927.0,1559.93
2017-04-10,400.0,401.15,393.0,395.0,394.85,643998.0,2550.16
2017-04-07,391.0,402.85,390.05,400.95,400.0,837076.0,3344.74
2017-04-06,398.3,401.0,391.1,391.5,391.45,464507.0,1830.19
2017-04-05,386.9,399.45,386.05,397.55,397.75,1333735.0,5245.96
2017-04-03,382.55,386.35,381.0,384.9,385.35,338548.0,1300.11
2017-03-31,372.6,386.95,372.5,384.1,382.4,1180554.0,4473.1
2017-03-30,370.95,375.45,370.9,374.2,374.35,1950487.0,7267.44
2017-03-29,371.5,373.9,368.8,369.0,370.9,237378.0,881.77
2017-03-28,374.5,376.5,369.0,371.1,371.6,333510.0,1238.15
2017-03-27,373.8,377.0,372.6,374.0,375.1,680026.0,2554.0
2017-03-24,368.5,374.9,368.05,373.0,374.05,672041.0,2500.33
2017-03-23,365.0,368.3,364.45,367.6,367.8,553928.0,2033.35
2017-03-22,369.1,369.45,361.25,363.5,364.1,614601.0,2251.81
2017-03-21,368.3,374.55,368.3,370.0,371.1,3806709.0,14213.82
2017-03-20,372.8,373.55,367.2,368.0,368.2,447618.0,1655.57
2017-03-17,371.5,375.9,365.15,369.9,371.3,11314052.0,42015.34
2017-03-16,377.0,378.9,369.15,370.9,370.2,766241.0,2866.38
2017-03-15,373.65,378.9,373.65,374.8,376.75,1202120.0,4527.52
2017-03-14,374.9,375.9,372.2,374.5,374.75,2035563.0,7615.19
2017-03-10,373.7,374.9,368.35,370.75,370.45,1134047.0,4223.86
2017-03-09,372.0,378.0,369.4,370.8,372.65,1922978.0,7204.51
2017-03-08,369.5,375.0,368.25,373.25,374.0,1536173.0,5728.86
2017-03-07,371.0,372.8,360.55,368.0,368.9,854942.0,3147.91
2017-03-06,363.6,370.45,361.25,370.0,369.5,1628485.0,5975.79
2017-03-03,362.95,365.1,359.1,361.7,362.6,512670.0,1859.77
2017-03-02,368.0,371.6,361.1,362.7,363.2,2018671.0,7414.86
2017-03-01,360.3,364.0,358.95,363.0,362.4,539631.0,1955.19
2017-02-28,362.95,365.0,358.15,362.2,361.35,534927.0,1935.84
2017-02-27,358.75,364.0,357.05,362.2,362.5,1025217.0,3700.66
2017-02-23,353.9,360.4,351.85,357.9,357.85,446372.0,1598.12
2017-02-22,358.0,358.1,350.0,351.9,351.8,301117.0,1063.84
2017-02-21,358.0,363.0,355.55,356.0,356.8,269628.0,967.73
2017-02-20,362.0,362.8,357.2,357.5,358.45,221447.0,795.96
2017-02-17,360.0,365.3,355.0,362.15,362.9,1026944.0,3711.63
2017-02-16,348.55,360.0,348.55,359.65,358.8,500182.0,1781.83
2017-02-15,356.0,357.0,347.2,349.5,349.15,242565.0,850.11
2017-02-14,351.4,358.4,351.4,356.0,357.4,504941.0,1799.0
2017-02-13,352.95,355.0,348.8,351.0,351.4,339348.0,1193.42
2017-02-10,357.8,362.15,348.15,349.3,350.2,1036168.0,3682.62
2017-02-09,357.55,360.8,352.1,357.35,356.45,516261.0,1838.82
2017-02-08,363.0,365.0,356.25,356.9,358.15,1761889.0,6333.45
2017-02-07,366.0,367.2,361.0,362.5,363.6,608870.0,2211.5
2017-02-06,357.5,368.75,357.5,366.1,367.45,1838252.0,6725.67
2017-02-03,359.3,362.0,356.7,357.0,360.15,896563.0,3224.27
2017-02-02,358.8,360.0,355.5,357.25,359.3,1097980.0,3926.73
2017-02-01,342.5,359.9,342.5,356.6,358.95,1719603.0,6119.16
2017-01-31,349.0,349.5,338.0,342.5,345.4,1209329.0,4165.37
2017-01-30,354.0,355.95,348.1,349.0,351.3,812733.0,2875.58
2017-01-27,354.0,356.35,352.5,353.0,353.9,1172267.0,4153.36
2017-01-25,357.55,359.35,351.55,353.75,353.85,1595576.0,5646.56
2017-01-24,360.0,363.5,356.15,357.8,359.75,2132140.0,7681.33
2017-01-23,360.0,362.35,356.2,358.6,361.15,2539069.0,9145.18
2017-01-20,347.7,362.0,346.6,359.1,359.4,5356347.0,19169.5
2017-01-19,340.8,351.5,339.25,348.05,349.75,5040128.0,17525.02
2017-01-18,334.85,343.0,332.7,339.0,340.0,3153477.0,10683.52
2017-01-17,332.0,335.65,330.1,331.0,331.7,548693.0,1826.54
2017-01-16,330.1,334.0,330.0,330.4,331.15,495389.0,1643.62
2017-01-13,334.6,336.4,330.95,332.1,331.9,360639.0,1200.31
2017-01-12,337.8,338.25,330.65,333.25,334.55,537489.0,1798.09
2017-01-11,337.0,338.7,334.25,337.15,337.8,1609150.0,5418.56
2017-01-10,330.0,336.5,329.4,335.35,335.55,1660190.0,5551.41
2017-01-09,331.0,333.25,326.1,329.0,329.05,787856.0,2595.63
2017-01-06,327.95,338.0,326.65,330.8,331.0,4655888.0,15486.21
2017-01-05,320.95,328.7,320.3,326.9,326.75,1993192.0,6491.65
2017-01-04,314.65,321.0,313.5,320.1,319.7,1583760.0,5043.25
2017-01-03,308.6,313.75,308.0,313.65,313.05,675149.0,2103.04
2017-01-02,301.2,307.9,301.2,307.7,307.1,336913.0,1030.47
2016-12-30,300.95,306.0,300.1,301.0,302.25,515022.0,1562.38
2016-12-29,295.3,301.7,295.3,300.0,300.1,463260.0,1385.32
2016-12-28,299.75,299.75,294.55,294.55,295.1,490137.0,1455.15
2016-12-27,294.15,297.5,294.1,295.3,295.45,403888.0,1194.53
2016-12-26,299.0,300.5,294.55,295.0,295.05,483325.0,1434.8
2016-12-23,304.1,306.95,300.0,300.3,300.65,461339.0,1395.65
2016-12-22,317.0,317.0,305.1,306.8,307.15,467785.0,1446.32
2016-12-21,318.7,319.95,314.0,314.95,316.2,717254.0,2268.82
2016-12-20,313.8,319.9,312.5,317.55,318.25,1832659.0,5815.83
2016-12-19,310.0,317.95,308.0,314.55,315.5,3045917.0,9566.07
2016-12-16,309.95,312.0,305.7,310.05,310.55,1466142.0,4538.27
2016-12-15,296.0,311.9,295.0,310.85,310.65,2601377.0,8011.2
2016-12-14,296.7,302.3,296.0,297.35,297.2,828122.0,2465.39
2016-12-13,298.8,298.9,295.45,298.1,298.15,448043.0,1329.85
2016-12-12,295.0,300.3,294.5,297.55,298.9,1858187.0,5504.3
2016-12-09,297.7,299.55,293.55,294.95,294.95,490921.0,1453.66
2016-12-08,293.75,298.45,293.55,298.0,297.05,384455.0,1139.78
2016-12-07,294.5,295.5,292.0,293.0,292.65,287566.0,843.58
2016-12-06,293.5,296.9,292.25,293.5,293.5,286857.0,843.63
2016-12-05,298.0,298.55,292.6,293.1,293.5,2962323.0,8696.38
2016-12-02,303.1,303.15,298.05,298.3,298.65,530891.0,1588.72
2016-12-01,309.1,310.0,303.35,304.05,304.05,398945.0,1216.36
2016-11-30,314.95,314.95,308.25,309.0,309.75,527033.0,1635.06
2016-11-29,308.9,314.9,308.2,313.7,314.1,923896.0,2886.44
2016-11-28,303.9,309.0,303.1,308.5,308.3,545827.0,1673.43
2016-11-25,296.0,307.9,295.5,301.7,303.55,827475.0,2499.39
2016-11-24,295.1,296.0,291.3,295.7,295.05,378291.0,1111.6
