Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2017-08-02,46.35,46.4,45.05,45.2,45.2,51784.0,23.57
2017-08-01,47.55,48.5,45.3,46.45,46.35,91321.0,42.8
2017-07-31,47.95,49.75,46.05,47.3,47.25,592118.0,285.49
2017-07-28,44.75,45.5,44.1,45.5,45.0,43855.0,19.69
2017-07-27,45.95,45.95,44.4,44.6,44.75,52683.0,23.72
2017-07-26,45.0,46.6,44.8,45.4,45.35,134418.0,61.33
2017-07-25,45.55,45.55,44.55,44.7,44.7,55254.0,24.79
2017-07-24,45.7,45.95,44.55,45.4,45.15,97639.0,44.13
2017-07-21,45.75,46.6,44.4,44.75,44.65,111350.0,50.54
2017-07-20,45.05,45.95,44.75,45.45,45.45,47917.0,21.67
2017-07-19,45.75,46.5,44.1,44.55,44.6,77044.0,34.74
2017-07-18,44.65,45.75,44.0,45.5,45.4,95366.0,42.8
2017-07-17,46.5,47.5,44.4,44.85,44.65,101872.0,46.34
2017-07-14,47.45,48.35,45.8,46.6,46.65,125546.0,58.83
2017-07-13,46.0,48.8,44.55,47.7,47.6,389978.0,184.84
2017-07-12,45.25,45.75,45.0,45.15,45.25,33717.0,15.29
2017-07-11,46.65,46.65,45.0,45.0,45.05,43154.0,19.67
2017-07-10,50.0,50.0,45.55,45.95,46.2,12347.0,5.7
2017-07-07,45.4,46.6,45.0,45.7,45.65,66310.0,30.39
2017-07-06,48.15,48.4,44.6,45.5,45.4,167374.0,77.75
2017-07-05,43.25,47.6,42.85,46.8,46.75,503310.0,232.56
2017-07-04,43.4,43.5,42.65,43.5,43.15,39188.0,16.85
2017-07-03,42.75,43.4,42.2,43.05,43.15,65611.0,28.2
2017-06-30,43.0,43.0,41.9,42.2,42.25,117526.0,49.84
2017-06-29,44.0,45.2,42.75,43.0,43.2,275548.0,121.2
2017-06-28,43.8,45.0,42.8,43.7,43.2,86276.0,37.53
2017-06-27,45.65,45.65,44.0,44.0,44.1,62535.0,27.75
2017-06-23,46.4,46.4,43.0,44.55,44.45,97447.0,43.4
2017-06-22,45.05,46.55,44.6,45.75,45.8,170138.0,77.83
2017-06-21,46.0,46.4,43.65,44.4,44.45,151962.0,68.2
2017-06-20,47.0,47.0,45.5,45.85,45.95,100528.0,46.4
2017-06-19,46.65,47.15,46.65,46.95,46.95,47565.0,22.33
2017-06-16,47.6,47.7,46.5,46.6,46.65,79433.0,37.33
2017-06-15,46.85,47.7,46.5,46.75,46.8,84672.0,39.97
2017-06-14,47.7,48.0,46.55,47.0,46.85,87142.0,41.11
2017-06-13,47.9,48.95,47.45,47.45,47.6,150559.0,72.4
2017-06-12,49.05,49.05,47.5,47.9,47.65,70252.0,33.67
2017-06-09,48.25,49.3,47.15,49.0,49.0,211780.0,102.06
2017-06-08,50.05,50.5,48.05,48.25,48.25,119781.0,58.38
2017-06-07,49.7,50.9,49.45,50.0,49.8,122774.0,61.34
2017-06-06,52.5,52.5,49.25,50.0,49.55,126426.0,63.62
2017-06-05,52.5,53.8,51.85,52.0,51.9,74344.0,39.13
2017-06-02,53.05,53.85,52.1,52.1,52.6,99201.0,52.55
2017-06-01,52.5,54.25,52.1,53.0,52.95,94467.0,50.34
2017-05-31,53.0,53.55,52.0,52.35,52.35,75037.0,39.75
2017-05-30,57.0,57.55,52.5,52.9,53.15,414572.0,226.48
2017-05-29,50.7,52.05,50.1,50.4,50.35,49698.0,25.31
2017-05-26,50.4,50.8,48.0,50.7,50.3,48105.0,23.94
2017-05-25,47.0,49.4,47.0,49.4,48.8,51443.0,24.78
2017-05-24,50.0,50.0,46.2,47.0,46.65,117105.0,56.5
2017-05-23,51.9,51.9,49.6,50.1,50.15,52761.0,26.59
2017-05-22,53.45,53.55,51.15,51.4,51.3,47555.0,24.78
2017-05-19,54.95,54.95,52.1,52.6,52.65,52162.0,27.81
2017-05-18,54.85,55.25,53.25,53.5,53.6,118325.0,64.17
2017-05-17,55.8,56.3,55.5,55.6,55.65,66209.0,36.89
2017-05-16,55.85,57.35,55.75,56.0,56.0,230596.0,130.18
2017-05-15,57.5,57.8,55.35,56.0,55.85,96085.0,54.33
2017-05-12,55.0,56.95,54.2,56.5,56.35,580966.0,326.36
2017-05-11,54.7,56.0,54.45,54.95,54.85,171994.0,94.81
2017-05-10,54.2,56.05,54.2,54.5,54.45,145942.0,80.37
2017-05-09,54.6,55.25,54.15,54.7,54.4,52189.0,28.48
2017-05-08,54.5,56.0,54.0,54.85,54.65,147590.0,81.25
2017-05-05,55.9,56.2,53.85,53.85,54.3,76818.0,42.09
2017-05-04,56.55,57.05,55.1,56.0,55.65,52796.0,29.44
2017-05-03,56.05,57.45,55.05,55.75,55.85,66191.0,37.19
2017-05-02,56.5,56.8,55.75,56.0,56.1,51502.0,28.93
2017-04-28,56.45,57.0,55.65,56.05,56.3,72732.0,40.83
2017-04-27,56.8,57.1,56.2,56.25,56.35,43589.0,24.61
2017-04-26,58.85,58.95,56.3,56.65,56.65,125283.0,71.92
2017-04-25,59.2,59.55,58.1,58.45,58.35,138061.0,81.03
2017-04-24,58.9,59.5,57.95,59.0,58.7,147136.0,86.81
2017-04-21,58.55,59.0,57.0,57.7,57.75,103766.0,60.22
2017-04-20,59.0,59.8,58.3,58.3,58.5,109209.0,64.58
2017-04-19,59.1,59.9,58.2,59.5,59.1,182152.0,107.73
2017-04-18,56.55,60.45,55.7,58.3,58.3,394002.0,230.16
2017-04-17,56.4,56.85,55.2,56.55,56.05,45728.0,25.6
2017-04-13,57.0,57.3,56.05,56.3,56.3,60677.0,34.46
2017-04-12,58.9,58.9,56.25,56.6,56.45,143689.0,82.22
2017-04-11,58.0,59.65,57.45,58.05,58.5,149671.0,87.61
2017-04-10,57.1,58.4,56.5,58.2,58.0,115994.0,66.95
2017-04-07,56.1,58.9,55.35,56.85,57.05,247568.0,142.79
2017-04-06,56.95,57.55,55.0,55.8,55.95,80556.0,45.23
2017-04-05,55.5,57.25,54.9,56.95,56.6,157893.0,88.91
2017-04-03,54.75,55.5,54.2,55.0,54.95,50364.0,27.63
2017-03-31,54.95,54.95,53.85,54.2,54.05,77584.0,42.04
2017-03-30,55.7,56.0,53.85,54.35,54.2,93649.0,51.37
2017-03-29,55.7,57.9,54.5,54.6,54.95,378571.0,212.12
2017-03-28,58.0,58.0,55.5,55.65,55.7,101461.0,57.05
2017-03-27,58.05,58.9,56.35,57.65,57.85,157456.0,90.42
2017-03-24,55.55,56.6,55.2,55.75,56.15,65423.0,36.68
2017-03-23,55.7,56.0,54.8,55.7,55.55,89689.0,49.68
2017-03-22,56.85,56.85,55.2,55.6,55.6,63385.0,35.4
2017-03-21,58.5,58.85,56.65,57.3,57.2,358666.0,205.81
2017-03-20,56.4,56.5,55.25,55.8,55.7,70505.0,39.36
2017-03-17,57.55,58.05,56.2,56.6,56.55,61596.0,35.22
2017-03-16,56.2,59.0,54.95,57.4,57.3,170243.0,97.25
2017-03-15,56.05,56.85,55.2,55.7,55.55,88777.0,49.52
2017-03-14,57.9,57.95,55.5,55.5,56.05,67193.0,38.09
2017-03-10,55.15,58.5,55.0,56.05,56.25,211329.0,119.93
2017-03-09,54.75,55.95,54.5,55.3,55.15,45202.0,24.95
2017-03-08,57.8,58.05,54.5,54.85,55.0,139246.0,77.33
2017-03-07,59.1,59.5,57.5,58.05,57.75,52706.0,30.71
2017-03-06,59.95,60.55,58.45,58.75,58.65,53615.0,31.68
2017-03-03,59.05,61.4,58.8,59.75,59.75,66080.0,39.64
2017-03-02,62.75,64.0,58.5,59.55,60.35,129531.0,78.93
2017-03-01,62.0,62.7,61.1,62.25,62.1,120818.0,74.8
2017-02-28,60.0,65.0,59.55,62.0,62.25,345995.0,217.01
2017-02-27,59.2,61.9,59.0,59.55,59.7,143567.0,86.69
2017-02-23,61.45,61.9,60.05,60.5,60.65,118662.0,72.26
2017-02-22,64.5,64.85,61.1,61.35,61.8,356734.0,224.61
2017-02-21,64.15,66.0,61.65,64.65,63.85,864806.0,551.09
2017-02-20,55.65,65.75,55.05,64.0,64.1,1860921.0,1139.65
