Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2017-08-03,664.9,669.95,660.0,665.0,665.85,4726.0,31.44
2017-08-02,673.75,673.75,656.05,660.0,663.1,3654.0,24.18
2017-08-01,652.2,672.8,645.2,645.2,657.25,13366.0,87.68
2017-07-31,652.1,660.45,640.5,643.1,648.9,13365.0,86.69
2017-07-28,652.0,658.0,651.5,657.9,653.35,3028.0,19.82
2017-07-27,665.0,673.0,652.0,664.4,658.15,3041.0,20.19
2017-07-26,657.0,675.0,657.0,669.0,664.35,1212.0,8.09
2017-07-25,681.0,682.95,652.0,657.0,661.45,6030.0,39.96
2017-07-24,674.0,696.0,673.6,675.0,676.3,2322.0,15.74
2017-07-21,670.55,699.5,667.0,674.0,678.55,13522.0,92.58
2017-07-20,690.0,690.0,666.0,677.0,670.55,5135.0,34.73
2017-07-19,690.9,700.0,680.0,685.0,685.15,11587.0,80.18
2017-07-18,700.0,709.9,676.1,681.25,687.9,36085.0,251.63
2017-07-17,667.7,700.0,640.0,699.0,697.0,47546.0,325.71
2017-07-14,645.0,671.25,633.35,659.0,662.1,7925.0,51.69
2017-07-13,639.0,654.25,628.05,646.0,642.25,3923.0,25.23
2017-07-12,634.8,638.4,623.45,627.0,627.95,1756.0,11.03
2017-07-11,632.2,649.9,627.0,631.0,630.9,3959.0,25.29
2017-07-10,635.0,649.0,591.0,637.0,637.0,3166.0,20.12
2017-07-07,642.05,647.0,640.0,645.85,645.45,1553.0,10.01
2017-07-06,640.0,644.95,626.05,642.0,637.15,2862.0,18.26
2017-07-05,637.85,645.8,631.4,640.0,640.0,880.0,5.63
2017-07-04,648.95,651.95,631.0,643.6,633.15,8308.0,53.95
2017-07-03,617.5,649.25,613.05,645.0,645.1,8956.0,56.1
2017-06-30,625.0,630.0,582.55,611.1,613.9,11582.0,72.02
2017-06-29,625.05,632.45,625.05,630.0,630.35,501.0,3.15
2017-06-28,620.0,644.9,614.15,630.0,627.0,1594.0,10.03
2017-06-27,636.05,637.0,621.25,632.95,627.85,4440.0,27.97
2017-06-23,643.0,649.9,637.95,638.0,638.8,4198.0,26.94
2017-06-22,636.4,649.85,636.4,645.0,644.15,4399.0,28.34
2017-06-21,638.0,647.95,638.0,643.0,640.25,1281.0,8.23
2017-06-20,640.0,655.0,635.0,641.5,643.8,2306.0,14.85
2017-06-19,645.05,649.9,640.0,640.0,640.4,1938.0,12.44
2017-06-16,629.0,645.0,629.0,642.0,643.0,3418.0,21.85
2017-06-15,635.0,650.0,629.0,629.2,629.05,1736.0,11.06
2017-06-14,639.95,646.0,632.35,634.0,635.05,970.0,6.18
2017-06-13,625.0,637.0,624.0,636.95,634.85,4055.0,25.68
2017-06-12,622.0,629.1,620.0,625.0,623.55,16036.0,100.04
2017-06-09,619.05,631.85,619.05,621.0,622.85,3246.0,20.24
2017-06-08,620.0,624.9,617.05,620.0,623.6,2218.0,13.77
2017-06-07,605.4,624.3,605.4,622.7,621.55,2658.0,16.47
2017-06-06,620.0,624.65,604.1,618.8,615.2,5200.0,31.88
2017-06-05,617.15,624.6,610.1,615.25,618.6,1435.0,8.85
2017-06-02,602.0,624.35,602.0,617.1,617.15,1119.0,6.9
2017-06-01,620.0,620.0,604.15,612.85,610.25,1711.0,10.47
2017-05-31,628.65,630.55,609.95,618.4,620.3,2795.0,17.29
2017-05-30,614.0,629.7,599.05,623.55,618.65,6011.0,36.72
2017-05-29,616.05,616.05,596.05,609.0,606.0,3550.0,21.38
2017-05-26,609.45,663.6,609.05,619.6,612.35,9686.0,59.97
2017-05-25,612.0,614.0,601.3,612.9,610.95,3306.0,20.13
2017-05-24,610.0,614.4,582.3,608.55,604.9,4814.0,29.07
2017-05-23,610.0,626.0,594.0,599.8,598.55,7191.0,44.03
2017-05-22,635.05,644.95,610.0,617.0,618.25,4785.0,29.71
2017-05-19,645.0,649.35,630.0,630.0,634.75,13082.0,83.36
2017-05-18,650.0,685.0,645.25,659.8,658.55,10169.0,67.7
2017-05-17,651.65,659.95,651.65,655.1,655.95,3614.0,23.72
2017-05-16,655.9,659.95,650.1,655.2,657.15,1446.0,9.46
2017-05-15,669.75,669.75,651.0,656.05,657.35,3140.0,20.65
2017-05-12,656.2,668.35,654.05,655.35,661.9,5912.0,39.0
2017-05-11,656.2,668.0,651.65,667.0,663.8,5643.0,37.27
2017-05-10,652.75,668.0,650.0,664.25,660.85,5731.0,37.72
2017-05-09,664.1,675.0,635.95,646.0,642.55,5210.0,33.75
2017-05-08,655.3,658.15,628.0,643.0,644.75,8019.0,51.47
2017-05-05,651.0,671.0,650.0,655.0,655.8,6033.0,39.98
2017-05-04,673.5,673.5,655.0,655.0,659.7,4431.0,29.3
2017-05-03,672.15,676.9,652.35,659.35,660.75,4109.0,27.23
2017-05-02,688.7,688.7,661.3,666.05,668.85,3472.0,23.34
2017-04-28,666.95,684.6,657.05,673.0,671.6,3050.0,20.57
2017-04-27,684.45,686.95,650.5,665.0,664.7,10824.0,72.31
2017-04-26,710.2,716.35,661.2,685.0,681.85,18080.0,125.67
2017-04-25,682.0,729.0,682.0,710.0,708.45,58609.0,420.01
2017-04-24,687.0,698.3,675.0,691.0,689.2,11912.0,81.54
2017-04-21,705.0,705.0,670.55,678.0,679.3,24282.0,167.66
2017-04-20,655.95,719.9,648.65,702.0,698.15,106222.0,737.87
2017-04-19,628.95,661.0,627.7,657.1,655.8,26422.0,171.55
2017-04-18,629.0,674.25,619.0,629.0,623.25,81372.0,532.92
2017-04-17,610.0,638.9,606.0,633.0,630.95,47609.0,297.83
2017-04-13,576.95,612.2,575.05,601.0,605.8,31618.0,189.49
2017-04-12,572.75,577.95,565.0,575.0,574.4,8097.0,46.35
2017-04-11,572.65,575.95,570.6,573.25,573.05,3505.0,20.07
2017-04-10,572.35,577.45,571.5,572.45,572.45,4455.0,25.59
2017-04-07,569.05,584.0,567.2,577.5,570.95,7558.0,43.49
2017-04-06,571.1,575.0,567.6,574.0,573.35,4156.0,23.77
2017-04-05,580.0,583.95,565.0,581.0,577.85,6357.0,36.77
2017-04-03,553.35,586.3,551.0,578.15,575.0,17242.0,98.43
2017-03-31,559.0,563.85,545.2,550.0,549.75,9764.0,54.09
2017-03-30,559.0,567.0,554.1,556.5,557.45,8004.0,44.87
2017-03-29,558.95,559.0,547.0,549.9,552.7,4156.0,22.96
