Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2017-07-31,17.9,17.9,17.9,17.9,17.9,50.0,0.01
2017-07-27,17.55,17.9,16.4,17.9,17.15,259.0,0.04
2017-07-26,17.2,17.2,17.15,17.15,17.15,2240.0,0.39
2017-07-25,19.0,19.0,18.05,18.05,18.05,350.0,0.06
2017-07-24,19.0,19.0,19.0,19.0,19.0,39.0,0.01
2017-07-21,19.0,19.0,19.0,19.0,19.0,11.0,0.0
2017-07-20,19.9,19.9,19.9,19.9,19.9,300.0,0.06
2017-07-17,20.5,20.8,19.9,19.9,19.9,1000.0,0.2
2017-07-14,20.9,20.9,20.9,20.9,20.9,57.0,0.01
2017-07-13,21.4,22.0,21.4,22.0,22.0,500.0,0.11
2017-07-12,21.25,22.0,21.25,21.5,21.5,2310.0,0.5
2017-07-11,20.0,21.3,19.3,21.25,21.25,3344.0,0.65
2017-07-10,20.3,20.3,20.3,20.3,20.3,65.0,0.01
2017-07-07,18.6,20.3,18.4,20.3,20.3,3427.0,0.65
2017-07-06,19.0,20.4,19.0,19.0,19.35,2311.0,0.46
2017-07-05,18.25,19.45,18.25,19.45,19.45,548.0,0.11
2017-07-04,17.3,19.05,17.3,19.05,19.05,1676.0,0.3
2017-07-03,19.0,19.0,18.15,18.15,18.15,964.0,0.18
2017-06-30,19.0,19.25,19.0,19.1,19.1,245.0,0.05
2017-06-29,19.15,19.15,19.0,19.0,19.0,1760.0,0.34
2017-06-28,19.15,19.2,19.15,19.15,19.15,697.0,0.13
2017-06-27,20.0,20.0,19.9,19.9,19.9,473.0,0.09
2017-06-23,19.0,20.9,19.0,20.9,20.9,2375.0,0.49
2017-06-22,20.0,20.0,20.0,20.0,20.0,527.0,0.11
2017-06-21,20.65,21.55,20.0,20.0,20.0,1541.0,0.32
2017-06-20,20.65,20.75,20.65,20.65,20.65,4745.0,0.98
2017-06-19,21.65,21.7,21.65,21.7,21.7,169.0,0.04
2017-06-16,22.3,22.3,22.3,22.3,22.3,381.0,0.08
2017-06-15,23.5,23.5,22.4,22.4,22.45,1100.0,0.25
2017-06-13,22.8,23.9,22.8,23.5,23.5,416.0,0.1
2017-06-12,22.8,22.8,22.8,22.8,22.8,131.0,0.03
2017-06-09,24.0,24.0,21.85,23.95,23.95,1351.0,0.32
2017-06-08,23.0,23.95,22.0,23.95,22.9,1285.0,0.29
2017-06-07,24.0,24.1,22.9,23.0,23.1,1651.0,0.38
2017-06-06,24.1,24.1,22.95,24.0,24.0,1160.0,0.27
2017-06-05,24.0,24.0,23.0,24.0,24.0,1226.0,0.29
2017-06-02,23.0,24.0,23.0,23.0,23.0,2335.0,0.54
2017-06-01,23.75,24.95,23.75,23.8,24.2,522.0,0.12
2017-05-31,25.05,25.05,23.8,24.9,24.9,6903.0,1.67
2017-05-30,25.1,25.1,23.85,25.05,25.05,845.0,0.21
2017-05-29,26.0,27.0,25.0,25.1,25.1,1013.0,0.26
2017-05-26,26.05,26.35,26.0,26.3,26.1,1482.0,0.39
2017-05-25,27.3,27.3,26.0,26.0,26.0,1450.0,0.39
2017-05-24,27.25,27.3,27.25,27.25,27.25,560.0,0.15
2017-05-23,28.1,29.5,27.5,27.5,27.6,1088.0,0.31
2017-05-22,28.0,29.85,28.0,28.1,28.1,1003.0,0.29
2017-05-19,28.3,28.5,28.3,28.45,28.45,1154.0,0.33
