Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2017-08-02,694.8,697.9,690.25,692.95,693.15,1958294.0,13588.62
2017-08-01,690.75,698.3,677.15,692.15,690.95,3597159.0,24798.03
2017-07-31,714.9,714.9,686.55,689.15,690.45,6657351.0,46234.72
2017-07-28,739.0,756.0,712.4,714.25,720.9,6244922.0,45958.2
2017-07-27,740.0,752.65,734.9,740.4,737.15,2497414.0,18494.51
2017-07-26,732.9,743.3,731.75,736.05,737.05,1139642.0,8417.99
2017-07-25,742.9,745.25,730.95,731.2,732.05,1509954.0,11088.61
2017-07-24,741.4,748.5,738.1,741.05,743.3,1301626.0,9683.65
2017-07-21,751.3,755.5,726.35,739.0,740.1,842920.0,6252.37
2017-07-20,752.9,756.8,747.8,753.0,752.05,508553.0,3823.41
2017-07-19,744.35,755.7,737.6,752.0,750.45,871645.0,6537.65
2017-07-18,742.0,750.0,738.3,742.9,743.2,763090.0,5683.95
2017-07-17,742.85,747.25,735.0,746.5,745.8,837268.0,6210.48
2017-07-14,738.5,744.25,730.3,742.4,742.3,778453.0,5743.43
2017-07-13,728.7,741.3,728.0,736.95,738.5,1432209.0,10535.23
2017-07-12,724.0,729.3,718.0,725.05,725.6,2527530.0,18317.11
2017-07-11,747.0,747.0,723.0,724.5,725.1,1675572.0,12320.61
2017-07-10,763.45,763.45,741.75,743.2,743.2,201435.0,1499.79
2017-07-07,751.75,757.0,740.0,743.75,741.25,695826.0,5182.97
2017-07-06,753.5,757.95,730.2,751.75,753.05,870232.0,6548.08
2017-07-05,749.5,754.65,746.1,752.5,752.8,1234985.0,9259.92
2017-07-04,755.0,759.0,743.5,749.05,747.6,1140099.0,8544.42
2017-07-03,745.7,753.95,737.0,753.25,751.7,1194598.0,8921.75
2017-06-30,737.9,744.0,728.0,744.0,742.2,1361765.0,10037.91
2017-06-29,746.0,749.95,738.0,741.5,742.65,2263554.0,16816.53
2017-06-28,741.25,749.0,735.05,743.1,742.8,1174570.0,8739.69
2017-06-27,753.5,758.95,740.0,747.15,748.8,976883.0,7309.09
2017-06-23,771.7,774.85,746.4,755.2,753.6,1259535.0,9519.63
2017-06-22,773.0,777.95,766.0,771.9,770.05,804720.0,6210.89
2017-06-21,774.8,777.3,768.15,773.0,772.75,797527.0,6163.41
2017-06-20,777.0,794.0,770.2,775.0,775.05,1792933.0,14022.17
2017-06-19,781.4,782.6,770.5,773.0,773.75,710867.0,5506.54
2017-06-16,779.9,784.85,773.9,777.55,779.55,2474575.0,19325.9
2017-06-15,772.15,780.2,768.75,777.1,776.6,1122314.0,8703.16
2017-06-14,783.0,783.0,768.35,772.15,773.3,1723048.0,13330.96
2017-06-13,759.6,784.7,759.05,779.15,781.2,3548867.0,27524.4
2017-06-12,758.7,765.3,753.7,756.55,757.65,1983515.0,15046.17
2017-06-09,741.9,762.05,736.8,761.1,760.1,1415374.0,10629.8
2017-06-08,745.0,749.9,740.3,742.0,742.85,986634.0,7342.77
2017-06-07,740.4,745.0,732.0,739.55,739.2,1398165.0,10336.34
2017-06-06,740.0,741.5,732.5,739.0,738.85,957516.0,7058.07
2017-06-05,731.5,741.3,723.1,738.85,738.5,1689341.0,12376.95
2017-06-02,742.0,743.15,730.5,732.0,732.2,760194.0,5580.29
2017-06-01,733.9,740.85,732.0,739.0,738.75,2138407.0,15759.14
2017-05-31,715.0,738.7,713.25,731.65,734.1,3250001.0,23697.43
2017-05-30,698.55,714.2,695.65,713.0,711.85,907939.0,6425.85
2017-05-29,706.0,713.35,700.1,704.0,703.4,1008082.0,7115.52
2017-05-26,686.0,708.8,685.8,704.8,704.95,1656670.0,11541.2
2017-05-25,673.4,691.9,671.05,685.95,687.25,2101524.0,14393.4
2017-05-24,670.95,676.55,667.85,672.95,673.15,1029672.0,6912.86
2017-05-23,676.35,678.95,662.95,670.95,670.5,1702103.0,11414.11
2017-05-22,688.9,689.9,674.75,675.4,676.25,760868.0,5169.33
2017-05-19,677.05,690.8,675.0,684.0,683.5,2373251.0,16191.22
2017-05-18,683.5,687.8,671.7,673.5,675.15,1143626.0,7742.73
2017-05-17,696.0,696.0,687.2,690.0,690.35,1260327.0,8710.98
2017-05-16,686.0,698.35,682.3,697.35,694.8,862363.0,5952.45
2017-05-15,685.0,687.35,678.65,683.5,684.5,659643.0,4508.72
2017-05-12,691.0,698.45,677.0,682.0,683.05,847669.0,5821.24
2017-05-11,697.35,706.45,689.15,690.7,690.15,981371.0,6840.06
2017-05-10,682.9,698.5,682.9,695.7,697.35,1619719.0,11184.77
2017-05-09,705.0,705.0,681.0,684.5,682.75,2591402.0,17820.82
2017-05-08,723.7,724.0,701.0,702.2,703.8,1404312.0,9972.22
2017-05-05,715.0,727.5,711.25,720.8,720.9,1441825.0,10391.1
2017-05-04,704.95,718.0,704.05,716.5,716.4,1296627.0,9243.04
2017-05-03,703.25,714.8,700.1,705.0,707.55,2231766.0,15798.86
2017-05-02,668.85,711.45,665.1,704.8,705.45,3765671.0,26172.69
2017-04-28,669.8,674.0,667.45,670.0,668.9,1171723.0,7854.25
2017-04-27,676.5,676.5,665.65,672.5,670.25,1442317.0,9648.58
2017-04-26,687.8,687.8,664.15,670.35,675.9,3040443.0,20451.95
2017-04-25,665.0,681.25,663.0,675.1,674.35,2401433.0,16156.09
2017-04-24,643.5,660.2,640.25,660.2,658.0,1086616.0,7066.47
2017-04-21,644.0,646.8,637.85,642.45,643.7,818834.0,5258.36
2017-04-20,645.0,646.95,638.5,643.0,642.4,726760.0,4670.09
2017-04-19,642.95,645.5,632.95,643.1,643.45,696980.0,4464.82
2017-04-18,640.45,650.45,639.4,643.2,642.95,1841277.0,11867.46
2017-04-17,632.0,640.8,628.25,637.3,637.45,651774.0,4129.67
2017-04-13,630.0,635.25,624.2,631.7,632.25,1107319.0,6991.77
2017-04-12,621.0,631.0,620.0,631.0,629.6,1566487.0,9807.35
2017-04-11,628.0,629.45,621.75,624.0,623.95,981845.0,6137.18
2017-04-10,626.0,633.55,624.15,629.45,627.95,947529.0,5956.62
2017-04-07,621.0,631.55,619.25,626.25,625.25,1022006.0,6400.9
2017-04-06,622.9,626.95,620.85,624.5,624.8,1063438.0,6627.63
2017-04-05,625.7,628.8,620.4,623.15,625.5,1661921.0,10352.1
2017-04-03,619.0,626.5,617.5,624.7,624.95,1054059.0,6567.9
2017-03-31,623.0,625.7,616.4,617.05,618.45,1120717.0,6945.3
2017-03-30,615.5,629.0,615.0,623.0,622.4,2173428.0,13531.99
2017-03-29,615.0,617.9,611.2,614.35,615.6,1191286.0,7325.22
2017-03-28,609.5,615.6,605.4,614.7,614.55,1558378.0,9525.85
2017-03-27,601.2,609.75,595.4,608.7,607.9,1584959.0,9581.88
2017-03-24,600.5,606.0,599.3,600.8,601.7,1599421.0,9634.5
2017-03-23,587.0,601.0,586.0,600.0,599.45,1729437.0,10282.47
2017-03-22,584.0,588.4,578.9,586.0,585.35,1356376.0,7919.7
2017-03-21,591.6,593.1,582.2,588.0,589.25,1103048.0,6478.23
2017-03-20,588.4,592.5,581.45,590.85,590.7,893945.0,5259.67
2017-03-17,594.65,594.65,584.6,585.0,585.4,1832848.0,10767.3
2017-03-16,590.0,594.0,589.5,592.0,592.9,1954626.0,11573.04
2017-03-15,582.05,590.0,582.05,585.5,587.0,2598840.0,15263.62
2017-03-14,574.9,581.9,567.3,580.0,580.2,2442220.0,14100.47
2017-03-10,569.3,570.5,560.45,565.0,565.5,1348396.0,7613.31
2017-03-09,567.2,570.5,565.45,568.7,567.5,896713.0,5090.87
2017-03-08,570.3,579.0,565.1,567.0,569.45,3174652.0,18138.24
2017-03-07,568.5,573.0,564.45,569.1,568.9,1934760.0,11003.66
2017-03-06,557.0,568.45,555.15,566.3,566.5,1608785.0,9051.59
2017-03-03,552.5,556.0,550.3,554.5,554.9,1265870.0,7015.73
2017-03-02,564.0,567.3,550.7,553.0,552.7,1384310.0,7742.75
2017-03-01,563.0,567.0,560.0,560.9,561.1,904161.0,5090.36
2017-02-28,568.0,568.45,559.55,560.2,560.8,1346522.0,7588.47
2017-02-27,568.0,569.2,564.15,565.6,565.55,1373054.0,7781.59
2017-02-23,562.3,568.95,562.2,566.0,565.7,5321498.0,30110.95
2017-02-22,558.5,563.0,554.6,559.05,559.5,1788013.0,9996.49
2017-02-21,559.0,562.4,552.55,556.0,557.05,1952689.0,10864.41
2017-02-20,556.5,562.4,553.5,557.7,559.25,1055793.0,5897.61
2017-02-17,550.5,561.85,549.2,556.05,556.5,2476338.0,13783.15
2017-02-16,550.3,553.65,544.5,548.0,549.15,2131395.0,11680.99
2017-02-15,546.05,552.0,538.1,548.8,548.45,2578918.0,14086.8
2017-02-14,556.0,556.05,543.15,544.3,546.05,1700782.0,9332.78
2017-02-13,556.1,559.85,550.0,554.35,555.15,1240832.0,6885.52
2017-02-10,561.0,563.75,552.0,553.55,554.1,1421006.0,7912.39
