Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2013-07-05,0.6,0.65,0.6,0.65,0.65,4217.0,0.02
2013-07-04,0.65,0.65,0.6,0.6,0.6,1693.0,0.01
2013-07-03,0.6,0.65,0.6,0.65,0.65,248.0,0.0
2013-07-02,0.65,0.65,0.65,0.65,0.65,5100.0,0.03
2013-07-01,0.6,0.6,0.6,0.6,0.6,2821.0,0.02
2013-06-28,0.65,0.75,0.65,0.65,0.65,5030.0,0.03
2013-06-27,0.6,0.7,0.6,0.7,0.7,3280.0,0.02
2013-06-26,0.65,0.65,0.6,0.65,0.65,5600.0,0.03
2013-06-25,0.6,0.65,0.6,0.6,0.6,2300.0,0.01
2013-06-24,0.6,0.65,0.6,0.6,0.6,10018.0,0.06
2013-06-21,0.65,0.65,0.6,0.6,0.6,6155.0,0.04
2013-06-20,0.55,0.65,0.55,0.65,0.65,5270.0,0.03
2013-06-19,0.6,0.6,0.6,0.6,0.6,4523.0,0.03
2013-06-18,0.55,0.6,0.55,0.6,0.6,7136.0,0.04
2013-06-17,0.55,0.55,0.55,0.55,0.55,3165.0,0.02
2013-06-14,0.55,0.65,0.55,0.55,0.55,22362.0,0.13
2013-06-13,0.55,0.6,0.55,0.6,0.6,9064.0,0.05
2013-06-12,0.6,0.65,0.6,0.6,0.6,9201.0,0.06
2013-06-11,0.6,0.65,0.6,0.6,0.6,7280.0,0.04
2013-06-10,0.6,0.65,0.6,0.65,0.65,500.0,0.0
2013-06-07,0.6,0.6,0.6,0.6,0.6,4679.0,0.03
2013-06-05,0.55,0.55,0.55,0.55,0.55,148.0,0.0
2013-06-04,0.65,0.65,0.6,0.6,0.6,5698.0,0.04
2013-06-03,0.75,0.75,0.65,0.65,0.65,5100.0,0.03
2013-05-31,0.7,0.75,0.7,0.7,0.7,5437.0,0.04
2013-05-30,0.65,0.7,0.6,0.7,0.7,12221.0,0.08
2013-05-29,0.7,0.7,0.65,0.7,0.65,2715.0,0.02
2013-05-28,0.7,0.7,0.6,0.7,0.7,9236.0,0.06
2013-05-27,0.75,0.75,0.65,0.65,0.65,4505.0,0.03
2013-05-24,0.8,0.8,0.7,0.7,0.7,3018.0,0.02
2013-05-23,0.75,0.75,0.75,0.75,0.75,373.0,0.0
2013-05-22,0.8,0.8,0.8,0.8,0.8,1.0,0.0
2013-05-21,0.8,0.8,0.8,0.8,0.8,44.0,0.0
2013-05-20,0.85,0.85,0.75,0.75,0.75,4016.0,0.03
2013-05-17,0.8,0.8,0.75,0.8,0.8,37.0,0.0
2013-05-16,0.8,0.8,0.75,0.75,0.75,2289.0,0.02
2013-05-15,0.8,0.8,0.75,0.75,0.75,1033.0,0.01
2013-05-14,0.8,0.8,0.75,0.75,0.75,3502.0,0.03
2013-05-13,0.8,0.8,0.8,0.8,0.8,1007.0,0.01
2013-05-11,0.8,0.8,0.8,0.8,0.8,5.0,0.0
2013-05-10,0.8,0.8,0.7,0.75,0.75,17547.0,0.13
2013-05-09,0.65,0.75,0.65,0.75,0.75,610.0,0.0
2013-05-08,0.65,0.75,0.65,0.75,0.7,10855.0,0.08
2013-05-07,0.8,0.8,0.7,0.7,0.7,2710.0,0.02
2013-05-06,0.75,0.75,0.7,0.75,0.75,110.0,0.0
2013-05-03,0.75,0.75,0.75,0.75,0.75,306.0,0.0
2013-05-02,0.8,0.8,0.7,0.8,0.8,2213.0,0.02
2013-04-30,0.8,0.8,0.7,0.75,0.75,4144.0,0.03
2013-04-29,0.65,0.75,0.65,0.75,0.75,9927.0,0.07
2013-04-26,0.7,0.7,0.6,0.7,0.7,561.0,0.0
2013-04-25,0.75,0.75,0.65,0.75,0.65,5224.0,0.04
2013-04-23,0.75,0.75,0.65,0.7,0.7,12261.0,0.09
2013-04-22,0.75,0.8,0.7,0.8,0.7,28188.0,0.22
2013-04-18,0.75,0.75,0.65,0.75,0.75,18412.0,0.14
2013-04-17,0.75,0.75,0.7,0.75,0.7,2403.0,0.02
2013-04-16,0.75,0.75,0.65,0.7,0.7,3266.0,0.02
2013-04-15,0.75,0.75,0.7,0.75,0.7,1452.0,0.01
2013-04-12,0.75,0.75,0.65,0.75,0.75,275.0,0.0
2013-04-11,0.8,0.8,0.7,0.75,0.7,3108.0,0.02
2013-04-10,0.85,0.85,0.75,0.75,0.75,525.0,0.0
2013-04-09,0.8,0.8,0.7,0.8,0.8,2355.0,0.02
2013-04-08,0.85,0.85,0.75,0.75,0.75,7657.0,0.06
2013-04-05,0.9,0.9,0.8,0.8,0.8,2004.0,0.01
2013-04-04,0.8,0.9,0.8,0.85,0.85,25250.0,0.2
2013-04-03,0.85,0.85,0.85,0.85,0.85,400.0,0.0
2013-04-02,0.95,0.95,0.9,0.9,0.9,1094.0,0.01
2013-04-01,0.95,0.95,0.95,0.95,0.95,2250.0,0.02
2013-03-25,0.9,0.9,0.9,0.9,0.9,200.0,0.0
2013-03-22,0.95,0.95,0.95,0.95,0.95,1.0,0.0
2013-03-20,1.0,1.0,1.0,1.0,1.0,2.0,0.0
2013-03-19,1.1,1.1,1.0,1.0,1.0,2453.0,0.03
2013-03-18,1.05,1.05,1.05,1.05,1.05,2.0,0.0
2013-03-15,1.0,1.0,1.0,1.0,1.0,12.0,0.0
2013-03-14,1.0,1.0,0.95,1.0,1.0,1154.0,0.01
2013-03-13,1.05,1.05,0.95,0.95,0.95,256.0,0.0
2013-03-12,1.0,1.0,0.9,1.0,1.0,163.0,0.0
2013-03-11,0.95,0.95,0.95,0.95,0.95,4.0,0.0
2013-03-08,0.95,0.95,0.85,0.95,0.95,3498.0,0.03
2013-03-07,0.95,0.95,0.9,0.9,0.9,3212.0,0.03
2013-03-06,0.8,0.9,0.8,0.9,0.9,308.0,0.0
2013-03-05,0.85,0.85,0.8,0.85,0.85,612.0,0.0
2013-03-04,0.85,0.85,0.8,0.8,0.8,16712.0,0.14
2013-03-01,0.8,0.85,0.8,0.85,0.85,4801.0,0.04
2013-02-28,0.8,0.85,0.8,0.8,0.8,3601.0,0.03
2013-02-27,0.8,0.8,0.8,0.8,0.8,301.0,0.0
2013-02-26,0.8,0.8,0.8,0.8,0.8,4363.0,0.03
2013-02-22,0.85,0.85,0.85,0.85,0.85,12.0,0.0
2013-02-21,0.95,0.95,0.85,0.85,0.85,4184.0,0.04
2013-02-20,0.9,0.9,0.85,0.9,0.9,3830.0,0.03
2013-02-19,0.95,0.95,0.9,0.9,0.9,5883.0,0.05
2013-02-18,1.0,1.05,0.95,0.95,0.95,6228.0,0.06
2013-02-15,1.0,1.0,1.0,1.0,1.0,1900.0,0.02
2013-02-12,1.05,1.05,1.05,1.05,1.05,1038.0,0.01
2013-02-11,1.1,1.1,1.1,1.1,1.1,300.0,0.0
2013-02-08,1.05,1.1,1.05,1.1,1.1,105.0,0.0
2013-02-07,1.0,1.1,1.0,1.05,1.05,1876.0,0.02
2013-02-06,0.95,1.05,0.95,1.05,1.05,4248.0,0.04
2013-02-05,1.0,1.1,1.0,1.0,1.0,9736.0,0.1
2013-02-04,1.05,1.15,1.05,1.05,1.05,21945.0,0.23
2013-02-01,1.1,1.1,1.1,1.1,1.1,197.0,0.0
2013-01-31,1.15,1.15,1.15,1.15,1.15,100.0,0.0
2013-01-30,1.2,1.2,1.2,1.2,1.2,600.0,0.01
2013-01-29,1.25,1.25,1.25,1.25,1.25,1.0,0.0
2013-01-22,1.3,1.3,1.3,1.3,1.3,3360.0,0.04
2013-01-21,1.35,1.35,1.35,1.35,1.35,2820.0,0.04
2013-01-18,1.4,1.4,1.4,1.4,1.4,11850.0,0.17
2013-01-17,1.45,1.45,1.45,1.45,1.45,12920.0,0.19
2013-01-16,1.6,1.6,1.5,1.5,1.5,137652.0,2.14
2013-01-15,1.55,1.55,1.55,1.55,1.55,3422.0,0.05
2013-01-14,1.5,1.5,1.5,1.5,1.5,26663.0,0.4
