Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2015-01-23,53.8,62.2,53.8,62.2,62.2,36.0,0.02
2015-01-22,62.0,62.0,56.6,61.95,59.7,2266.0,1.35
2015-01-21,52.7,63.25,52.7,62.85,62.85,3365.0,1.98
2015-01-20,63.0,63.0,58.5,58.55,58.55,3.0,0.0
2015-01-19,65.0,65.0,65.0,65.0,65.0,2.0,0.0
2015-01-16,56.65,60.0,56.45,60.0,60.0,235.0,0.13
2015-01-15,50.6,55.35,50.6,55.35,55.35,35.0,0.02
2015-01-14,52.55,60.0,51.2,54.0,53.2,4306.0,2.28
2015-01-13,52.0,55.0,52.0,55.0,55.0,2.0,0.0
2015-01-12,52.25,58.5,51.15,57.5,57.4,1044.0,0.59
2015-01-09,64.9,64.9,54.0,54.0,54.0,892.0,0.49
2015-01-08,60.0,60.0,53.8,59.95,59.95,58.0,0.03
2015-01-07,55.5,55.5,55.5,55.5,55.5,50.0,0.03
2015-01-06,55.0,55.0,55.0,55.0,55.0,50.0,0.03
2015-01-05,53.0,55.0,53.0,53.0,53.0,84.0,0.05
2015-01-02,49.3,54.5,49.3,53.0,53.0,3.0,0.0
2015-01-01,54.4,54.4,54.0,54.0,54.15,6.0,0.0
2014-12-30,52.0,54.5,51.95,51.95,51.95,179.0,0.09
2014-12-29,51.0,54.65,50.7,54.65,54.65,832.0,0.44
2014-12-26,53.4,53.4,53.35,53.35,53.35,60.0,0.03
2014-12-24,56.15,56.15,56.15,56.15,56.15,1.0,0.0
2014-12-23,55.95,55.95,53.0,53.0,53.5,14.0,0.01
2014-12-22,53.5,53.55,53.5,53.55,53.5,2.0,0.0
2014-12-19,51.0,51.0,51.0,51.0,51.0,1.0,0.0
2014-12-18,50.0,50.0,50.0,50.0,50.0,50.0,0.02
2014-12-16,50.35,52.4,50.1,52.4,52.4,117.0,0.06
2014-12-15,52.7,52.7,52.7,52.7,52.7,1.0,0.0
2014-12-12,52.7,52.7,52.7,52.7,52.7,1.0,0.0
2014-12-11,52.9,52.9,52.65,52.65,52.65,2.0,0.0
2014-12-10,47.75,51.0,47.75,51.0,51.0,520.0,0.25
2014-12-08,50.2,50.2,50.2,50.2,50.2,10.0,0.01
2014-12-05,52.0,52.0,48.1,50.2,49.2,1648.0,0.82
2014-12-04,52.25,52.25,49.9,49.9,49.9,52.0,0.03
2014-12-03,52.3,52.35,52.25,52.25,52.25,562.0,0.29
2014-11-28,54.95,54.95,54.95,54.95,54.95,20.0,0.01
2014-11-27,53.8,53.8,53.8,53.8,53.8,1.0,0.0
2014-11-26,52.0,55.6,50.9,51.3,51.3,675.0,0.35
2014-11-25,53.55,53.55,53.55,53.55,53.55,49.0,0.03
2014-11-20,54.0,54.0,51.0,51.0,51.0,15.0,0.01
2014-11-19,55.5,58.3,52.8,52.8,52.8,2337.0,1.28
2014-11-18,55.55,55.55,55.55,55.55,55.55,20.0,0.01
2014-11-11,55.25,55.25,55.25,55.25,55.25,50.0,0.03
2014-11-10,53.0,53.0,53.0,53.0,53.0,20.0,0.01
2014-11-03,53.0,53.0,53.0,53.0,53.0,2.0,0.0
2014-10-31,53.5,53.5,53.5,53.5,53.5,2.0,0.0
2014-10-29,50.2,58.0,50.2,52.05,52.1,1182.0,0.66
2014-10-22,55.65,55.65,55.65,55.65,55.65,1.0,0.0
2014-10-17,55.65,55.65,55.65,55.65,55.65,50.0,0.03
2014-10-16,55.7,55.7,55.7,55.7,55.7,1.0,0.0
2014-10-14,55.45,55.7,55.45,55.7,55.7,481.0,0.27
2014-10-10,57.6,61.6,57.6,61.6,61.6,2.0,0.0
2014-10-01,61.6,61.6,61.6,61.6,61.6,1.0,0.0
2014-09-29,61.6,61.6,61.6,61.6,61.6,5.0,0.0
2014-09-23,60.0,63.25,58.7,58.7,58.7,852.0,0.51
2014-09-22,60.0,61.9,56.15,61.8,61.75,1256.0,0.73
2014-09-15,56.9,59.15,53.7,58.5,59.1,464.0,0.26
2014-09-12,56.7,56.7,54.0,56.45,56.45,47.0,0.03
