Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2017-08-03,510.95,517.45,481.2,483.1,484.95,42160.0,208.43
2017-08-02,508.05,517.0,503.5,508.0,506.3,14687.0,74.62
2017-08-01,522.5,524.5,504.6,507.6,509.1,30130.0,155.08
2017-07-31,525.1,535.85,515.1,516.7,519.45,17024.0,89.86
2017-07-28,526.0,532.0,520.0,530.0,526.6,34157.0,180.22
2017-07-27,544.15,549.8,521.0,525.0,524.95,34756.0,185.53
2017-07-26,547.0,559.0,542.15,544.0,544.6,22624.0,124.44
2017-07-25,565.6,567.4,541.85,543.0,544.85,19695.0,109.08
2017-07-24,557.25,571.95,557.25,566.0,564.6,22407.0,126.51
2017-07-21,556.55,564.9,552.55,556.3,557.3,21438.0,119.85
2017-07-20,563.05,564.0,555.05,557.95,558.25,18571.0,103.89
2017-07-19,561.4,570.2,558.5,562.7,562.05,27574.0,155.51
2017-07-18,575.9,577.05,555.0,557.0,557.25,34876.0,197.49
2017-07-17,585.1,589.9,573.55,576.0,576.4,31967.0,185.93
2017-07-14,597.3,613.5,583.35,584.05,586.25,83350.0,497.59
2017-07-13,608.8,617.0,586.1,590.0,592.6,103862.0,622.88
2017-07-12,617.35,632.8,600.1,603.5,603.5,183557.0,1130.25
2017-07-11,570.0,641.4,570.0,610.0,609.5,658809.0,4053.98
2017-07-10,543.1,581.0,540.45,561.55,561.8,39980.0,226.21
2017-07-07,550.5,560.0,544.95,546.0,546.65,27235.0,150.82
2017-07-06,540.95,572.0,536.0,548.0,550.35,62255.0,345.35
2017-07-05,542.0,545.0,534.0,535.1,535.65,17252.0,92.91
2017-07-04,535.0,547.45,535.0,540.4,539.05,23002.0,124.64
2017-07-03,541.0,548.65,533.3,534.15,534.95,18511.0,99.96
2017-06-30,534.95,550.0,530.95,538.5,540.25,22072.0,119.44
2017-06-29,563.0,565.0,532.0,534.55,537.35,57889.0,316.11
2017-06-28,538.0,572.0,530.05,556.0,556.75,92153.0,509.26
2017-06-27,556.0,562.25,539.0,539.0,539.6,18299.0,99.91
2017-06-23,559.7,567.0,525.7,558.0,556.55,70059.0,383.46
2017-06-22,555.0,568.0,548.05,550.0,550.1,30494.0,170.08
2017-06-21,555.0,565.0,548.9,550.0,551.65,26622.0,148.11
2017-06-20,574.75,574.75,554.0,556.0,555.55,76080.0,425.19
2017-06-19,548.3,579.5,546.55,569.4,570.35,134175.0,763.17
2017-06-16,559.9,564.9,538.55,542.5,542.85,39986.0,220.71
2017-06-15,573.05,585.0,555.9,556.55,558.25,93879.0,535.47
2017-06-14,519.0,595.9,513.55,570.0,569.2,361421.0,2041.83
2017-06-13,499.05,519.45,495.55,517.0,515.3,36751.0,187.98
2017-06-12,500.5,517.8,495.0,501.95,500.55,30851.0,155.09
2017-06-09,518.0,520.0,503.4,506.6,510.55,25006.0,127.47
2017-06-08,482.05,520.0,481.3,512.45,515.8,114023.0,576.75
2017-06-07,470.9,490.95,468.05,482.0,484.4,46531.0,225.46
2017-06-06,461.05,481.45,455.1,469.0,468.75,46200.0,217.77
2017-06-05,468.0,475.0,460.0,461.0,464.8,25861.0,120.9
2017-06-02,450.15,468.0,447.0,465.0,461.8,20768.0,94.6
2017-06-01,439.1,456.1,439.1,456.0,451.15,12651.0,56.33
2017-05-31,430.0,445.9,430.0,441.0,440.4,53671.0,235.31
2017-05-30,439.0,446.0,435.0,443.0,444.6,15061.0,66.2
2017-05-29,454.55,455.45,436.0,441.0,439.0,7331.0,32.54
2017-05-26,445.15,454.0,443.0,451.0,447.3,12528.0,55.9
2017-05-25,425.1,446.8,423.65,446.8,445.25,16407.0,72.15
