Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2013-09-10,13.0,13.0,12.8,12.85,12.85,60636.0,7.77
2013-09-06,12.3,12.4,11.9,12.4,12.4,55263.0,6.83
2013-09-05,13.1,13.1,12.35,12.4,12.4,91251.0,11.37
2013-09-04,12.7,12.95,12.25,12.95,12.8,100855.0,12.86
2013-09-03,12.4,12.4,12.4,12.4,12.4,1000.0,0.12
2013-09-02,11.2,12.05,11.15,12.0,12.0,2780.0,0.33
2013-08-30,10.75,11.5,10.7,11.5,11.5,2147.0,0.24
2013-08-29,11.1,11.1,11.0,11.0,11.0,1200.0,0.13
2013-08-28,11.0,11.45,11.0,11.45,11.45,2079.0,0.23
2013-08-27,10.6,11.2,10.6,11.2,11.2,600.0,0.06
2013-08-26,11.0,11.05,10.95,11.0,11.0,1366.0,0.15
2013-08-23,11.55,11.55,11.5,11.5,11.5,700.0,0.08
2013-08-22,12.0,12.2,11.4,12.2,12.05,3935.0,0.47
2013-08-21,12.0,12.25,11.8,12.2,11.95,1130.0,0.14
2013-08-19,12.3,12.3,12.3,12.3,12.3,89700.0,11.03
2013-08-16,13.4,13.4,12.9,12.9,12.9,7100.0,0.93
2013-08-14,13.4,13.5,13.0,13.45,13.4,38934.0,5.22
2013-08-13,12.65,12.9,12.5,12.9,12.9,64186.0,8.18
2013-08-12,11.45,12.4,11.4,12.4,12.35,71428.0,8.8
2013-08-08,11.7,12.0,11.7,12.0,12.0,2300.0,0.28
2013-08-06,11.6,12.0,11.6,12.0,12.0,6125.0,0.73
2013-08-05,11.95,12.65,11.7,11.7,11.7,113998.0,14.35
2013-08-02,11.9,12.45,11.85,12.3,12.1,3323.0,0.4
2013-08-01,11.4,12.5,11.4,11.95,12.45,88150.0,10.98
2013-07-31,11.4,12.1,11.4,12.1,12.0,151100.0,18.17
2013-07-30,12.05,12.75,11.95,12.0,12.0,2600.0,0.31
2013-07-29,11.45,12.65,11.45,12.65,12.55,158247.0,19.89
2013-07-26,12.05,13.0,12.05,12.05,12.05,108660.0,14.04
2013-07-25,12.65,12.65,12.65,12.65,12.65,3000.0,0.38
2013-07-24,13.3,13.3,13.3,13.3,13.3,75250.0,10.01
2013-07-23,14.0,15.0,13.95,13.95,13.95,5116.0,0.72
2013-07-22,14.6,15.5,14.4,15.45,15.45,8003.0,1.19
2013-07-19,14.7,16.7,14.65,16.0,16.0,71666.0,11.95
2013-07-18,16.45,17.05,16.15,16.15,16.15,213872.0,36.23
2013-07-17,16.8,17.1,15.85,16.35,16.35,3083.0,0.52
2013-07-16,15.65,17.0,15.5,16.95,16.95,172749.0,29.19
2013-07-15,17.35,17.8,16.1,16.95,17.0,263715.0,46.15
2013-07-12,17.3,17.4,15.55,16.2,16.2,4779.0,0.8
2013-07-11,15.85,16.3,15.8,15.85,15.85,77129.0,12.5
2013-07-10,16.0,16.95,16.0,16.1,16.1,106899.0,17.16
2013-07-09,13.65,16.5,13.65,16.0,16.0,170218.0,27.81
2013-07-08,15.0,15.0,15.0,15.0,15.0,1004.0,0.15
2013-07-05,15.4,15.55,14.9,14.9,14.9,554.0,0.09
2013-07-04,14.35,15.2,14.35,15.2,15.2,4130.0,0.62
2013-07-03,15.3,15.3,15.0,15.0,15.0,2030.0,0.3
2013-07-02,13.95,15.3,13.95,15.3,15.3,171806.0,26.19
2013-07-01,15.4,15.4,14.5,14.6,14.6,2007.0,0.3
2013-06-28,14.55,15.0,14.55,15.0,14.7,1750.0,0.26
2013-06-27,14.5,14.5,14.5,14.5,14.5,650.0,0.09
2013-06-26,14.5,15.2,14.05,14.55,14.55,211499.0,32.04
2013-06-25,14.5,14.5,14.5,14.5,14.5,2611.0,0.38
2013-06-24,14.35,15.0,14.35,14.5,14.5,2905.0,0.42
2013-06-21,14.5,14.8,14.05,14.8,14.8,170750.0,25.27
2013-06-20,14.05,14.1,14.05,14.1,14.1,1100.0,0.15
2013-06-19,15.0,15.0,14.55,14.55,14.55,470.0,0.07
2013-06-18,14.25,15.15,14.25,14.3,15.1,250624.0,37.9
2013-06-17,15.25,15.8,14.3,14.3,14.45,260845.0,41.02
2013-06-14,16.05,16.1,15.05,15.05,15.05,67121.0,10.78
2013-06-13,14.4,15.45,14.25,15.35,15.35,2534.0,0.37
2013-06-12,16.15,16.15,14.75,14.75,14.75,200.0,0.03
2013-06-11,15.4,15.5,15.4,15.5,15.5,262063.0,40.49
2013-06-10,13.5,14.8,13.5,14.8,14.8,263670.0,38.89
2013-06-07,14.95,15.5,14.2,14.2,14.2,114374.0,17.49
2013-06-06,13.85,15.15,13.8,14.9,14.8,132500.0,19.51
2013-06-05,13.8,14.9,13.6,14.9,14.45,54325.0,7.84
2013-06-04,14.2,14.2,14.2,14.2,14.2,500.0,0.07
2013-06-03,13.15,14.15,13.15,14.15,14.0,88953.0,12.42
2013-05-31,13.7,13.7,13.4,13.5,13.5,4845.0,0.66
2013-05-30,13.65,13.65,13.65,13.65,13.65,218.0,0.03
2013-05-29,14.3,14.3,13.8,13.8,13.8,3100.0,0.43
2013-05-28,15.0,15.35,14.3,14.3,14.4,87930.0,13.28
