Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2012-09-20,465.0,476.9,465.0,469.5,470.9,83668.0,395.92
2012-09-18,460.4,474.75,460.4,468.75,470.5,75278.0,353.69
2012-09-17,479.85,479.85,464.15,466.5,465.45,63913.0,298.64
2012-09-14,475.05,485.0,465.0,468.05,467.7,173068.0,819.06
2012-09-13,482.95,486.0,470.2,472.0,472.3,50703.0,241.75
2012-09-12,491.8,491.8,480.2,483.0,482.75,21999.0,106.41
2012-09-11,487.25,499.95,484.1,485.0,486.85,43115.0,212.13
2012-09-10,489.85,496.5,483.0,494.5,493.55,62191.0,305.61
2012-09-08,477.1,487.3,477.1,481.0,482.2,1755.0,8.47
2012-09-07,470.2,483.95,467.05,482.0,482.15,56283.0,268.36
2012-09-06,470.1,474.85,465.2,468.45,468.75,23127.0,108.69
2012-09-05,469.85,475.7,465.1,470.0,471.3,63002.0,296.49
2012-09-04,459.1,471.5,456.0,470.0,467.0,140564.0,653.79
2012-09-03,481.05,487.95,454.0,454.95,455.5,200091.0,926.95
2012-08-31,504.7,504.7,475.1,479.1,480.1,103075.0,500.19
2012-08-30,500.15,504.9,497.0,501.0,501.15,66869.0,335.19
2012-08-29,504.9,507.0,498.0,501.95,500.15,44025.0,220.53
2012-08-28,495.75,506.0,486.0,501.95,501.65,43338.0,217.02
2012-08-27,504.85,507.8,494.0,494.15,495.75,45545.0,227.79
2012-08-24,514.0,517.25,503.0,503.0,504.4,32784.0,166.84
2012-08-23,534.75,534.75,504.05,516.95,513.85,94866.0,484.04
2012-08-22,509.8,509.95,500.5,508.0,508.4,96757.0,491.29
2012-08-21,519.45,520.0,500.05,502.0,501.4,108775.0,548.16
2012-08-17,524.45,524.45,512.15,519.0,518.8,54188.0,281.17
2012-08-16,524.0,534.8,509.55,512.0,516.05,139174.0,731.35
2012-08-14,531.0,536.0,517.45,530.0,529.2,47684.0,252.47
2012-08-13,537.35,540.0,534.05,536.95,537.5,242791.0,1305.15
2012-08-10,517.0,538.0,517.0,537.5,536.45,77949.0,414.15
2012-08-09,536.3,536.8,524.0,525.0,527.25,29219.0,154.09
2012-08-08,535.5,542.0,532.0,536.0,533.5,54392.0,291.42
2012-08-07,538.4,538.9,524.0,538.3,537.95,112228.0,602.96
2012-08-06,536.0,539.0,531.05,534.5,533.55,65580.0,350.98
2012-08-03,525.75,537.0,525.75,535.9,534.3,185278.0,986.88
2012-08-02,528.0,530.0,525.0,527.5,526.65,137004.0,722.17
2012-08-01,506.55,528.4,506.55,525.0,525.15,186548.0,979.59
2012-07-31,515.6,524.45,513.65,517.0,516.9,39126.0,202.25
2012-07-30,519.0,526.9,518.65,518.65,520.2,92547.0,482.78
2012-07-27,507.9,522.9,505.15,516.0,517.15,251581.0,1303.38
2012-07-26,503.05,511.8,502.5,506.0,503.8,132561.0,667.93
2012-07-25,508.5,513.05,500.2,503.0,502.3,61216.0,308.17
2012-07-24,505.8,507.0,500.15,502.0,501.65,48579.0,243.81
2012-07-23,508.1,508.1,500.1,505.0,505.05,32904.0,166.03
2012-07-20,508.2,516.0,504.6,507.6,507.35,29110.0,148.6
2012-07-19,500.3,519.65,500.3,510.0,509.9,48036.0,246.14
2012-07-18,498.25,513.85,498.25,512.0,511.75,52088.0,264.83
2012-07-17,501.85,505.45,501.8,505.0,504.8,48272.0,243.56
2012-07-16,507.0,507.5,498.15,503.6,501.95,19703.0,98.93
2012-07-13,499.95,511.55,499.95,505.0,505.15,118069.0,597.06
2012-07-12,471.95,503.5,471.95,499.0,499.45,42389.0,212.1
2012-07-11,505.75,505.95,500.0,502.0,501.55,34547.0,173.68
2012-07-10,504.9,505.5,498.0,505.5,503.5,103504.0,517.67
2012-07-09,502.0,506.9,481.7,503.4,504.4,83617.0,419.79
2012-07-06,521.0,527.65,517.1,519.0,520.35,82824.0,431.42
2012-07-05,517.0,526.9,517.0,522.5,523.55,55480.0,290.96
2012-07-04,520.2,528.0,520.2,520.4,522.05,25654.0,134.25
2012-07-03,524.25,525.0,520.25,522.25,524.0,61012.0,319.13
2012-07-02,528.0,530.0,517.0,523.8,523.75,39836.0,208.44
2012-06-29,530.0,532.0,525.05,527.0,527.9,116988.0,618.67
2012-06-28,523.25,530.0,520.0,527.5,525.7,87715.0,460.17
2012-06-27,522.0,523.7,515.1,519.75,521.6,82924.0,431.5
2012-06-26,524.05,529.85,516.05,518.05,519.85,51493.0,268.21
2012-06-25,517.0,525.5,517.0,525.0,523.95,552694.0,2885.55
2012-06-22,523.95,523.95,514.5,519.7,518.1,132878.0,687.09
2012-06-21,517.0,526.8,514.5,525.0,525.4,316461.0,1654.52
2012-06-20,504.5,522.0,504.5,520.25,518.55,384012.0,1972.13
2012-06-19,492.0,505.9,492.0,504.4,504.2,355649.0,1772.75
2012-06-18,488.0,498.0,483.1,490.4,490.05,305073.0,1499.64
2012-06-15,475.0,489.55,465.15,483.05,485.5,311154.0,1506.51
2012-06-14,444.05,474.0,444.05,472.0,471.75,200510.0,932.49
2012-06-13,453.8,457.8,447.0,451.0,452.4,125251.0,569.31
2012-06-12,444.0,451.0,442.1,449.5,447.8,51211.0,228.63
2012-06-11,443.0,447.4,441.0,445.95,445.45,140048.0,622.1
2012-06-08,430.7,444.0,430.7,444.0,441.95,81264.0,354.35
2012-06-07,440.0,441.95,431.05,437.55,436.85,41257.0,180.62
2012-06-06,416.5,445.0,416.5,439.05,440.1,171628.0,752.02
2012-06-05,422.05,428.0,416.3,417.8,417.65,34381.0,144.76
2012-06-04,422.15,431.7,420.0,422.0,421.6,38746.0,163.76
2012-06-01,440.05,440.05,427.25,432.0,433.9,58795.0,253.63
2012-05-31,430.0,452.85,415.0,444.0,438.45,270240.0,1166.65
2012-05-30,431.0,444.0,425.05,427.5,430.0,73281.0,318.85
2012-05-29,448.7,454.4,434.0,435.55,435.5,61199.0,271.43
2012-05-28,419.0,449.2,418.5,447.55,445.6,110854.0,489.24
2012-05-25,413.9,426.1,413.9,418.5,418.6,17746.0,74.28
2012-05-24,423.0,428.05,420.35,428.05,424.4,31529.0,133.7
2012-05-23,415.2,424.0,411.1,423.0,419.8,21364.0,88.91
2012-05-22,411.25,423.9,411.25,413.1,415.2,18434.0,77.03
2012-05-21,418.0,423.0,413.0,416.5,420.05,49874.0,208.68
2012-05-18,429.5,433.85,409.2,410.0,412.8,84014.0,351.72
2012-05-17,429.1,438.0,425.95,431.5,429.3,73407.0,314.97
2012-05-16,434.8,436.9,424.35,428.4,427.25,233418.0,1003.84
2012-05-15,426.3,440.0,423.55,426.9,429.75,99195.0,431.04
2012-05-14,427.25,442.0,424.35,434.95,435.15,116990.0,509.22
2012-05-11,441.45,442.3,437.55,440.0,439.75,55648.0,244.74
2012-05-10,444.5,444.5,438.1,443.0,441.3,80968.0,357.22
2012-05-09,441.05,444.85,438.5,443.0,441.4,50158.0,221.28
2012-05-08,447.4,447.4,441.0,442.2,442.95,177674.0,788.24
2012-05-07,440.0,446.35,437.05,442.0,444.05,110212.0,488.64
2012-05-04,434.5,448.2,409.85,444.3,441.5,183971.0,792.63
2012-05-03,443.0,444.35,432.05,434.95,435.55,30349.0,133.27
2012-05-02,439.6,445.0,434.05,442.55,441.2,27282.0,119.83
2012-04-30,436.5,441.9,431.75,440.95,437.95,29800.0,130.15
2012-04-28,433.0,438.95,433.0,433.0,433.9,1004.0,4.36
2012-04-27,435.0,439.0,431.1,435.8,435.5,86518.0,375.04
2012-04-26,446.0,451.0,425.2,427.6,434.35,246810.0,1087.0
2012-04-25,443.0,444.7,438.0,441.4,441.9,35518.0,156.78
2012-04-24,443.8,447.0,433.45,444.0,438.4,71513.0,313.34
2012-04-23,448.75,448.75,440.0,444.0,442.9,34547.0,153.0
2012-04-20,447.9,447.9,441.0,444.0,443.25,26013.0,115.46
2012-04-19,441.0,451.0,441.0,447.85,447.7,38467.0,172.3
2012-04-18,447.0,458.8,443.25,444.0,447.25,54569.0,247.09
2012-04-17,448.9,448.9,440.25,446.0,445.5,74139.0,330.44
2012-04-16,453.9,462.0,437.2,443.55,442.35,171404.0,769.28
2012-04-13,459.75,459.75,447.0,450.9,450.45,105342.0,479.63
2012-04-12,456.75,459.8,453.0,455.0,455.05,173976.0,791.86
2012-04-11,455.15,469.0,450.0,450.3,451.7,309010.0,1422.84
2012-04-10,462.75,462.75,454.05,455.25,455.95,145637.0,665.46
2012-04-09,444.05,461.0,444.05,456.4,455.6,106319.0,486.55
2012-04-04,457.05,464.9,457.05,458.7,459.6,35202.0,162.03
2012-04-03,450.7,473.85,450.7,465.1,466.2,39112.0,182.85
2012-04-02,460.25,477.7,460.25,468.2,470.25,49470.0,233.05
2012-03-30,459.55,475.0,455.0,471.6,471.4,79481.0,369.35
2012-03-29,458.95,463.1,450.0,455.0,456.4,340478.0,1553.7
2012-03-28,457.0,460.9,451.0,455.0,454.5,91580.0,417.11
2012-03-27,460.6,462.6,457.2,462.6,460.15,100864.0,463.72
2012-03-26,471.0,471.0,452.05,460.0,460.15,44963.0,206.47
2012-03-23,470.0,472.0,465.0,470.0,469.05,27038.0,126.81
2012-03-22,483.0,483.0,463.6,474.0,473.15,47946.0,225.76
2012-03-21,472.0,480.85,466.0,474.0,472.8,53328.0,250.95
2012-03-20,465.0,471.75,458.2,471.7,469.9,57540.0,267.75
2012-03-19,472.0,472.0,462.0,464.0,465.25,24570.0,114.18
2012-03-16,474.5,474.5,469.3,471.0,471.2,62785.0,296.0
2012-03-15,470.8,495.7,468.05,468.1,469.55,46557.0,221.05
2012-03-14,482.15,486.5,478.5,484.1,483.85,83213.0,401.37
2012-03-13,481.4,484.0,470.6,477.5,480.8,70760.0,338.89
2012-03-12,488.05,494.35,476.35,477.0,480.1,94470.0,455.76
2012-03-09,460.65,486.8,460.0,486.8,484.3,377782.0,1801.87
2012-03-07,454.0,460.0,444.0,457.6,457.9,207510.0,942.71
2012-03-06,450.0,450.0,441.0,445.3,446.8,307425.0,1367.48
2012-03-05,453.75,453.75,441.2,444.65,443.9,93531.0,415.11
2012-03-03,449.9,449.9,440.1,443.0,443.75,2066.0,9.19
2012-03-02,446.0,449.9,444.0,447.0,447.55,108016.0,482.37
2012-03-01,451.5,454.7,442.7,443.6,443.6,61110.0,272.27
2012-02-29,445.0,455.0,442.3,454.0,452.5,213495.0,960.08
2012-02-28,435.8,443.4,431.05,442.0,442.35,102380.0,448.92
2012-02-27,448.65,448.65,429.1,430.0,430.25,143385.0,621.26
2012-02-24,447.25,447.45,435.95,443.0,441.85,241059.0,1067.51
2012-02-23,449.65,454.7,437.15,444.0,445.8,187175.0,836.58
2012-02-22,450.0,455.6,442.05,445.0,443.6,329596.0,1475.21
2012-02-21,434.65,455.0,425.0,449.05,450.0,322456.0,1436.42
2012-02-17,439.0,439.0,430.05,435.35,434.65,421044.0,1827.3
2012-02-16,434.0,434.9,425.35,430.7,430.55,52618.0,226.34
