Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2013-10-22,24.4,24.4,23.1,23.1,23.35,1961.0,0.46
2013-10-21,22.6,23.8,22.1,23.8,23.75,4639.0,1.06
2013-10-18,23.5,24.45,22.9,23.0,23.0,9951.0,2.32
2013-10-17,23.1,23.85,23.1,23.25,23.6,1206.0,0.28
2013-10-15,24.5,24.95,23.4,23.6,23.95,4976.0,1.2
2013-10-14,24.0,24.95,23.6,24.0,24.15,3661.0,0.88
2013-10-11,24.9,24.9,22.85,24.75,24.5,2265.0,0.54
2013-10-10,23.0,24.05,23.0,24.05,23.95,4613.0,1.1
2013-10-09,22.05,23.4,22.05,23.3,22.95,949.0,0.22
2013-10-08,23.6,23.8,22.35,22.8,22.8,1255.0,0.29
2013-10-07,22.9,22.95,22.05,22.7,22.85,800.0,0.18
2013-10-04,23.0,23.0,22.15,22.95,22.9,6006.0,1.34
2013-10-03,22.05,23.55,22.05,23.5,23.3,4439.0,1.01
2013-10-01,23.1,23.1,22.05,22.8,22.45,2211.0,0.5
2013-09-30,22.1,23.25,22.1,22.5,22.35,9793.0,2.19
2013-09-27,24.4,24.65,23.0,23.05,23.05,7940.0,1.88
2013-09-26,22.7,23.95,22.65,23.75,23.6,3519.0,0.8
2013-09-25,24.8,24.8,22.55,23.75,23.15,4213.0,0.98
2013-09-24,23.0,24.5,23.0,23.65,23.65,1106.0,0.26
2013-09-23,24.1,24.5,23.25,24.5,23.5,2876.0,0.68
2013-09-20,23.55,25.0,23.55,24.45,24.45,5396.0,1.32
2013-09-19,25.35,26.25,24.7,24.7,24.75,4767.0,1.2
2013-09-18,25.8,26.9,25.05,26.05,26.0,2634.0,0.68
2013-09-17,25.0,26.45,25.0,25.35,25.75,1386.0,0.36
2013-09-16,25.75,27.5,25.3,26.7,25.75,5939.0,1.55
2013-09-13,27.05,27.05,25.1,26.0,26.55,45198.0,12.0
2013-09-12,25.8,25.8,25.6,25.8,25.8,8663.0,2.23
