Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2017-08-03,154.25,155.6,150.05,150.35,151.0,6558.0,10.03
2017-08-02,157.0,159.7,152.95,155.0,155.25,152347.0,236.35
2017-08-01,159.8,161.0,153.5,156.0,156.15,24628.0,38.73
2017-07-31,160.5,162.0,157.0,158.2,159.75,8818.0,14.15
2017-07-28,163.65,166.7,159.1,160.0,160.5,29904.0,48.69
2017-07-27,171.5,172.4,158.8,161.0,161.95,22587.0,37.23
2017-07-26,170.0,175.0,167.7,172.0,171.5,64109.0,110.14
2017-07-25,170.0,173.9,167.1,170.0,172.25,29994.0,51.23
2017-07-24,172.45,176.0,169.0,169.5,170.4,23346.0,40.09
2017-07-21,173.0,174.9,168.0,170.3,172.5,46293.0,79.55
2017-07-20,174.0,180.9,165.1,172.8,173.7,54633.0,95.08
2017-07-19,162.0,174.9,162.0,173.1,173.5,104673.0,179.34
2017-07-18,159.0,163.95,156.25,162.05,161.8,129813.0,207.92
2017-07-17,151.0,162.6,149.0,159.0,160.25,62138.0,97.22
2017-07-14,153.2,154.5,148.0,154.5,152.1,20285.0,30.66
2017-07-13,156.85,156.85,151.2,151.9,152.9,10840.0,16.64
2017-07-12,150.0,156.0,149.0,154.1,154.25,26572.0,40.68
2017-07-11,148.5,154.35,146.0,149.45,150.95,22202.0,33.4
2017-07-10,158.8,158.8,141.05,148.0,148.5,3956.0,5.93
2017-07-07,150.05,153.0,146.8,151.0,150.75,134796.0,200.02
2017-07-06,152.65,154.9,145.15,150.0,151.55,49819.0,74.82
2017-07-05,157.6,158.0,147.0,150.5,151.1,63809.0,97.47
2017-07-04,138.0,162.4,138.0,155.35,157.4,362714.0,567.04
2017-07-03,131.5,138.0,131.5,138.0,136.9,11586.0,15.73
2017-06-30,131.0,136.8,129.3,133.95,131.35,84366.0,110.96
2017-06-29,132.0,135.9,129.5,132.5,132.5,164335.0,215.64
2017-06-28,132.35,134.45,127.4,128.2,129.2,26332.0,34.22
2017-06-27,143.4,143.95,130.85,131.4,132.35,30722.0,41.6
