Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2017-08-03,328.85,335.8,328.85,334.75,333.15,17020.0,56.54
2017-08-02,333.7,338.8,329.05,331.3,331.8,31146.0,103.18
2017-08-01,344.8,344.8,328.0,330.0,330.8,21317.0,71.18
2017-07-31,339.9,345.0,332.95,337.1,338.4,23425.0,78.92
2017-07-28,334.05,343.85,333.0,340.0,339.65,22996.0,78.12
2017-07-27,334.2,341.9,330.8,338.15,337.15,32399.0,108.68
2017-07-26,330.4,337.8,330.0,334.5,334.15,17031.0,56.95
2017-07-25,331.0,336.0,328.25,335.9,333.55,24841.0,82.64
2017-07-24,332.85,337.8,329.1,331.2,332.3,40267.0,134.26
2017-07-21,335.45,341.6,329.1,329.9,330.9,17796.0,59.76
2017-07-20,333.25,343.8,331.95,335.0,333.35,29491.0,98.86
2017-07-19,334.5,336.35,328.3,333.0,333.65,15576.0,51.77
2017-07-18,331.8,337.5,328.35,331.15,329.7,17583.0,58.2
2017-07-17,333.15,340.9,330.85,336.4,336.6,46112.0,155.05
2017-07-14,337.85,339.9,324.15,330.0,328.1,29266.0,96.9
2017-07-13,341.05,344.0,334.0,339.75,340.7,39728.0,135.25
2017-07-12,333.0,349.7,331.15,342.5,341.9,58145.0,198.92
2017-07-11,331.95,339.2,329.75,334.0,333.15,28635.0,95.66
2017-07-10,328.9,333.0,325.0,332.0,330.7,6031.0,19.92
2017-07-07,328.2,331.9,326.0,326.2,326.55,14421.0,47.34
2017-07-06,329.0,336.05,328.1,328.25,330.05,26528.0,88.14
2017-07-05,330.85,333.25,327.75,329.0,329.75,10401.0,34.29
2017-07-04,332.05,335.0,325.2,328.05,328.15,13244.0,43.81
2017-07-03,332.0,335.0,328.4,333.5,334.3,14642.0,48.71
2017-06-30,326.1,335.0,326.1,330.0,330.55,19199.0,63.54
2017-06-29,328.35,334.8,328.25,330.0,331.15,18793.0,62.29
2017-06-28,329.0,334.25,324.4,326.0,327.15,15558.0,51.32
2017-06-27,338.0,340.8,324.35,333.2,333.55,44725.0,149.42
2017-06-23,344.9,344.95,328.5,331.1,330.95,79906.0,268.22
2017-06-22,329.0,336.0,325.55,334.4,332.85,58313.0,193.22
2017-06-21,325.1,331.9,323.0,330.0,329.4,37204.0,122.09
2017-06-20,332.0,335.0,323.0,327.9,325.95,44440.0,146.07
2017-06-19,324.0,338.8,318.2,328.0,330.9,109625.0,361.37
2017-06-16,324.4,324.5,315.3,317.5,318.05,36091.0,115.34
2017-06-15,324.85,336.0,320.1,321.0,322.05,140779.0,458.66
2017-06-14,325.0,329.55,315.0,317.0,317.8,74424.0,239.86
2017-06-13,328.0,366.75,318.65,321.8,322.45,431726.0,1468.12
2017-06-12,321.25,324.9,314.6,318.0,320.2,23509.0,75.01
2017-06-09,314.45,328.9,310.05,323.0,323.9,90489.0,288.85
2017-06-08,319.45,319.5,310.5,310.8,313.4,84228.0,265.38
2017-06-07,317.05,325.4,314.85,315.55,317.4,59164.0,188.23
2017-06-06,319.45,330.85,317.0,318.7,318.45,43108.0,138.73
2017-06-05,315.95,320.95,312.0,317.0,317.9,23120.0,73.27
2017-06-02,315.0,323.75,314.0,318.0,316.75,20049.0,63.95
2017-06-01,310.8,324.5,307.8,317.15,317.6,82141.0,261.9
2017-05-31,302.5,314.5,302.5,310.0,310.8,26446.0,81.63
2017-05-30,303.45,313.4,290.5,302.0,304.85,77943.0,235.29
2017-05-29,348.0,348.0,298.0,303.7,303.45,89915.0,290.65
2017-05-26,289.9,337.25,285.1,337.25,337.25,305469.0,970.71
2017-05-25,349.65,356.95,279.2,283.2,281.05,266675.0,790.81
2017-05-24,359.0,359.0,345.8,346.6,348.95,21288.0,74.49
2017-05-23,359.05,361.7,345.0,361.5,355.2,23255.0,82.01
2017-05-22,358.9,365.0,353.75,358.7,359.1,34252.0,123.3
2017-05-19,358.85,365.0,352.0,355.4,355.05,21794.0,78.29
2017-05-18,355.0,363.9,347.05,361.8,359.5,43188.0,154.19
2017-05-17,355.0,365.0,355.0,358.0,357.85,18981.0,68.22
2017-05-16,359.4,361.8,353.0,354.3,354.75,14226.0,51.01
2017-05-15,361.45,366.6,359.85,361.0,363.4,28353.0,102.97
2017-05-12,354.65,362.0,345.6,358.6,358.5,36470.0,129.39
2017-05-11,363.3,365.0,351.0,351.0,353.05,27199.0,97.2
2017-05-10,353.25,363.0,349.5,360.0,361.0,34623.0,123.54
