Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2017-08-03,2166.0,2166.0,2165.0,2165.0,2165.6,8.0,0.17
2017-08-02,2289.9,2289.9,2140.0,2247.95,2247.95,176.0,3.89
2017-08-01,2300.0,2300.0,2210.0,2231.0,2231.0,124.0,2.79
2017-07-31,2300.0,2350.0,2240.0,2300.0,2266.2,199.0,4.53
2017-07-28,2384.5,2384.5,2295.0,2320.0,2340.75,45.0,1.05
2017-07-27,2292.1,2400.0,2292.1,2310.0,2310.25,155.0,3.58
2017-07-26,2221.0,2331.0,2221.0,2331.0,2326.1,505.0,11.57
2017-07-25,2299.0,2299.0,2210.0,2220.0,2220.0,115.0,2.56
2017-07-24,2349.0,2349.0,2240.0,2339.95,2277.7,32.0,0.72
2017-07-21,2380.0,2380.0,2235.0,2334.95,2328.25,240.0,5.54
2017-07-20,2225.05,2390.0,2225.05,2300.0,2301.05,81.0,1.87
2017-07-19,2198.0,2390.0,2198.0,2350.0,2341.85,476.0,10.97
2017-07-18,2400.0,2498.4,2292.0,2300.0,2301.1,314.0,7.27
2017-07-17,2447.95,2450.0,2233.0,2400.0,2398.95,355.0,8.25
2017-07-14,2355.8,2357.15,2300.0,2350.0,2350.0,595.0,13.97
2017-07-13,2244.95,2244.95,2240.0,2244.95,2244.95,1658.0,37.21
2017-07-12,2145.0,2160.0,2022.0,2140.0,2138.05,374.0,8.03
2017-07-11,2150.0,2200.0,2042.1,2150.0,2120.6,362.0,7.65
2017-07-10,2150.0,2150.0,2080.0,2149.0,2149.0,26.0,0.56
2017-07-07,2029.0,2110.0,1990.0,2075.0,2075.0,180.0,3.66
2017-07-06,2085.0,2085.0,2000.0,2025.0,2029.4,631.0,12.95
2017-07-05,1990.0,2000.05,1989.0,1990.0,1989.8,120.0,2.4
2017-07-04,1947.55,2035.0,1880.0,1990.0,1990.0,85.0,1.66
2017-07-03,1850.0,1947.55,1850.0,1944.0,1943.85,191.0,3.71
2017-06-30,1899.0,1899.0,1804.05,1865.0,1854.85,224.0,4.08
2017-06-29,1902.6,1902.6,1821.0,1899.0,1899.0,93.0,1.74
2017-06-28,1998.15,1998.15,1899.0,1908.0,1902.55,113.0,2.18
2017-06-27,2034.0,2034.0,1911.1,1999.0,1998.15,118.0,2.36
2017-06-23,1995.35,1996.75,1930.05,1941.1,1941.5,491.0,9.71
2017-06-22,1820.0,1901.7,1820.0,1901.7,1901.7,835.0,15.85
2017-06-21,1795.0,1832.3,1785.0,1832.3,1811.15,370.0,6.67
2017-06-20,1800.0,1800.0,1740.0,1745.05,1745.05,545.0,9.63
2017-06-19,1760.0,1760.0,1711.0,1721.0,1721.0,213.0,3.73
2017-06-16,1750.0,1760.0,1740.0,1760.0,1759.05,324.0,5.68
2017-06-15,1745.0,1749.95,1701.1,1749.95,1747.6,801.0,13.89
2017-06-14,1750.0,1750.0,1701.05,1730.0,1730.0,184.0,3.21
2017-06-13,1749.0,1749.0,1740.0,1748.0,1748.0,448.0,7.83
2017-06-12,1695.0,1709.95,1651.1,1695.0,1695.0,526.0,8.89
2017-06-09,1636.1,1680.0,1630.0,1670.0,1677.15,974.0,16.09
2017-06-08,1585.0,1643.0,1585.0,1643.0,1639.0,20.0,0.32
2017-06-07,1588.0,1665.0,1585.0,1590.0,1590.0,491.0,7.94
2017-06-06,1568.0,1598.0,1568.0,1592.5,1586.65,126.0,1.99
2017-06-05,1565.0,1610.0,1551.05,1599.0,1568.35,266.0,4.19
2017-06-02,1690.0,1690.0,1589.0,1600.0,1600.0,237.0,3.78
2017-06-01,1670.0,1670.0,1600.0,1610.0,1610.0,131.0,2.12
2017-05-31,1560.0,1635.0,1560.0,1635.0,1635.0,41.0,0.66
2017-05-30,1600.0,1640.0,1600.0,1640.0,1640.0,38.0,0.61
2017-05-29,1645.0,1648.0,1565.0,1614.0,1623.9,56.0,0.91
2017-05-26,1658.0,1658.0,1575.1,1647.95,1642.5,394.0,6.44
2017-05-25,1650.0,1670.0,1550.0,1661.9,1602.0,614.0,9.97
2017-05-24,1785.0,1785.0,1615.15,1615.15,1615.15,836.0,13.8
2017-05-23,1707.75,1707.75,1601.0,1702.9,1700.15,1937.0,32.77
2017-05-22,1626.45,1626.45,1560.0,1626.45,1626.45,2183.0,35.49
2017-05-19,1549.0,1549.0,1549.0,1549.0,1549.0,159.0,2.46
2017-05-18,1475.25,1475.25,1475.25,1475.25,1475.25,170.0,2.51
2017-05-17,1405.0,1405.0,1405.0,1405.0,1405.0,160.0,2.25
2017-05-16,1338.0,1338.1,1338.0,1338.1,1338.1,263.0,3.52
2017-05-15,1246.0,1276.8,1246.0,1276.8,1274.4,594.0,7.55
2017-05-12,1215.0,1245.0,1215.0,1216.0,1216.0,20.0,0.24
2017-05-11,1170.2,1260.0,1170.2,1250.0,1241.7,711.0,8.85
2017-05-10,1200.0,1232.5,1200.0,1203.0,1203.0,47.0,0.57
2017-05-09,1250.0,1250.0,1200.0,1201.0,1201.4,242.0,2.91
2017-05-08,1230.0,1230.0,1205.1,1205.1,1205.1,14.0,0.17
2017-05-05,1237.95,1238.0,1200.0,1201.0,1201.0,336.0,4.11
2017-05-04,1220.8,1235.0,1215.0,1215.0,1215.0,167.0,2.04
2017-05-03,1234.0,1236.5,1210.0,1210.0,1210.0,149.0,1.83
2017-05-02,1240.0,1245.0,1211.0,1211.0,1211.0,390.0,4.78
2017-04-28,1222.4,1225.0,1202.05,1225.0,1223.0,215.0,2.63
2017-04-27,1228.0,1228.0,1195.0,1222.5,1222.5,299.0,3.61
2017-04-26,1219.0,1235.0,1200.0,1218.9,1218.9,377.0,4.61
2017-04-25,1186.0,1210.0,1186.0,1210.0,1210.0,16.0,0.19
2017-04-24,1200.0,1201.5,1180.0,1180.0,1181.0,250.0,2.96
2017-04-21,1180.0,1217.0,1180.0,1200.0,1200.0,350.0,4.22
2017-04-20,1200.0,1200.0,1180.0,1180.0,1180.05,362.0,4.27
2017-04-19,1186.0,1186.0,1175.0,1180.0,1180.0,132.0,1.56
2017-04-18,1191.0,1225.0,1186.0,1186.0,1189.55,442.0,5.3
2017-04-17,1210.0,1210.0,1185.0,1195.0,1186.5,350.0,4.17
2017-04-13,1176.05,1215.0,1176.0,1188.0,1188.0,84.0,1.0
2017-04-12,1240.0,1240.0,1140.0,1198.5,1198.5,78.0,0.91
2017-04-11,1200.0,1200.0,1177.0,1190.0,1190.1,76.0,0.91
2017-04-10,1237.25,1237.25,1195.0,1200.0,1200.0,91.0,1.09
2017-04-07,1242.0,1242.0,1192.6,1192.6,1194.25,59.0,0.71
2017-04-06,1206.0,1220.0,1206.0,1220.0,1220.0,2.0,0.02
2017-04-05,1170.0,1246.0,1156.55,1206.0,1206.0,77.0,0.93
2017-04-03,1210.0,1229.95,1180.0,1215.1,1215.15,687.0,8.37
2017-03-31,1210.0,1210.0,1210.0,1210.0,1210.0,15.0,0.18
2017-03-30,1215.0,1215.0,1171.0,1214.0,1214.0,53.0,0.62
2017-03-29,1227.0,1227.0,1150.0,1154.0,1161.35,254.0,2.97
2017-03-28,1215.0,1215.0,1145.0,1174.0,1174.0,440.0,5.13
2017-03-27,1157.5,1185.0,1157.5,1185.0,1177.85,1212.0,14.2
