Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2017-08-03,1014.1,1028.05,988.0,999.0,995.9,792067.0,7998.7
2017-08-02,1033.75,1037.15,1008.5,1012.85,1018.3,531323.0,5432.6
2017-08-01,1026.1,1042.0,1013.0,1033.35,1033.8,1871867.0,19302.17
2017-07-31,977.0,1024.0,963.05,1023.0,1017.0,3737467.0,37373.43
2017-07-28,973.9,978.2,966.05,969.85,970.1,533412.0,5183.0
2017-07-27,985.9,997.95,971.65,975.0,981.15,1433224.0,14165.71
2017-07-26,1002.0,1004.8,975.2,979.5,982.1,652970.0,6451.55
2017-07-25,964.95,1004.0,961.5,1000.0,998.15,1090420.0,10764.7
2017-07-24,969.0,976.4,961.25,964.0,964.15,354906.0,3439.56
2017-07-21,964.0,974.0,953.75,966.5,967.2,480765.0,4646.42
2017-07-20,977.0,979.0,955.0,962.0,959.75,639488.0,6176.41
2017-07-19,977.4,981.8,961.45,975.0,969.1,1097361.0,10671.21
2017-07-18,1010.0,1018.95,959.5,965.8,964.6,1385162.0,13639.15
2017-07-17,1035.45,1044.95,1004.0,1009.0,1008.55,749930.0,7632.58
2017-07-14,1030.0,1035.45,1014.6,1029.4,1032.55,519035.0,5335.53
2017-07-13,1026.0,1041.85,1019.95,1026.0,1026.3,775075.0,7987.85
2017-07-12,1014.0,1040.95,1005.0,1032.0,1033.15,1356632.0,13871.16
2017-07-11,1063.0,1063.0,1006.1,1011.25,1013.9,1343288.0,13773.77
2017-07-10,1198.65,1198.65,1000.05,1056.0,1055.5,242050.0,2554.51
2017-07-07,1115.0,1134.45,1085.1,1087.15,1089.7,1331944.0,14664.2
2017-07-06,1099.0,1137.0,1095.4,1107.0,1111.05,1721724.0,19229.45
2017-07-05,1057.0,1101.0,1050.75,1098.3,1095.75,4100194.0,44120.35
2017-07-04,1038.8,1056.0,1020.5,1047.15,1045.8,3361175.0,34971.14
2017-07-03,1000.3,1034.0,994.6,1029.2,1028.85,3240429.0,33004.26
2017-06-30,990.0,1003.2,987.1,1000.1,999.8,629883.0,6294.06
2017-06-29,1001.45,1010.05,985.0,989.35,988.05,328874.0,3274.38
2017-06-28,993.9,1007.95,983.6,999.0,999.75,456045.0,4558.6
2017-06-27,974.95,994.5,971.0,994.3,989.45,652375.0,6413.9
2017-06-23,998.85,1002.0,960.8,967.0,967.4,309437.0,3028.52
2017-06-22,1000.65,1022.9,986.0,997.6,992.3,534224.0,5389.79
2017-06-21,989.9,1007.6,985.65,999.0,999.5,384261.0,3838.24
2017-06-20,991.0,1000.0,980.5,999.0,992.55,500041.0,4973.57
2017-06-19,994.0,1003.8,987.25,994.0,994.35,320979.0,3194.95
2017-06-16,977.1,990.0,977.1,985.75,984.25,422030.0,4152.62
2017-06-15,950.0,979.45,945.0,973.75,974.05,628466.0,6075.56
2017-06-14,976.7,976.7,950.05,952.0,954.7,646576.0,6176.89
2017-06-13,988.0,995.0,968.0,971.8,971.05,465074.0,4541.76
2017-06-12,985.0,1001.1,980.65,982.95,986.9,294092.0,2916.83
2017-06-09,1001.0,1003.0,984.55,990.5,991.9,589020.0,5842.78
2017-06-08,1008.0,1009.45,993.55,999.9,1000.05,372531.0,3730.21
2017-06-07,1006.0,1012.95,996.75,1000.0,1000.15,367823.0,3695.01
2017-06-06,1023.0,1028.9,990.45,995.55,996.85,390235.0,3918.93
2017-06-05,1031.9,1033.1,1014.2,1022.0,1021.15,471387.0,4817.93
2017-06-02,1028.4,1034.45,1001.75,1025.0,1025.95,537502.0,5467.54
2017-06-01,1012.1,1038.5,1012.1,1023.0,1027.25,771481.0,7902.82
2017-05-31,1034.0,1042.0,1015.8,1018.0,1020.0,1747656.0,17888.45
2017-05-30,994.75,1011.95,983.0,1003.5,1004.7,373026.0,3741.56
2017-05-29,988.0,1006.6,973.0,998.0,993.65,620798.0,6169.13
2017-05-26,970.0,995.95,967.85,984.0,986.5,759348.0,7477.44
2017-05-25,940.4,971.2,936.9,964.0,963.6,749335.0,7178.15
2017-05-24,958.0,963.75,933.8,940.1,944.7,621585.0,5875.34
2017-05-23,1004.65,1004.65,955.3,960.5,959.2,344331.0,3342.81
2017-05-22,1002.0,1012.2,992.0,995.0,997.4,352638.0,3533.59
2017-05-19,1001.0,1017.35,990.05,997.5,999.05,381975.0,3835.24
2017-05-18,1012.0,1012.0,990.1,990.5,994.65,245585.0,2455.9
2017-05-17,1010.3,1017.95,1010.3,1014.4,1012.65,437001.0,4431.73
2017-05-16,999.9,1016.0,998.4,1010.1,1010.3,811206.0,8211.31
2017-05-15,990.0,1003.9,990.0,998.0,996.2,707177.0,7062.79
2017-05-12,1015.0,1019.2,983.15,986.0,989.8,471436.0,4694.1
2017-05-11,1014.95,1023.65,1007.8,1011.95,1014.75,426043.0,4327.21
2017-05-10,1005.9,1018.95,1005.9,1009.4,1011.6,445885.0,4517.75
2017-05-09,1003.45,1010.0,990.75,1005.0,1004.3,633320.0,6355.19
2017-05-08,1007.7,1010.45,997.1,997.1,998.85,246520.0,2468.15
2017-05-05,1024.0,1024.0,998.5,1003.7,1000.9,883894.0,8948.53
2017-05-04,1027.0,1027.0,1014.0,1019.0,1019.65,359608.0,3676.84
2017-05-03,1006.4,1035.9,1001.0,1016.05,1018.5,381156.0,3901.69
2017-05-02,1043.85,1046.45,1005.75,1009.8,1008.65,694998.0,7097.47
2017-04-28,1042.0,1047.6,1015.8,1040.0,1038.65,695858.0,7204.2
2017-04-27,1052.9,1071.95,1027.0,1044.0,1040.5,2036343.0,21406.31
2017-04-26,1095.0,1095.0,1047.0,1051.7,1053.7,848134.0,9080.27
2017-04-25,1062.7,1094.0,1058.45,1089.1,1090.6,681588.0,7371.68
2017-04-24,1058.0,1059.25,1042.7,1053.05,1053.55,412797.0,4336.17
