Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2017-08-03,108.2,108.2,105.05,106.0,105.7,5696.0,6.04
2017-08-02,110.65,110.65,107.8,107.9,108.35,13453.0,14.63
2017-08-01,110.3,111.6,109.05,109.1,109.3,11367.0,12.54
2017-07-31,109.45,111.8,109.45,110.0,110.05,4476.0,4.93
2017-07-28,112.15,112.15,108.25,108.5,108.7,12946.0,14.17
2017-07-27,112.75,112.75,109.9,110.95,110.2,21775.0,24.14
2017-07-26,113.65,117.0,110.6,110.6,111.5,16825.0,19.01
2017-07-25,112.7,112.95,110.2,112.0,112.2,21395.0,23.8
2017-07-24,112.9,113.2,111.0,111.4,111.35,16615.0,18.55
2017-07-21,113.75,114.0,111.0,112.5,111.85,16615.0,18.67
2017-07-20,114.7,114.7,112.2,113.5,112.95,15856.0,17.94
2017-07-19,114.5,115.8,112.8,112.8,113.2,18469.0,21.0
2017-07-18,114.5,116.0,113.25,114.0,113.95,19186.0,21.88
2017-07-17,114.5,118.5,113.25,114.9,114.8,37322.0,43.06
2017-07-14,114.45,115.65,112.5,113.0,113.05,25461.0,29.0
2017-07-13,114.7,115.65,111.75,115.0,114.4,46448.0,52.98
2017-07-12,113.0,113.4,110.8,111.1,111.35,12854.0,14.38
2017-07-11,116.0,117.0,112.0,112.85,112.6,31587.0,36.12
2017-07-10,117.0,124.75,113.25,115.5,116.15,28930.0,33.75
2017-07-07,113.6,115.25,110.65,113.6,113.65,46680.0,52.96
2017-07-06,106.0,116.9,105.3,112.0,112.5,127625.0,143.8
2017-07-05,105.25,106.0,104.0,104.3,104.55,7766.0,8.15
2017-07-04,104.5,106.0,103.2,104.75,104.0,9569.0,10.02
2017-07-03,103.05,104.2,102.05,103.2,103.4,5504.0,5.68
2017-06-30,104.7,104.95,102.5,102.5,102.85,7156.0,7.4
2017-06-29,103.1,106.5,103.1,103.25,103.45,10368.0,10.79
2017-06-28,103.25,105.9,103.25,103.5,103.55,7350.0,7.64
2017-06-27,106.0,106.0,103.1,104.5,103.25,17506.0,18.15
2017-06-23,105.5,105.85,104.6,105.05,104.7,16921.0,17.8
2017-06-22,107.35,107.35,105.35,105.5,105.85,8813.0,9.35
2017-06-21,107.65,107.65,105.1,106.25,106.2,6568.0,6.99
2017-06-20,107.85,107.85,105.45,105.9,106.1,18236.0,19.4
2017-06-19,107.95,107.95,105.65,105.9,106.1,40260.0,42.84
2017-06-16,108.0,108.35,105.5,106.0,106.3,14328.0,15.28
2017-06-15,108.8,108.8,106.55,106.55,106.8,9915.0,10.65
2017-06-14,108.0,109.25,106.55,107.5,107.55,18101.0,19.5
2017-06-13,108.0,109.9,105.85,108.75,108.6,26310.0,28.28
2017-06-12,108.5,109.9,105.55,106.95,106.55,12713.0,13.6
2017-06-09,108.0,109.55,105.8,106.5,106.4,21040.0,22.42
2017-06-08,110.45,111.0,108.65,108.65,108.95,6394.0,7.04
2017-06-07,109.5,112.45,108.55,108.55,109.2,18227.0,20.12
2017-06-06,112.5,112.5,107.25,107.9,108.05,13234.0,14.42
2017-06-05,112.45,112.45,107.6,111.0,110.75,14160.0,15.61
2017-06-02,107.0,112.5,107.0,110.85,109.9,56538.0,62.06
2017-06-01,108.95,108.95,106.1,107.0,106.9,4793.0,5.12
2017-05-31,107.7,108.75,105.15,107.0,107.65,8685.0,9.3
2017-05-30,107.8,107.8,105.7,106.0,105.95,3937.0,4.19
2017-05-29,108.3,108.3,106.05,106.1,106.8,9150.0,9.78
2017-05-26,105.65,108.8,105.0,108.3,107.95,12580.0,13.52
2017-05-25,107.35,107.8,105.25,107.7,107.45,7302.0,7.78
2017-05-24,106.0,107.95,105.2,106.2,105.6,11982.0,12.77
2017-05-23,111.05,111.05,105.2,105.8,106.35,22887.0,24.45
2017-05-22,111.6,114.5,108.3,110.75,109.55,23675.0,26.08
2017-05-19,113.4,114.6,110.2,111.8,111.6,20201.0,22.72
2017-05-18,114.5,115.0,112.0,112.65,113.4,109194.0,123.43
2017-05-17,115.05,116.2,113.6,113.95,114.05,25107.0,28.77
2017-05-16,115.95,117.0,114.0,116.0,115.9,36207.0,41.83
2017-05-15,117.6,117.6,113.9,116.0,115.55,73406.0,84.31
2017-05-12,117.45,117.95,113.95,115.5,115.15,74725.0,86.28
2017-05-11,116.7,118.9,115.7,116.95,117.2,85000.0,99.76
2017-05-10,115.8,118.0,114.6,116.5,116.15,60929.0,70.8
2017-05-09,114.95,115.3,113.45,114.35,114.15,25584.0,29.21
2017-05-08,114.45,116.05,112.75,113.5,113.7,66711.0,76.17
2017-05-05,116.25,116.25,112.4,112.8,112.7,69837.0,79.69
2017-05-04,117.5,118.5,114.5,114.7,114.8,94343.0,110.03
2017-05-03,117.2,121.0,115.6,116.0,116.6,115746.0,138.07
2017-05-02,116.9,121.0,115.8,118.0,118.3,122192.0,144.95
2017-04-28,116.2,118.85,115.25,115.25,115.9,129070.0,150.87
2017-04-27,120.05,121.05,116.3,117.45,117.05,84590.0,99.93
2017-04-26,116.45,122.0,114.6,118.75,120.05,351203.0,416.71
2017-04-25,113.25,116.9,113.2,113.9,114.9,194010.0,223.24
2017-04-24,114.95,115.95,113.5,114.0,113.85,83524.0,95.73
2017-04-21,114.6,116.7,114.2,114.2,114.55,163378.0,188.19
2017-04-20,115.75,115.95,112.5,112.65,114.05,80810.0,92.6
2017-04-19,114.45,115.5,113.4,114.8,114.7,75460.0,86.26
2017-04-18,116.3,118.95,113.9,115.0,114.85,134346.0,156.22
2017-04-17,115.85,118.15,114.05,117.0,117.1,67592.0,78.23
2017-04-13,113.55,116.55,113.05,115.35,115.75,87912.0,101.53
2017-04-12,117.3,117.35,112.75,113.5,113.0,93347.0,106.4
2017-04-11,115.6,117.5,115.5,116.55,116.2,74048.0,86.3
2017-04-10,110.95,117.8,109.75,116.5,115.3,168176.0,193.08
2017-04-07,109.15,110.05,108.5,110.0,109.25,80244.0,87.57
2017-04-06,112.35,112.7,108.5,108.5,109.1,56875.0,62.94
