Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2017-08-02,18.95,19.0,18.4,18.45,18.45,52640425.0,9814.48
2017-08-01,19.05,19.1,18.85,18.9,18.9,18555600.0,3517.85
2017-07-31,19.3,19.5,18.9,18.95,18.95,59278304.0,11340.39
2017-07-28,19.85,19.85,19.1,19.25,19.2,137811852.0,26723.08
2017-07-27,19.25,20.25,19.0,20.1,20.0,231755507.0,45848.67
2017-07-26,19.15,19.7,19.0,19.1,19.1,107609045.0,20816.25
2017-07-25,19.0,19.1,18.8,18.95,18.9,36198222.0,6854.75
2017-07-24,19.25,19.5,18.85,18.9,18.95,38098415.0,7324.47
2017-07-21,18.6,19.25,18.45,19.25,19.15,46685854.0,8800.78
2017-07-20,18.5,18.65,18.4,18.5,18.5,16964153.0,3139.25
2017-07-19,18.4,18.6,18.2,18.45,18.45,23730963.0,4376.7
2017-07-18,18.7,18.8,18.25,18.35,18.3,33962538.0,6287.75
2017-07-17,19.05,19.05,18.75,18.75,18.85,18095208.0,3423.33
2017-07-14,19.2,19.2,18.8,18.85,18.9,26351632.0,4995.4
2017-07-13,19.25,19.55,19.0,19.05,19.05,38231196.0,7358.88
2017-07-12,19.4,19.7,19.0,19.15,19.1,49334797.0,9519.97
2017-07-11,18.85,19.65,18.65,19.35,19.35,93019686.0,17958.62
2017-07-10,19.95,19.95,18.6,18.85,18.85,9084319.0,1709.28
2017-07-07,18.7,18.85,18.45,18.55,18.55,20442737.0,3805.89
2017-07-06,18.75,19.1,18.65,18.65,18.7,22064236.0,4155.85
2017-07-05,18.7,18.95,18.45,18.75,18.75,31213020.0,5839.65
2017-07-04,19.05,19.2,18.55,18.6,18.65,21443397.0,4036.54
2017-07-03,18.85,19.25,18.75,18.9,18.9,35641768.0,6771.15
2017-06-30,18.15,19.0,18.0,18.65,18.75,63704471.0,11887.8
2017-06-29,17.85,18.4,17.45,18.4,18.1,148854292.0,26682.25
2017-06-28,18.0,18.05,17.6,17.65,17.65,37852774.0,6736.5
2017-06-27,18.5,18.6,17.95,18.1,18.1,21897469.0,3979.06
