Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2017-08-03,305.1,318.0,299.2,300.0,301.95,128716.0,396.49
2017-08-02,305.0,312.75,302.5,304.0,304.15,80158.0,245.61
2017-08-01,314.2,316.0,300.0,305.0,303.15,68165.0,209.04
2017-07-31,310.35,320.0,310.35,315.0,315.15,33918.0,107.06
2017-07-28,311.1,315.35,308.25,311.0,310.3,43281.0,134.68
2017-07-27,320.0,322.65,315.0,317.0,315.85,37646.0,119.99
2017-07-26,323.85,323.85,317.65,318.25,318.9,32428.0,103.73
2017-07-25,321.4,327.2,316.3,321.6,321.1,55215.0,178.4
2017-07-24,321.0,323.9,317.0,317.55,317.6,34635.0,110.29
2017-07-21,322.1,324.85,320.0,320.6,320.3,36108.0,116.08
2017-07-20,324.55,327.95,322.5,323.5,324.65,32406.0,105.37
2017-07-19,326.9,330.0,322.0,323.95,324.0,44699.0,145.17
2017-07-18,318.0,328.8,318.0,326.9,325.8,59560.0,194.09
2017-07-17,327.7,327.7,318.0,320.0,318.8,58674.0,187.62
2017-07-14,335.8,335.8,321.5,324.15,324.55,62646.0,205.24
2017-07-13,340.1,343.35,325.0,333.15,332.95,107251.0,358.64
2017-07-12,335.65,341.0,331.0,339.7,340.1,123686.0,418.73
2017-07-11,339.05,341.3,331.35,332.9,333.6,106043.0,356.9
2017-07-10,344.0,344.2,335.35,338.0,337.95,18652.0,63.34
2017-07-07,342.75,345.0,335.8,340.5,339.25,67735.0,230.31
2017-07-06,343.4,349.0,341.8,343.0,342.75,169487.0,584.84
2017-07-05,336.0,344.0,335.9,340.15,340.75,200814.0,684.03
2017-07-04,327.0,344.9,327.0,333.05,334.05,308210.0,1040.25
2017-07-03,328.8,334.0,316.7,327.0,326.25,135719.0,446.06
2017-06-30,321.0,334.85,321.0,327.55,329.85,287281.0,947.09
2017-06-29,293.9,332.0,287.95,320.95,321.35,478801.0,1540.52
2017-06-28,292.95,295.0,287.65,291.0,290.4,61744.0,179.45
2017-06-27,302.0,305.0,286.85,291.9,291.45,85099.0,251.1
2017-06-23,304.05,306.3,285.0,297.0,294.2,77326.0,226.62
2017-06-22,307.9,308.05,302.0,304.9,303.5,31484.0,95.99
2017-06-21,310.0,311.95,304.0,305.5,305.0,38376.0,117.6
2017-06-20,310.0,312.5,300.0,310.0,309.3,86137.0,264.76
2017-06-19,314.9,318.6,307.0,307.6,308.05,42324.0,131.26
2017-06-16,311.85,317.4,308.0,310.75,310.55,62340.0,194.38
2017-06-15,311.05,315.0,303.05,308.0,306.9,49730.0,153.31
2017-06-14,309.0,315.9,308.05,311.0,311.3,38544.0,120.0
2017-06-13,304.0,311.0,304.0,309.5,308.4,37313.0,115.08
2017-06-12,312.3,312.3,302.2,304.5,303.55,71733.0,219.94
2017-06-09,317.0,321.65,309.0,312.3,313.5,74211.0,235.09
2017-06-08,322.55,326.6,310.25,316.0,315.25,113967.0,365.24
2017-06-07,319.95,331.7,319.0,327.1,322.35,144081.0,468.07
2017-06-06,332.0,333.9,313.3,316.6,316.15,112209.0,359.97
2017-06-05,326.0,334.85,325.45,328.5,328.45,120221.0,396.01
2017-06-02,320.7,330.05,320.05,324.4,324.05,338990.0,1101.71
2017-06-01,297.0,324.0,294.65,319.6,317.8,804976.0,2539.47
2017-05-31,265.0,308.0,265.0,296.4,295.75,568576.0,1689.28
2017-05-30,258.65,264.9,253.05,264.0,263.15,81744.0,213.08
2017-05-29,261.85,261.85,248.7,252.85,252.9,27436.0,69.8
2017-05-26,251.0,261.7,251.0,260.0,260.2,62469.0,161.52
2017-05-25,252.15,254.7,245.25,250.15,252.45,33475.0,84.13
2017-05-24,257.0,258.9,247.0,250.55,250.05,57097.0,144.84
2017-05-23,260.0,262.0,247.3,254.15,256.1,77375.0,195.42
2017-05-22,262.0,265.0,255.7,263.0,260.9,47405.0,123.7
2017-05-19,263.25,263.25,251.95,260.0,260.4,75345.0,194.71
2017-05-18,262.9,267.95,251.65,258.5,260.0,142597.0,368.87
2017-05-17,257.75,267.3,252.5,260.35,261.9,144002.0,378.63
2017-05-16,255.75,259.9,252.8,258.05,257.75,89058.0,229.54
2017-05-15,248.7,254.95,247.05,253.0,254.15,111810.0,280.15
2017-05-12,247.9,252.0,243.0,246.1,246.7,46402.0,114.25
2017-05-11,253.8,253.8,246.05,250.4,247.9,46854.0,117.19
2017-05-10,251.55,253.8,240.4,249.85,250.85,26094.0,65.49
2017-05-09,254.9,254.9,248.4,248.75,250.4,42497.0,106.79
2017-05-08,251.0,255.0,249.1,253.0,253.1,44719.0,112.83
2017-05-05,262.35,262.7,247.0,248.2,248.8,136433.0,343.5
2017-05-04,251.0,262.4,251.0,262.3,261.3,123744.0,322.13
2017-05-03,247.5,257.0,247.5,256.5,256.0,152180.0,386.42
2017-05-02,245.45,249.95,241.0,246.95,247.45,105532.0,259.72
2017-04-28,235.05,245.7,233.15,242.35,243.5,166604.0,403.37
2017-04-27,237.7,237.7,232.0,233.7,233.1,31580.0,73.87
