Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2017-08-03,370.8,375.0,365.55,373.25,373.7,37647.0,139.73
2017-08-02,374.9,375.0,367.9,373.0,373.45,15108.0,56.11
2017-08-01,367.0,378.0,366.15,366.2,369.5,42526.0,158.59
2017-07-31,368.0,373.5,362.25,365.0,367.55,16615.0,61.06
2017-07-28,372.0,374.5,364.0,366.1,370.25,10702.0,39.43
2017-07-27,372.25,374.5,360.0,372.0,368.85,30969.0,113.17
2017-07-26,372.25,375.05,366.35,372.0,372.15,23522.0,87.45
2017-07-25,376.0,377.0,370.0,372.8,373.4,14553.0,54.28
2017-07-24,384.85,384.85,370.5,374.4,374.1,51606.0,193.24
2017-07-21,381.6,384.95,374.05,375.3,378.45,17412.0,65.99
2017-07-20,388.9,390.05,375.6,376.0,377.85,58270.0,222.76
2017-07-19,382.0,398.0,378.6,388.25,389.75,55149.0,215.81
2017-07-18,376.0,390.0,372.45,385.0,377.1,521456.0,1968.0
2017-07-17,371.85,379.9,370.1,376.5,378.05,60686.0,227.95
2017-07-14,375.0,378.95,371.0,371.3,372.85,10022.0,37.56
2017-07-13,377.75,389.0,372.5,373.95,373.8,21980.0,83.1
2017-07-12,377.0,383.4,372.0,373.0,374.1,29777.0,112.18
2017-07-11,383.3,384.0,375.0,379.0,378.45,52468.0,198.57
2017-07-10,383.25,389.9,382.1,383.1,383.3,2083.0,7.99
2017-07-07,389.85,394.85,382.05,383.25,384.35,17360.0,67.13
2017-07-06,381.5,387.8,376.7,386.8,385.2,34339.0,131.81
2017-07-05,381.4,386.0,378.4,381.5,383.15,12169.0,46.54
2017-07-04,380.05,386.0,375.0,381.7,383.9,20989.0,79.72
2017-07-03,385.95,388.85,373.3,377.1,383.95,23859.0,91.09
2017-06-30,380.0,381.7,370.0,381.7,375.15,27767.0,103.54
2017-06-29,381.2,386.9,372.1,382.15,377.35,11972.0,45.22
2017-06-28,366.0,384.0,363.0,380.0,381.15,20971.0,78.62
2017-06-27,381.0,381.0,358.0,362.0,368.85,39869.0,146.77
2017-06-23,383.8,383.85,365.5,372.3,374.3,93068.0,347.62
2017-06-22,395.1,401.5,377.0,378.0,384.3,142636.0,556.02
2017-06-21,408.7,408.7,386.25,392.0,394.95,43227.0,171.61
2017-06-20,415.0,415.0,401.0,402.9,404.05,35714.0,144.69
2017-06-19,412.0,422.3,405.5,411.3,415.1,50055.0,207.72
2017-06-16,413.0,424.0,403.05,421.45,415.85,16384.0,67.53
2017-06-15,415.0,415.0,401.0,405.2,406.65,18467.0,75.15
2017-06-14,423.45,423.45,410.2,410.2,413.45,10751.0,44.69
2017-06-13,423.55,424.75,415.25,416.2,418.6,38680.0,161.45
2017-06-12,437.9,437.9,415.5,418.2,423.65,39903.0,169.15
2017-06-09,438.1,438.1,428.2,431.0,430.9,16558.0,71.64
2017-06-08,425.1,438.9,422.0,431.0,432.75,48287.0,208.84
2017-06-07,422.0,425.7,417.45,418.75,420.95,54210.0,229.81
2017-06-06,429.0,429.0,420.0,421.0,421.15,50823.0,214.71
2017-06-05,428.95,428.95,416.0,425.7,422.2,32015.0,135.0
2017-06-02,408.9,425.7,400.1,422.9,423.5,137879.0,576.52
2017-06-01,399.45,405.0,390.0,401.0,402.5,81244.0,320.87
2017-05-31,400.0,403.5,390.05,396.1,399.6,37692.0,149.43
2017-05-30,399.8,405.0,385.25,397.0,392.15,27236.0,106.61
2017-05-29,411.0,411.0,392.0,395.0,396.45,21134.0,84.18
2017-05-26,399.0,410.85,396.3,410.85,409.2,26439.0,107.49
2017-05-25,391.05,398.9,391.05,395.0,396.55,8150.0,32.2
2017-05-24,396.05,399.8,390.05,391.25,391.15,5442.0,21.37
2017-05-23,383.5,398.95,383.5,394.0,395.2,13565.0,53.32
2017-05-22,389.9,400.0,389.9,396.0,397.85,17095.0,67.45
2017-05-19,401.95,405.0,382.05,384.6,387.15,16968.0,66.94
2017-05-18,399.9,405.0,396.05,402.0,401.5,28747.0,115.24
2017-05-17,400.5,409.7,400.5,405.05,407.95,13015.0,52.7
2017-05-16,408.3,410.5,402.1,402.1,406.4,11204.0,45.62
2017-05-15,407.5,410.85,401.25,410.85,407.8,17919.0,72.72
2017-05-12,407.05,408.0,396.8,408.0,406.0,28533.0,114.58
2017-05-11,407.75,407.75,398.55,404.0,404.35,23325.0,94.15
2017-05-10,409.85,409.85,403.0,407.0,407.75,11503.0,46.76
2017-05-09,401.5,410.0,401.05,409.3,408.65,16006.0,64.97
2017-05-08,406.0,409.85,397.15,402.25,406.0,12619.0,50.94
2017-05-05,400.0,405.9,395.0,398.3,402.5,15118.0,60.57
2017-05-04,404.85,406.05,398.25,401.5,403.1,16566.0,66.88
2017-05-03,403.15,409.7,395.4,398.3,401.8,38824.0,156.28
2017-05-02,390.0,404.4,386.35,402.5,401.55,45220.0,179.36
2017-04-28,388.1,395.0,380.05,395.0,390.4,28674.0,111.17
2017-04-27,390.05,391.25,382.8,382.8,384.4,16065.0,62.17
2017-04-26,390.5,394.35,384.0,392.8,390.7,33891.0,132.34
2017-04-25,397.95,397.95,387.0,393.0,391.95,32937.0,128.95
2017-04-24,399.95,399.95,386.0,392.5,394.1,43759.0,171.44
2017-04-21,377.8,395.0,375.65,387.1,391.7,409749.0,1554.6
2017-04-20,380.65,384.5,376.0,377.0,376.95,115225.0,434.76
2017-04-19,380.15,384.9,374.95,381.65,380.25,32252.0,122.15
2017-04-18,382.3,384.6,378.8,382.6,382.1,36900.0,141.05
2017-04-17,379.0,383.9,375.35,380.0,380.05,42222.0,159.74
2017-04-13,386.0,386.0,379.6,380.0,381.35,47198.0,180.32
2017-04-12,385.3,388.5,380.8,385.0,386.55,38590.0,148.18
2017-04-11,390.0,394.9,375.0,388.0,389.35,129003.0,494.54
2017-04-10,394.6,396.0,387.15,387.35,391.8,14002.0,54.94
2017-04-07,390.1,395.95,385.3,391.0,394.6,46194.0,181.78
2017-04-06,397.0,401.85,384.6,395.05,392.25,69866.0,274.58
2017-04-05,408.65,414.9,389.0,391.75,395.4,72566.0,295.5
2017-04-03,402.0,411.0,395.7,408.65,408.95,35906.0,144.95
2017-03-31,397.0,404.0,384.65,397.0,400.55,69376.0,275.82
2017-03-30,394.65,404.0,390.9,400.25,398.0,122059.0,482.69
2017-03-29,389.0,392.0,378.05,386.9,389.15,60545.0,233.66
2017-03-28,353.15,398.95,351.5,397.8,382.7,133737.0,490.41
2017-03-27,349.0,355.0,344.15,349.15,350.85,478343.0,1681.47
2017-03-24,351.7,358.0,331.9,348.5,346.8,578482.0,1965.7
2017-03-23,351.0,353.0,345.05,347.0,346.75,35495.0,124.19
2017-03-22,357.45,361.0,346.75,349.0,350.55,16704.0,59.12
2017-03-21,361.0,364.95,352.5,356.65,360.2,26309.0,94.42
2017-03-20,363.0,364.55,355.55,359.9,359.75,66454.0,238.73
2017-03-17,365.0,365.6,361.0,361.0,362.0,15081.0,54.64
2017-03-16,362.0,366.7,362.0,363.25,364.05,25787.0,93.85
2017-03-15,364.0,369.0,361.1,367.25,366.85,13515.0,49.4
2017-03-14,363.75,369.65,358.55,369.0,366.05,19090.0,69.51
2017-03-10,358.5,363.95,353.05,355.75,357.6,21219.0,75.73
2017-03-09,363.3,365.4,355.55,358.05,360.6,30090.0,108.59
2017-03-08,370.9,370.9,361.1,363.0,363.35,19533.0,71.12
2017-03-07,365.55,371.0,363.15,370.0,368.0,19080.0,70.06
2017-03-06,369.95,371.8,363.1,367.15,367.3,151260.0,555.28
2017-03-03,367.95,375.0,362.15,372.85,371.05,18303.0,67.5
2017-03-02,368.9,371.95,357.8,369.8,368.45,55678.0,203.3
2017-03-01,374.55,379.5,374.1,376.5,376.8,73920.0,278.26
2017-02-28,370.5,375.5,369.45,375.0,372.55,86847.0,323.12
2017-02-27,374.9,374.9,368.1,368.6,369.25,110421.0,407.99
2017-02-23,373.9,373.9,368.25,370.5,369.75,404774.0,1497.55
2017-02-22,368.0,370.15,367.0,369.2,369.0,52297.0,192.89
2017-02-21,369.0,374.95,365.1,369.8,368.3,149374.0,553.39
2017-02-20,368.55,379.05,366.5,371.25,370.6,523830.0,1936.88
2017-02-17,368.55,372.95,366.95,367.15,368.55,94493.0,348.46
2017-02-16,371.95,375.0,368.55,369.75,369.7,218943.0,812.31
2017-02-15,378.6,381.2,370.0,372.5,372.85,96302.0,360.18
2017-02-14,368.3,382.7,368.3,378.7,376.15,54729.0,206.42
2017-02-13,379.9,379.9,370.25,374.5,373.65,92410.0,344.74
2017-02-10,370.95,378.95,368.1,372.85,370.2,34475.0,128.86
2017-02-09,374.35,374.35,365.45,366.75,368.05,57833.0,213.2
2017-02-08,371.9,373.7,362.0,368.0,371.15,32089.0,117.14
2017-02-07,372.05,379.5,363.5,365.0,364.8,41332.0,153.0
2017-02-06,370.0,384.0,363.5,376.9,375.75,73103.0,275.4
2017-02-03,350.0,376.95,350.0,371.0,370.9,182620.0,667.4
2017-02-02,351.25,354.25,347.1,350.15,350.15,11190.0,39.24
2017-02-01,351.0,353.45,346.0,350.95,350.85,189728.0,659.59
2017-01-31,354.95,358.0,347.5,354.1,353.95,18309.0,64.74
2017-01-30,349.65,357.9,341.0,353.0,353.05,29966.0,105.66
2017-01-27,345.55,349.95,345.0,347.0,347.4,15749.0,54.67
2017-01-25,351.95,354.25,345.0,350.6,350.0,14723.0,51.23
2017-01-24,343.9,351.1,340.25,350.0,349.1,60907.0,210.98
2017-01-23,347.45,347.9,338.5,343.9,340.85,9233.0,31.59
2017-01-20,340.25,349.0,337.1,346.0,346.6,26459.0,90.88
2017-01-19,342.65,344.8,334.85,340.35,342.2,54972.0,187.19
2017-01-18,345.35,345.35,340.15,342.05,342.15,11595.0,39.75
