Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2017-08-03,134.9,135.1,128.0,130.25,129.8,81257.0,106.46
2017-08-02,130.75,140.9,130.75,134.5,133.55,78746.0,106.75
2017-08-01,143.8,143.8,137.45,137.6,138.2,42543.0,59.56
2017-07-31,146.9,146.9,138.5,141.05,142.1,139425.0,198.25
2017-07-28,148.2,152.4,146.75,150.2,150.9,100696.0,151.19
2017-07-27,148.0,154.4,143.55,144.1,147.4,275722.0,415.63
2017-07-26,149.4,153.95,147.1,147.6,148.0,87448.0,132.34
2017-07-25,150.0,153.1,146.1,147.7,148.05,62040.0,92.9
2017-07-24,152.4,158.4,149.05,151.45,151.6,175221.0,268.33
2017-07-21,147.5,154.8,144.2,152.95,151.8,242984.0,365.82
2017-07-20,144.0,149.95,143.55,145.5,145.1,269484.0,395.79
2017-07-19,138.8,144.5,137.0,144.0,142.6,165041.0,233.53
2017-07-18,137.1,141.05,135.1,137.35,137.7,66219.0,91.63
2017-07-17,139.4,142.5,137.0,137.3,137.55,65127.0,90.69
2017-07-14,141.05,141.05,135.0,136.4,137.4,77994.0,107.18
2017-07-13,142.6,144.0,136.15,140.55,140.45,172185.0,242.95
2017-07-12,129.0,149.0,129.0,140.95,142.3,869375.0,1231.15
2017-07-11,127.1,132.0,127.0,127.5,127.45,66812.0,86.15
2017-07-10,127.5,134.7,127.0,128.0,128.45,32751.0,42.51
2017-07-07,132.25,136.2,129.0,131.05,130.6,112169.0,148.5
2017-07-06,135.8,139.0,127.9,130.0,131.25,280872.0,373.98
2017-07-05,113.7,135.35,113.7,133.05,132.9,447277.0,565.42
2017-07-04,108.05,113.85,108.05,112.75,112.8,67029.0,75.22
2017-07-03,108.0,114.05,107.95,109.3,109.45,100725.0,111.84
2017-06-30,106.0,108.0,106.0,106.7,107.2,38916.0,41.73
2017-06-29,108.0,108.0,105.05,106.3,106.0,46951.0,49.94
2017-06-28,106.0,107.5,104.5,104.5,106.0,49343.0,52.61
2017-06-27,108.9,108.9,104.5,105.5,105.1,50257.0,53.48
2017-06-23,109.9,109.9,105.0,106.0,106.25,57620.0,61.39
2017-06-22,109.5,109.5,106.85,107.9,107.6,30563.0,33.06
2017-06-21,107.7,108.35,105.65,107.15,107.15,28327.0,30.35
2017-06-20,107.35,107.95,106.95,107.45,107.15,14462.0,15.52
2017-06-19,109.4,109.4,106.7,108.2,107.75,28000.0,30.02
2017-06-16,108.0,110.55,106.95,107.0,107.0,25488.0,27.69
2017-06-15,106.55,109.05,106.55,107.75,107.65,22219.0,23.95
2017-06-14,109.05,110.9,106.9,107.0,107.55,40100.0,43.42
2017-06-13,108.7,110.7,108.7,109.0,109.65,17702.0,19.41
2017-06-12,109.7,110.9,107.5,107.55,108.2,29342.0,32.13
2017-06-09,109.0,110.5,108.45,110.25,109.95,21361.0,23.43
2017-06-08,109.95,112.75,108.3,109.9,109.0,62280.0,69.04
2017-06-07,109.9,112.8,108.25,108.25,108.4,33533.0,36.93
2017-06-06,113.0,115.9,108.0,108.2,109.25,82440.0,92.19
2017-06-05,106.1,115.9,106.1,112.6,112.95,235230.0,266.19
2017-06-02,105.0,110.0,102.75,108.0,108.3,103080.0,110.05
2017-06-01,105.8,105.95,102.0,102.3,102.5,41033.0,42.49
2017-05-31,103.0,105.5,102.95,103.0,103.4,40243.0,41.84
2017-05-30,105.1,106.05,102.75,103.85,103.6,58161.0,60.61
2017-05-29,105.95,107.5,104.2,106.0,105.9,34656.0,36.69
2017-05-26,107.0,107.0,102.55,105.8,105.95,89861.0,94.52
2017-05-25,100.15,104.9,100.15,104.2,103.9,41278.0,42.55
2017-05-24,99.95,103.6,99.95,100.0,100.55,92485.0,93.91
2017-05-23,101.0,104.05,97.05,98.5,99.05,175850.0,175.51
2017-05-22,103.05,107.5,97.5,100.5,101.15,418628.0,421.29
2017-05-19,112.95,112.95,104.5,104.85,105.5,214376.0,228.94
