Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-August-2017,2494.05,2518.90,2488.30,2499.95,2503.257645612417396649,26028,1843,65154790.00,9404,36.13,30.60,5.90
31-July-2017,2470.00,2516.00,2464.90,2494.05,2493.234096212317627925,42427,2454,105780443.00,9370,22.08,51.10,24.05
28-July-2017,2479.40,2488.55,2443.85,2482.75,2465.592993181283799670,42530,3135,104861670.00,11794,27.73,44.70,3.35
27-July-2017,2550.00,2583.70,2469.05,2484.35,2515.043425351737014069,59988,3921,150872425.00,19121,31.87,114.65,-65.65
26-July-2017,2555.00,2573.00,2547.00,2554.80,2558.624372093023255813,37625,2130,96268242.00,12032,31.98,26.00,-0.20
25-July-2017,2530.00,2580.00,2517.70,2570.65,2554.562725614252998486,51526,2932,131626399.00,20321,39.44,62.30,40.65
24-July-2017,2480.00,2539.20,2479.90,2532.65,2518.992134597353891030,57594,2851,145078833.00,18576,32.25,59.30,52.65
21-July-2017,2445.20,2499.00,2439.80,2490.90,2473.211863044526603439,43547,2740,107700957.00,14194,32.59,59.20,45.70
20-July-2017,2450.00,2457.40,2431.00,2445.20,2442.524770483284254287,23092,1295,56402782.00,6338,27.45,26.40,-4.80
19-July-2017,2418.00,2457.90,2417.30,2450.45,2440.507112511337056661,41898,2557,102252367.00,13390,31.96,40.60,32.45
18-July-2017,2397.00,2440.00,2397.00,2405.25,2414.731108952492827614,88534,2293,213785804.00,60083,67.86,43.00,8.25
17-July-2017,2400.00,2420.65,2384.00,2395.70,2402.541425595926868780,34568,2071,83051052.00,8853,25.61,36.65,-4.30
14-July-2017,2389.00,2422.65,2376.10,2398.80,2398.508912078913792775,210052,7469,503811594.00,79323,37.76,46.55,9.80
13-July-2017,2449.90,2471.00,2427.10,2444.05,2447.076018522576215726,68457,3777,167519483.00,11910,17.40,43.90,-5.85
12-July-2017,2487.95,2488.00,2431.30,2439.10,2449.524619183949996721,45757,2640,112082898.00,10442,22.82,56.70,-48.85
11-July-2017,2438.80,2513.40,2426.85,2471.90,2473.555923846615980609,144813,6064,358203054.00,54929,37.93,86.55,33.10
10-July-2017,2333.00,2452.00,2333.00,2440.85,2418.046046143868657883,675366,39253,1633066086.00,365708,54.15,119.00,107.85
7-July-2017,2354.60,2356.00,2325.00,2332.20,2343.734014460288841537,54909,2332,128692091.00,34440,62.72,31.00,-22.40
6-July-2017,2350.05,2361.30,2340.00,2344.80,2348.564206333911479411,31134,1906,73120198.00,13224,42.47,21.30,-5.25
5-July-2017,2364.00,2364.00,2346.30,2357.75,2355.594101799287982295,20786,1308,48963379.00,6779,32.61,17.70,-6.25
4-July-2017,2373.40,2381.40,2351.10,2364.00,2365.660792481042400939,28089,1592,66449046.00,7124,25.36,30.30,-9.40
3-July-2017,2364.00,2382.95,2345.50,2373.40,2366.533676035707376392,36183,2016,85628288.00,16207,44.79,37.45,9.40
30-June-2017,2330.00,2377.85,2326.00,2364.35,2361.853021777258111663,54736,2907,129278387.00,20213,36.93,51.85,34.35
29-June-2017,2353.00,2370.80,2325.00,2334.65,2349.128495207983400849,40484,2706,95102118.00,12542,30.98,45.80,-18.35
28-June-2017,2345.00,2358.30,2335.15,2351.20,2346.412876593279258400,41424,2138,97197807.00,16742,40.42,23.15,6.20
27-June-2017,2358.75,2386.35,2335.00,2345.90,2356.094627390267375203,47798,2905,112616611.00,13762,28.79,51.35,-12.85
23-June-2017,2403.00,2413.00,2353.00,2360.65,2384.637579440652215778,46733,3970,111441268.00,20335,43.51,60.00,-42.35
22-June-2017,2410.00,2430.10,2388.90,2395.75,2405.624249034782458145,57759,3815,138946451.00,14408,24.95,41.20,-14.25
21-June-2017,2441.00,2441.00,2398.00,2406.05,2411.867504877520052026,46130,3731,111259448.00,13097,28.39,43.00,-34.95
20-June-2017,2429.95,2445.00,2383.10,2441.50,2423.655672455317530739,39445,2837,95601098.00,10782,27.33,61.90,11.55
19-June-2017,2408.50,2442.85,2406.55,2431.90,2429.489943484042553191,48128,3305,116926492.00,12923,26.85,36.30,23.40
16-June-2017,2411.10,2434.90,2389.50,2397.45,2404.425957972805933250,72810,4378,175066254.00,16327,22.42,45.40,-13.65
15-June-2017,2465.05,2469.95,2406.05,2411.10,2431.234358908341915550,77680,5035,188858285.00,35348,45.50,63.90,-53.95
14-June-2017,2450.05,2477.00,2450.05,2470.80,2470.225516635830537175,63778,1951,157546043.00,9484,14.87,26.95,20.75
13-June-2017,2466.25,2482.45,2450.00,2453.40,2464.331368392023027733,58017,3706,142973113.00,18738,32.30,32.45,-12.85
12-June-2017,2500.00,2514.00,2472.40,2489.90,2480.137116039732631307,837196,4759,2076360873.00,775487,92.63,41.60,-10.10
9-June-2017,2516.00,2545.50,2489.00,2510.25,2510.910478948800684212,102892,5504,258352601.00,21167,20.57,56.50,-5.75
8-June-2017,2610.00,2610.00,2517.70,2521.50,2543.431692632020441162,181203,12235,460877453.00,63290,34.93,92.30,-88.50
7-June-2017,2700.00,2700.00,2581.00,2615.35,2623.453728012937630182,195399,12074,512620235.00,68162,34.88,119.00,-84.65
6-June-2017,2644.00,2707.40,2630.00,2695.40,2690.395960752674179527,153692,8732,413492336.00,42657,27.75,77.40,51.40
5-June-2017,2565.00,2620.00,2560.00,2601.05,2580.839784514395712445,72209,3699,186359860.00,20809,28.82,60.00,36.05
2-June-2017,2542.25,2589.00,2542.25,2561.85,2569.242398970644300419,41968,4168,107825965.00,19011,45.30,46.75,19.60
1-June-2017,2530.00,2562.20,2530.00,2550.85,2554.657623451552689631,47144,2402,120436779.00,29744,63.09,32.20,20.85
31-May-2017,2531.00,2571.55,2529.05,2544.35,2551.545674036235932636,50116,3849,127873263.00,18397,36.71,42.50,13.35
30-May-2017,2572.85,2575.00,2525.60,2551.70,2553.401463294667377136,48794,3003,124590671.00,15600,31.97,49.40,-21.15
29-May-2017,2579.00,2595.85,2562.30,2571.50,2578.930331961810410258,50066,3307,129116726.00,21040,42.02,33.55,-7.50
26-May-2017,2624.00,2636.00,2571.05,2579.30,2601.333574471273842393,346966,3838,902574305.00,309738,89.27,64.95,-44.70
25-May-2017,2572.00,2633.00,2567.55,2619.95,2603.462883310701976640,395469,6249,1029588863.00,318629,80.57,65.45,47.95
24-May-2017,2522.45,2570.00,2522.45,2557.80,2543.503837715302024185,137191,4141,348945835.00,77009,56.13,47.55,35.35
23-May-2017,2529.50,2560.60,2514.00,2520.45,2533.425941236967875940,49589,4438,125630059.00,18326,36.96,46.60,-9.05
22-May-2017,2507.00,2550.00,2507.00,2529.30,2531.002984023043289056,48257,2814,122138611.00,19562,40.54,43.00,22.30
19-May-2017,2546.00,2550.00,2485.20,2506.80,2505.555729156862375995,53123,3422,133102637.00,15693,29.54,64.80,-39.20
18-May-2017,2451.00,2565.75,2443.05,2534.10,2536.714612918002748511,288156,10298,730969536.00,160285,55.62,122.70,83.10
17-May-2017,2431.90,2460.00,2424.00,2451.35,2443.938222079589216944,124640,4388,304612460.00,80751,64.79,36.00,19.45
16-May-2017,2378.70,2434.80,2375.50,2427.25,2403.613242605759277799,589310,7309,1416473320.00,521274,88.45,59.30,48.55
15-May-2017,2364.50,2375.00,2340.75,2364.40,2354.956378132118451025,26340,1590,62029551.00,8229,31.24,34.25,-0.10
12-May-2017,2349.00,2369.00,2322.70,2359.50,2351.025833961860757914,168383,4470,395872783.00,117478,69.77,46.30,10.50
11-May-2017,2340.00,2359.65,2323.60,2351.25,2338.817842826512538454,32181,2595,75265497.00,11947,37.12,36.05,11.25
10-May-2017,2352.75,2356.00,2316.00,2332.50,2329.111009097738085301,35943,4516,83715237.00,14723,40.96,40.00,-20.25
9-May-2017,2342.45,2362.00,2333.60,2352.75,2349.151795560243563312,41714,4465,97992518.00,17794,42.66,28.40,10.30
8-May-2017,2325.00,2346.90,2318.00,2341.90,2337.533407539763906382,34139,3444,79801053.00,17454,51.13,28.90,16.90
5-May-2017,2302.00,2331.80,2302.00,2319.95,2319.337017669657275106,171537,6753,397852114.00,114557,66.78,29.80,17.95
4-May-2017,2345.00,2348.00,2311.00,2327.10,2326.242634745580249276,334408,4504,777914147.00,280940,84.01,37.00,-17.90
3-May-2017,2299.00,2343.50,2271.45,2337.40,2325.507898943673008807,127612,5908,296762714.00,52563,41.19,72.05,38.40
2-May-2017,2297.00,2301.50,2280.10,2291.95,2289.576150356448476992,138870,3966,317953440.00,110539,79.60,21.40,-5.05
28-April-2017,2301.40,2302.00,2265.30,2272.10,2281.290030091466139652,100693,5284,229709937.00,43293,43.00,36.70,-29.30
27-April-2017,2320.00,2329.65,2285.05,2301.40,2318.312061962784547086,158805,4968,368159547.00,119196,75.06,44.60,-18.60
26-April-2017,2330.25,2341.00,2304.00,2310.45,2312.382675794697255095,153958,2632,356009812.00,119057,77.33,37.00,-19.80
25-April-2017,2331.00,2343.30,2303.00,2311.30,2314.155429580409832256,43042,5078,99605878.00,17106,39.74,40.30,-19.70
24-April-2017,2300.00,2337.05,2283.90,2329.10,2316.930394686282044244,54651,3100,126622563.00,15323,28.04,53.15,29.10
21-April-2017,2330.00,2335.45,2301.90,2311.20,2314.104547987483389772,23329,1560,53985745.00,9879,42.35,33.55,-18.80
20-April-2017,2318.90,2334.00,2292.00,2328.35,2312.925492722737109910,60531,3745,140003693.00,23051,38.08,42.00,9.45
19-April-2017,2285.00,2348.45,2255.00,2301.75,2299.746883418913629141,217145,9243,499378537.00,46393,21.36,93.45,16.75
18-April-2017,2325.00,2338.95,2302.50,2308.65,2320.841828989012685587,77726,4349,180389752.00,25450,32.74,36.45,-16.35
